date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2010-02-25,10.7,10.875,1.6355,80.2701,80.2701,1.3346,1.4795,3897431130.0,7.3454,136.1188,2.0,1.0,30.0,-32.8037,161.4318926587301,233.59573289257727,38.322003174603175,21.232210128372586,395.0276255513074,17.08979304623059
2010-02-26,10.2,10.875,6.6176,51.0,65.6351,1.2706,1.4791,3715308180.0,7.3252,189.2415,2.0,1.0,30.0,-32.8037,161.39406984126984,233.61929899218188,38.2047134920635,21.36685151981531,395.01336883345175,16.837861972248188
2010-03-01,8.9,10.875,22.191,44.5,51.0,1.1086,1.4661,3241788510.0,7.3252,189.2415,2.0,1.0,30.0,-32.8037,161.38629563492063,233.62387499851312,38.247592063492064,21.3289170051579,395.01017063343375,16.918675058334163
2010-03-02,8.95,10.875,21.5084,44.75,47.875,1.1071,1.4531,3260000805.0,7.701,189.2415,2.0,1.0,30.0,-32.8037,161.3677236111111,233.63464297680224,38.29176984126984,21.288072299589285,395.0023665879133,17.003697541680555
2010-03-03,9.53,10.875,14.1133,47.65,47.65,1.1788,1.4465,3471263427.0,7.701,189.2415,2.0,1.0,30.0,-32.8037,161.32791706349207,233.65806489822663,38.2554119047619,21.32568924445713,394.9859819617187,16.92972266030477
2010-03-04,9.34,10.875,16.4347,46.7,47.175,1.1553,1.4368,3402056706.0,7.701,189.2415,2.0,1.0,30.0,-32.8037,161.29556884920635,233.6770303557782,38.21749603174603,21.36045234857168,394.9725992049845,16.85704368317435
2010-03-05,9.44,10.875,15.2013,47.2,47.2,1.1677,1.4336,3438481296.0,7.701,189.2415,2.0,1.0,30.0,-32.8037,161.26448273809524,233.6954569601988,38.09093888888889,21.449728743706125,394.959939698294,16.641210145182768
2010-03-08,9.0,10.875,20.8333,45.0,46.95,1.1133,1.4068,3278213100.0,7.701,189.2415,2.0,1.0,30.0,-32.8037,161.23509464285715,233.71221621446813,38.01754206349206,21.493133956381364,394.9473108573253,16.524408107110695
2010-03-09,9.11,11.0,20.7464,40.4889,46.7,1.1169,1.387,3318280149.0,7.7109,222.2329,2.0,1.0,30.0,-32.8037,161.20454821428572,233.7296039927264,37.99147380952382,21.51221685905304,394.9341522070122,16.47925695047078
2010-03-10,9.31,11.0,18.1525,41.3778,45.85,1.1414,1.3608,3391129329.0,7.7109,222.2329,2.0,1.0,30.0,-32.8037,161.16174682539682,233.7538679937548,37.96719126984127,21.53302532862162,394.9156148191517,16.434165941219646
