date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-02-13,19.04,19.375,1.7595,14.59,15.8859,5.4621,6.9584,1208088000.0,-5.8989,2.4174,2.0,2.0,11.5,6.1326
2008-02-14,18.46,19.875,7.6652,14.1456,15.8859,4.8553,6.9584,1171287000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-15,18.27,19.875,8.7849,14.0,15.8859,4.8053,6.9584,1159231500.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-19,17.82,19.875,11.532,13.6552,15.8935,4.687,6.9608,1130679000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-20,18.17,19.875,9.3836,13.9234,15.8859,4.779,6.9584,1152886500.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-21,17.82,19.875,11.532,13.6552,15.8859,4.687,6.9584,1130679000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-22,18.14,19.875,9.5645,13.9004,15.8859,4.7711,6.9584,1150983000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-25,18.43,19.875,7.8405,14.1226,15.9011,4.8474,6.9608,1169383500.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-26,18.55,19.875,7.1429,14.2146,15.8935,4.879,6.9608,1176997500.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-27,18.14,19.875,9.5645,13.9004,15.8859,4.7711,6.9584,1150983000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-28,17.92,19.875,10.9096,13.7318,15.8859,4.7133,6.9584,1137024000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-02-29,17.75,19.875,11.9718,13.6015,15.8859,4.6686,6.9584,1126237500.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-03-03,17.7,19.875,12.2881,13.5632,15.9011,4.6554,6.9608,1123065000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-03-04,17.62,19.875,12.798,13.5019,15.8935,4.6344,6.9608,1117989000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-03-05,17.55,19.875,13.2479,13.4483,15.8859,4.616,6.9584,1113547500.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
2008-03-06,17.16,19.875,15.8217,13.1494,15.8859,4.5134,6.9584,1088802000.0,-2.7869,2.4174,2.0,2.0,11.5,6.2189
