date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-09-20,12.17,33.0,171.1586,7.3869,16.2552,0.6601,1.7312,700675580.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-09-23,12.27,33.0,168.9487,7.4476,16.2587,0.6655,1.7326,706432980.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-09-24,11.78,33.0,180.1358,7.1502,16.257,0.6389,1.7319,678221720.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-09-25,12.3,33.0,168.2927,7.4659,16.2552,0.6671,1.7312,708160200.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-09-26,13.35,33.0,147.191,8.1032,16.2552,0.7241,1.7312,768612900.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-09-27,12.9,33.0,155.814,7.83,16.2552,0.6997,1.7312,742704600.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-09-30,13.1,33.0,151.9084,7.9514,16.2587,0.7105,1.7326,754219400.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-10-01,13.53,33.0,143.9024,8.2124,16.257,0.7338,1.7319,778976220.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-10-02,12.77,33.0,158.4182,7.7511,16.2552,0.6926,1.7312,735219980.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-10-03,12.36,33.0,166.9903,7.5023,16.2552,0.6704,1.7312,711614640.0,2.5156,24.8614,1.0,1.0,25.0,13.3489
2002-10-04,12.12,33.0,172.2772,7.3566,16.2552,0.6738,1.7312,697796880.0,1.7823,24.8614,1.0,1.0,25.0,13.3489
2002-10-07,11.96,33.0,175.9197,7.2595,16.2587,0.6649,1.7326,688585040.0,1.7823,24.8614,1.0,1.0,25.0,13.3489
2002-10-08,12.2,25.5,109.0164,7.4052,16.257,0.6776,1.7319,702402800.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-09,11.43,25.5,123.0971,6.9378,16.2552,0.6349,1.7312,658070820.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-10,11.99,25.5,112.6772,7.2777,16.2552,0.666,1.7312,690312260.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-11,12.31,25.5,107.1487,7.4719,16.2552,0.6838,1.7312,708735940.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-14,12.23,25.5,108.5037,7.4234,16.257,0.6793,1.7319,704130020.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-15,14.01,25.5,82.0128,8.5038,16.2552,0.7782,1.7312,806611740.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-16,14.12,25.5,80.5949,8.5706,16.2341,0.7843,1.7266,812944880.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-17,15.3,25.5,66.6667,9.2868,16.2341,0.8498,1.7266,880882200.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-18,15.19,25.5,67.8736,9.22,16.2341,0.8437,1.7266,874549060.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-21,15.61,25.5,63.3568,9.475,16.2552,0.8671,1.7312,898730140.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-22,15.33,25.5,66.3405,9.305,16.2341,0.8515,1.7266,882609420.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-23,15.5,25.5,64.5161,9.4082,16.213,0.8609,1.7221,892397000.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-24,15.29,25.5,66.7757,9.2807,16.213,0.8493,1.7221,880306460.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-25,15.57,25.5,63.7765,9.4507,16.213,0.8648,1.7221,896427180.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-28,15.52,25.5,64.3041,9.4203,16.2552,0.8621,1.7312,893548480.0,1.8071,24.8614,1.0,1.0,25.0,13.3489
2002-10-29,15.45,25.0,61.8123,9.4495,16.2341,0.8619,1.7266,889518300.0,1.7043,24.777,1.0,1.0,25.0,13.3489
2002-10-30,15.39,23.0,49.4477,9.6188,16.213,0.8709,1.7221,886217760.0,1.2764,24.6643,1.0,1.0,25.0,13.3489
2002-10-31,15.17,23.0,51.615,9.4812,16.213,0.8585,1.7221,873549280.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-01,15.37,23.0,49.6422,9.6062,16.213,0.8698,1.7221,885066080.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-04,16.33,23.0,40.8451,10.2062,16.2552,0.9241,1.7312,940346720.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-05,16.58,23.0,38.7214,10.3625,16.2341,0.9383,1.7266,954742720.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-06,20.14,23.0,14.2006,12.5875,16.213,1.1398,1.7221,1159741760.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-07,18.5,23.0,24.3243,11.5625,16.213,1.0469,1.7221,1065304000.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-08,17.58,24.0,36.5188,10.9875,16.213,0.9949,1.7221,1012326720.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-11,17.23,24.0,39.2919,10.7687,16.2552,0.9751,1.7312,992172320.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-12,17.03,24.0,40.9278,10.6438,16.2341,0.9638,1.7266,980655520.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-13,17.05,24.0,40.7625,10.6562,16.213,0.9649,1.7221,981807200.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-14,17.31,24.0,38.6482,10.8187,16.213,0.9796,1.7221,996779040.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-15,15.44,24.0,55.4404,9.65,16.213,0.8738,1.7221,889096960.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-18,15.88,24.0,51.1335,9.925,16.2341,0.8987,1.7266,914433920.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-19,14.94,24.0,60.6426,9.3375,16.213,0.8455,1.7221,860304960.0,1.2764,24.674,1.0,1.0,25.0,13.3489
2002-11-20,14.25,24.0,68.4211,8.9062,16.1834,0.8064,1.7173,820572000.0,1.2764,24.7748,1.0,1.0,25.0,13.3489
2002-11-21,15.84,22.0,38.8889,10.513,16.1834,0.8962,1.7173,912130560.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-11-22,15.4,22.0,42.8571,10.221,16.1834,0.8713,1.7173,886793600.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-11-25,15.14,22.0,45.3104,10.0485,16.2341,0.8566,1.7266,871821760.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-11-26,14.08,22.0,56.25,9.3449,16.213,0.7966,1.7221,810782720.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-11-27,14.5,22.0,51.7241,9.6237,16.1834,0.8204,1.7173,834968000.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-11-29,13.61,22.0,61.6458,9.033,16.213,0.77,1.7221,783718240.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-02,13.75,22.0,60.0,9.1259,16.2552,0.7779,1.7312,791780000.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-03,13.0,22.0,69.2308,8.6281,16.2341,0.7355,1.7266,748592000.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-04,13.0,22.0,69.2308,8.6281,16.2341,0.7355,1.7221,748592000.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-05,14.07,22.0,56.3611,9.3383,16.2341,0.796,1.7221,810206880.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-06,14.01,22.0,57.0307,9.2985,16.2341,0.7926,1.7221,806751840.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-09,13.87,22.0,58.6157,9.2055,16.257,0.7847,1.7312,798690080.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-10,13.95,22.0,57.7061,9.2586,16.2552,0.7892,1.7266,803296800.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-11,13.86,22.0,58.7302,9.1989,16.2341,0.7842,1.7221,798114240.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-12,13.8,22.0,59.4203,9.1591,16.213,0.7808,1.7173,794659200.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-13,13.49,22.0,63.0838,8.9533,16.213,0.7632,1.7173,776808160.0,1.2832,24.8895,1.0,1.0,25.0,13.3489
2002-12-16,13.65,22.0,61.1722,9.4792,16.2552,0.7723,1.7266,786021600.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-17,13.75,22.0,60.0,9.5486,16.2341,0.7779,1.7221,791780000.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-18,13.53,22.0,62.6016,9.3958,16.213,0.7655,1.7173,779111520.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-19,13.05,22.0,68.5824,9.0625,16.213,0.7383,1.7173,751471200.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-20,13.17,22.0,67.0463,9.1458,16.213,0.7451,1.7173,758381280.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-23,12.78,22.0,72.144,8.875,16.2552,0.7231,1.7266,735923520.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-24,12.65,22.0,73.913,8.7847,16.2341,0.7157,1.7221,728437600.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-26,12.72,22.0,72.956,8.8333,16.2341,0.7197,1.7221,732468480.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-27,12.69,22.0,73.3649,8.8125,16.2341,0.718,1.7221,730740960.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-30,12.52,22.0,75.7188,8.6944,16.257,0.7083,1.7312,720951680.0,1.2832,25.0779,1.0,1.0,25.0,12.885
2002-12-31,13.07,22.0,68.3244,9.0764,16.2552,0.7395,1.7266,752622880.0,1.2832,25.0779,1.0,1.0,25.0,12.885
