date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-04-08,2.85,4.0625,42.5439,7.1807,7.3379,0.1723,0.1941,407063676.0,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-09,2.8,4.0625,45.0893,7.0547,7.3241,0.1693,0.194,399922208.0,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-10,2.81,4.0625,44.573,7.0799,7.3241,0.1699,0.194,401350501.6,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-11,2.87,4.0625,41.5505,7.231,7.3241,0.1735,0.194,409920263.2,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-14,2.85,4.0625,42.5439,7.1807,7.3444,0.1723,0.1942,407063676.0,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-15,2.86,4.0625,42.0455,7.2058,7.3379,0.1729,0.1941,408491969.6,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-16,2.82,4.0625,44.0603,7.1051,7.3241,0.1705,0.194,402778795.2,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-17,2.84,4.0625,43.0458,7.1555,7.3241,0.1717,0.194,405635382.4,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-21,2.83,4.0625,43.5512,7.1303,7.3508,0.1711,0.1942,404207088.8,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-22,2.83,4.0625,43.5512,7.1303,7.3444,0.1711,0.1942,404207088.8,0.5001,5.9357,1.0,2.0,7.185,11.721
2003-04-23,2.88,4.0625,41.059,7.2562,7.3379,0.1789,0.1941,422622720.0,0.5088,5.9271,1.0,2.0,7.185,11.721
2003-04-24,2.96,4.0625,37.2466,7.4,7.3444,0.1838,0.194,434362240.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-04-25,3.13,4.0625,29.7923,7.825,7.359,0.1944,0.1942,459308720.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-04-28,3.18,4.0625,27.7516,7.95,7.3986,0.1975,0.1943,466645920.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-04-29,3.16,4.0625,28.5601,7.9,7.4,0.1962,0.1944,463711040.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-04-30,3.33,4.0625,21.997,8.325,7.4266,0.2068,0.1944,488657520.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-01,3.25,4.0625,25.0,8.125,7.4556,0.2018,0.1945,476918000.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-02,3.36,4.0625,20.9077,8.4,7.4621,0.2087,0.1945,493059840.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-05,3.33,4.0625,21.997,8.325,7.4806,0.2068,0.195,488657520.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-06,3.3,4.0625,23.1061,8.25,7.4854,0.2049,0.195,484255200.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-07,3.27,4.0625,24.2355,8.175,7.4866,0.2031,0.195,479852880.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-08,3.28,4.0625,23.8567,8.2,7.4908,0.2037,0.1962,481320320.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-09,3.31,4.0625,22.7341,8.275,7.4986,0.2056,0.1965,485722640.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-12,3.3,4.0625,23.1061,8.25,7.5408,0.2049,0.1971,484255200.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-13,3.3,4.0625,23.1061,8.25,7.5483,0.2049,0.1973,484255200.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-14,3.3,4.0625,23.1061,8.25,7.5483,0.2049,0.1975,484255200.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-15,3.31,4.0625,22.7341,8.275,7.5552,0.2056,0.1978,485722640.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-16,3.23,4.0625,25.774,8.075,7.5704,0.2006,0.1978,473983120.0,0.5435,5.9323,1.0,2.0,7.555,11.721
2003-05-19,3.22,4.0625,26.1646,8.05,7.5826,0.2,0.1984,472515680.0,0.5435,5.9323,1.0,2.0,7.555,11.721
