date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-03-09,2.57,4.65,80.9339,98.0916,98.0916,1.4076,1.9708,510209250.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-10,2.3,4.65,102.1739,87.7863,92.939,1.2597,1.9708,456607500.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-13,2.64,4.65,76.1364,100.7634,98.0916,1.4459,1.9684,524106000.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-14,2.62,4.65,77.4809,100.0,99.0458,1.4349,1.9661,520135500.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-15,2.58,4.65,80.2326,98.4733,98.4733,1.413,1.9661,512194500.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-16,2.36,4.65,97.0339,90.0763,98.2824,1.2925,1.9661,468519000.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-17,2.3,4.65,102.1739,87.7863,98.0916,1.2597,1.9648,456607500.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-20,2.34,4.65,98.7179,89.313,94.084,1.2816,1.9634,464548500.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-21,2.35,4.65,97.8723,89.6947,90.0763,1.2871,1.9634,466533750.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-22,2.32,4.65,100.431,88.5496,89.8855,1.2706,1.9634,460578000.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-23,2.34,4.65,98.7179,89.313,89.6947,1.2816,1.9634,464548500.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-24,2.48,4.65,87.5,94.6565,89.8855,1.3583,1.9634,492342000.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-27,2.39,4.65,94.5607,91.2214,90.0763,1.309,1.9624,474474750.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-28,2.27,4.65,104.8458,86.6412,89.8855,1.2432,1.9615,450651750.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-29,2.29,4.65,103.0568,87.4046,89.6947,1.2542,1.9588,454622250.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-30,2.32,4.65,100.431,88.5496,89.5038,1.2706,1.956,460578000.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-03-31,2.55,4.65,82.3529,97.3282,89.6947,1.3966,1.9542,506238750.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
2023-04-03,2.59,4.65,79.5367,98.855,89.8855,1.4185,1.9523,514179750.0,41.0979,207.5795,2.0,1.0,25.0,54.7684
