date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2018-11-20,49.25,75.0,52.2843,11.6463,19.6399,0.635,0.5743,2462500000.0,7.6135,7.054,3.0,2.0,5.8412,74.5665
2018-11-21,50.12,75.0,49.6409,11.8521,19.6399,0.6462,0.5743,2506000000.0,7.6135,7.054,3.0,2.0,5.8412,74.5665
2018-11-23,51.42,66.5714,29.466,12.1194,19.6399,0.6643,0.5748,2571000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-11-26,50.95,66.5714,30.6603,12.0086,19.6399,0.6582,0.5751,2547500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-11-27,49.76,66.5714,33.785,11.7281,19.6399,0.6429,0.5751,2488000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-11-28,49.43,66.5714,34.6781,11.6503,19.6399,0.6386,0.5751,2471500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-11-29,49.66,66.5714,34.0544,11.7045,19.6399,0.6416,0.5754,2483000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-11-30,49.38,66.5714,34.8145,11.6385,19.6399,0.638,0.5756,2469000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-03,49.68,66.5714,34.0004,11.7092,19.6399,0.6418,0.576,2484000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-04,47.65,66.5714,39.7091,11.2308,19.6399,0.6156,0.5761,2382500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-06,47.32,66.5714,40.6834,11.153,19.6399,0.6113,0.5764,2366000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-07,47.36,66.5714,40.5646,11.1624,19.6399,0.6119,0.5766,2368000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-10,46.75,66.5714,42.3987,11.0187,19.6533,0.604,0.5772,2337500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-11,47.78,66.5714,39.329,11.2614,19.6399,0.6173,0.5772,2389000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-12,46.71,66.5714,42.5207,11.0092,19.6399,0.6035,0.5775,2335500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-13,45.51,66.5714,46.2786,10.7264,19.6399,0.588,0.5778,2275500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-14,45.23,66.5714,47.1842,10.6604,19.6399,0.5843,0.5781,2261500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-17,43.95,66.5714,51.4708,10.3587,19.6399,0.5678,0.5782,2197500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-18,44.25,66.5714,50.4438,10.4294,19.6399,0.5717,0.5781,2212500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-19,43.47,66.5714,53.1433,10.2456,19.6399,0.5616,0.5781,2173500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-20,42.79,66.5714,55.577,10.0853,19.6399,0.5528,0.5781,2139500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-21,42.38,66.5714,57.0821,9.9887,19.6399,0.5475,0.5781,2119000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-24,41.68,66.5714,59.7202,9.8237,19.6399,0.5385,0.5782,2084000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-26,42.2,66.5714,57.7521,9.9463,19.6399,0.5452,0.5781,2110000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-27,42.63,66.5714,56.1609,10.0476,19.6399,0.5508,0.5781,2131500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-28,42.67,66.5714,56.0145,10.057,19.6399,0.5513,0.5781,2133500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2018-12-31,42.25,66.5714,57.5654,9.958,19.6533,0.5458,0.5782,2112500000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2019-01-02,43.42,66.5714,53.3197,10.2338,19.6399,0.561,0.5782,2171000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2019-01-03,44.8,66.5714,48.5969,10.5591,19.6399,0.5788,0.5783,2240000000.0,7.7256,7.4194,3.0,2.0,5.8412,74.5665
2019-01-04,46.94,66.5714,41.8223,11.0993,19.6399,0.6064,0.5788,2347000000.0,7.7256,7.3572,3.0,2.0,5.8412,74.5665
2019-01-07,47.75,65.8571,37.9206,11.3144,19.6667,0.6183,0.5791,2387500000.0,7.7101,7.3917,3.0,2.0,5.5434,74.333
2019-01-08,48.7,65.8571,35.2302,11.587,19.6533,0.6306,0.5792,2435000000.0,7.7102,7.0333,3.0,2.0,4.8939,77.5151
2019-01-09,50.85,65.5714,28.9506,12.2921,19.6399,0.6592,0.5794,2542500000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-10,51.1,65.5714,28.3198,12.3525,19.6399,0.6624,0.5796,2555000000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-11,50.97,65.5714,28.647,12.3211,19.6399,0.6607,0.5798,2548500000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-14,51.54,65.5714,27.2243,12.4589,19.6533,0.6681,0.58,2577000000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-15,51.97,65.5714,26.1716,12.5629,19.6399,0.6737,0.5801,2598500000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-16,52.66,65.5714,24.5184,12.7296,19.6399,0.6826,0.5802,2633000000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-17,53.73,65.5714,22.0387,12.9883,19.6399,0.6965,0.5804,2686500000.0,7.6057,4.8231,3.0,2.0,4.8939,77.5151
2019-01-18,55.22,67.7143,22.6264,13.3608,19.6399,0.7158,0.5811,2761000000.0,7.6057,4.7015,3.0,2.0,5.2763,77.7735
2019-01-22,53.35,67.7143,26.9246,12.9083,19.6533,0.6916,0.5816,2667500000.0,7.6057,4.7015,3.0,2.0,5.2763,77.7735
2019-01-23,52.7,67.7143,28.4901,12.751,19.6399,0.6832,0.5817,2635000000.0,7.6057,4.7015,3.0,2.0,5.2763,77.7735
2019-01-24,53.6,67.7143,26.3326,12.9688,19.6399,0.6948,0.5818,2680000000.0,7.6057,4.7015,3.0,2.0,5.2763,77.7735
2019-01-25,53.97,67.7143,25.4666,13.0149,19.6399,0.6996,0.5819,2698500000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-01-28,53.66,67.7143,26.1914,12.9401,19.6667,0.6956,0.5823,2683000000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-01-29,54.35,67.7143,24.5893,13.1065,19.6533,0.7046,0.5823,2717500000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-01-30,54.82,67.7143,23.5212,13.2198,19.6399,0.7106,0.5823,2741000000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-01-31,55.88,67.7143,21.1781,13.4755,19.6399,0.7244,0.5827,2794000000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-02-01,56.64,67.7143,19.5521,13.6587,19.6399,0.7342,0.5832,2832000000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-02-04,57.85,67.7143,17.0515,13.9505,19.6667,0.7499,0.5834,2892500000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-02-05,57.42,67.7143,17.9281,13.8468,19.6533,0.7444,0.5835,2871000000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-02-06,57.49,67.7143,17.7845,13.8637,19.6399,0.7453,0.5836,2874500000.0,7.6057,4.7644,3.0,2.0,5.2763,77.7735
2019-02-07,47.33,67.4286,42.4648,12.3719,19.6399,0.664,0.5836,2527422000.0,6.9141,3.5091,3.0,3.0,6.1842,77.7735
2019-02-08,46.91,66.4286,41.6086,13.6366,19.6399,0.6602,0.5837,2504994000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-11,46.9,66.4286,41.6388,13.6337,19.6667,0.66,0.584,2504460000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-12,49.21,66.4286,34.99,14.3052,19.6533,0.6925,0.5841,2627814000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-13,51.43,66.4286,29.1631,14.9506,19.6399,0.7238,0.5842,2746362000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-14,53.35,66.4286,24.5147,15.5087,19.6399,0.7508,0.5843,2848890000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-15,54.25,66.4286,22.449,15.7703,19.6399,0.7635,0.5844,2896950000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-19,54.71,66.4286,21.4195,15.9041,19.6533,0.7699,0.5847,2921514000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-20,55.45,66.4286,19.7991,16.1192,19.6399,0.7803,0.5847,2961030000.0,6.8992,5.0904,3.0,3.0,0.8928,74.1636
2019-02-21,55.96,67.1429,19.9837,16.4642,19.6399,0.7875,0.5848,2988264000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-02-22,52.7,67.1429,27.4059,15.505,19.6399,0.7416,0.5851,2814180000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-02-25,53.44,67.1429,25.6417,15.7227,19.6667,0.7521,0.5855,2853696000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-02-26,53.8,67.1429,24.8009,15.8287,19.6533,0.7571,0.5856,2872920000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-02-27,54.15,67.1429,23.9943,15.9316,19.6399,0.7621,0.5859,2891610000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-02-28,54.17,67.1429,23.9485,15.9375,19.6399,0.7623,0.5862,2892678000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-03-01,55.22,67.1429,21.5916,16.2464,19.6399,0.7771,0.5864,2948748000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
2019-03-04,54.47,67.1429,23.2658,16.0258,19.6667,0.7666,0.5865,2908698000.0,6.8992,5.9853,3.0,3.0,0.8928,74.1636
