date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-11-24,58.32,59.4,1.8519,16.6629,15.3189,1.1323,0.8192,2525256000.0,5.653,5.3574,2.0,1.0,4.0,-0.3899
2015-11-25,58.26,60.1667,3.2727,16.5808,15.3193,1.1007,0.8193,2522658000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-11-27,58.66,60.1667,2.5685,16.6947,15.3198,1.1082,0.82,2539978000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-11-30,58.36,60.1667,3.0958,16.6093,15.3278,1.1026,0.821,2526988000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-01,58.91,60.1667,2.1333,16.7658,15.3291,1.113,0.8216,2550803000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-02,58.0,60.1667,3.7357,16.5068,15.3306,1.0958,0.8221,2511400000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-03,57.0,60.1667,5.5556,16.2222,15.3344,1.0769,0.8232,2468100000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-04,57.71,60.1667,4.257,16.4243,15.3401,1.0903,0.8262,2498843000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-07,57.84,60.1667,4.0226,16.4613,15.3504,1.0927,0.8272,2504472000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-08,57.94,60.1667,3.8431,16.4897,15.3504,1.0946,0.828,2508802000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-09,57.28,60.1667,5.0396,16.3019,15.3519,1.0822,0.8287,2480224000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-10,56.21,60.1667,7.0391,15.9974,15.3538,1.062,0.8292,2433893000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-11,55.77,60.1667,7.8836,15.8722,15.3544,1.0536,0.8293,2414841000.0,10.0401,5.3572,2.0,2.0,4.6756,-2.7357
2015-12-14,56.25,59.6667,6.0741,16.0028,15.358,1.0633,0.8293,2435625000.0,10.0407,5.3562,2.0,2.0,4.6756,-2.7357
2015-12-15,56.77,59.1429,4.1798,16.1738,15.3584,1.0994,0.8298,2458141000.0,5.707,4.8183,3.0,2.0,4.6756,-2.7357
2015-12-16,57.78,59.1429,2.3588,16.4615,15.3596,1.1189,0.8302,2501874000.0,5.707,4.8183,3.0,2.0,4.6756,-2.7357
2015-12-17,57.89,59.1429,2.1643,16.4929,15.3607,1.121,0.8307,2506637000.0,5.707,4.8183,3.0,2.0,4.6756,-2.7357
