date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-05-08,3.5,7.3,108.5714,130.597,130.597,0.9457,1.7869,265287438.5,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.24115674603176,42.877537984628766,134.09614603174606,24.901415293338363,169.1186947306605,109.1947307384077
2024-05-09,3.59,7.3,103.3426,133.9552,132.2761,0.97,1.786,272109115.49,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.28716051587304,42.840417309949416,133.01785714285714,23.196732244018985,169.12757782582244,109.82112489883816
2024-05-10,3.5,7.3,108.5714,130.597,130.597,0.9457,1.7756,265287438.5,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.2855001984127,42.84108897937976,132.59457619047618,23.151958385751943,169.12658917779248,109.44261780472424
2024-05-13,3.37,7.3,116.6172,125.7463,130.597,0.9106,1.7652,255433905.07,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.35395932539684,42.79790931614654,132.3737253968254,23.170733212975183,169.1518686415434,109.2029921838502
2024-05-14,3.68,7.3,98.3696,137.3134,130.597,0.9943,1.7596,278930792.48,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.35072440476192,42.79996683362467,132.03237857142858,23.35309121274908,169.1506912383866,108.6792873586795
2024-05-15,3.74,7.3,95.1872,139.5522,132.2761,1.0105,1.754,283478577.14,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.35942777777775,42.79316882190208,131.7183396825397,23.58110786218862,169.15259659967984,108.13723182035108
2024-05-16,3.59,7.3,103.3426,133.9552,133.9552,0.97,1.7514,272109115.49,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.42871646825397,42.72739237296486,131.61073015873018,23.679993723983213,169.1561088412188,107.93073643474696
2024-05-17,3.62,7.3,101.6575,135.0746,133.9552,0.9781,1.7514,274383007.82,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.49365376984127,42.66465477068488,131.5595349206349,23.738113653539784,169.15830854052615,107.8214212670951
2024-05-20,3.28,7.3,122.561,122.3881,133.9552,0.8862,1.7489,248612228.08,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.6186871031746,42.560273220135294,131.5596746031746,23.738060227052905,169.1789603233099,107.82161437612172
2024-05-21,3.18,7.3,129.5597,118.6567,132.2761,0.8592,1.7478,241032586.98,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.75805714285714,42.454324152641405,131.6745626984127,23.692668952871447,169.21238129549857,107.98189374554126
2024-05-22,3.16,7.3,131.0127,117.9104,130.597,0.8538,1.7466,239516658.76,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,126.9197238095238,42.31457273679732,131.72633174603175,23.683969232655773,169.2342965463211,108.04236251337598
2024-05-23,3.12,7.3,133.9744,116.4179,130.597,0.843,1.738,236484802.32,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,127.08284464285713,42.18252258282777,131.6675626984127,23.669007357726656,169.26536722568488,107.99855534068604
2024-05-24,3.21,7.3,127.4143,119.7761,130.597,0.8673,1.7379,243306479.31,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,127.23776726190476,42.03954691721096,131.5627158730159,23.65826842744471,169.2773141791157,107.90444744557118
2024-05-28,3.12,7.3,133.9744,116.4179,125.7463,0.843,1.7327,236484802.32,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,127.38901309523808,41.926010276362966,131.60626984126984,23.657611517501177,169.31502337160106,107.94865832376864
2024-05-29,3.14,7.3,132.4841,117.1642,124.0672,0.8484,1.7317,238000730.54,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,127.53730198412698,41.81121391582092,131.59953015873018,23.657236536570466,169.3485158999479,107.94229362215972
2024-05-30,3.01,7.3,142.5249,112.3134,122.3881,0.8133,1.7314,228147197.11,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,127.70194623015873,41.70618714598397,131.67247936507937,23.67678902161972,169.4081333761427,107.99569034345964
2024-05-31,3.01,7.3,142.5249,112.3134,121.0821,0.8133,1.7305,228147197.11,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,127.87620972222224,41.583846704406014,131.7565841269841,23.69651635458148,169.46005642662823,108.06006777240265
2024-06-03,2.98,7.3,144.9664,111.194,119.7761,0.8052,1.722,225873304.78,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.03972559523808,41.48839839741816,131.77296666666666,23.70499552132253,169.52812399265625,108.06797114534412
2024-06-04,3.05,7.3,139.3443,113.806,119.7761,0.8241,1.7205,231179053.55,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.19394801587302,41.38533426117768,131.7746642857143,23.705534287724365,169.5792822770507,108.06912999798992
2024-06-05,3.02,7.3,141.7219,112.6866,119.7761,0.816,1.7204,228905161.22,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.3707998015873,41.2518390959012,131.86341825396826,23.72179965056078,169.6226388974885,108.14161860340748
2024-06-06,3.04,7.3,140.1316,113.4328,119.2164,0.8214,1.7202,230421089.44,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.5284246031746,41.144346222092736,131.81053492063492,23.695659288132333,169.67277082526735,108.1148756325026
2024-06-07,2.94,7.3,148.2993,109.7015,118.6567,0.7944,1.7176,222841448.34,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.70316746031745,41.04058645462662,131.85943095238096,23.72348152705913,169.74375391494408,108.13594942532184
2024-06-10,3.04,7.3,140.1316,113.4328,118.2836,0.8214,1.7146,230421089.44,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.84444226190476,40.9568814699249,131.86146428571428,23.72418503900684,169.80132373182963,108.13727924670744
2024-06-11,3.02,7.3,141.7219,112.6866,117.9104,0.816,1.7146,228905161.22,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.99531805555554,40.86369090272048,131.91674841269844,23.73909579558832,169.85900895827604,108.17765261711013
2024-06-12,2.99,7.3,144.1472,111.5672,117.5373,0.8079,1.7146,226631268.89,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.13467162698413,40.79517452793416,131.8894373015873,23.722895767350977,169.9298461549183,108.16654153423632
2024-06-13,3.02,7.3,141.7219,112.6866,117.1642,0.816,1.7127,228905161.22,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.2692130952381,40.72444748549624,131.7433007936508,23.603922041774343,169.9936605807343,108.13937875187644
2024-06-14,2.93,7.3,149.1468,109.3284,116.791,0.7917,1.7087,222083484.23,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.34895833333334,40.723941102894806,131.74295079365078,23.603661583812816,170.07289943622814,108.13928920983795
2024-06-17,3.13,7.3,133.2268,116.791,116.791,0.8457,1.6956,237242766.43,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.38270952380952,40.72008413653314,131.72511587301588,23.601668758297315,170.10279366034266,108.12344711471856
2024-06-18,3.35,7.3,117.9104,125.0,116.9776,0.9052,1.6956,253917976.85,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.39499166666667,40.7156794308798,131.6002388888889,23.633034836634863,170.11067109754646,107.96720405225405
2024-06-20,3.21,7.3,127.4143,119.7761,117.1642,0.8673,1.6956,243306479.31,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.38990198412696,40.7157665507998,131.68477301587302,23.5985626641774,170.10566853492676,108.08621035169564
2024-06-21,3.16,7.3,131.0127,117.9104,117.5373,0.8538,1.688,239516658.76,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.4265865079365,40.70886867317714,131.72532142857145,23.5929383556508,170.13545518111363,108.13238307292065
2024-06-24,3.16,7.3,131.0127,117.9104,117.9104,0.8538,1.6746,239516658.76,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.45677123015875,40.70438431850361,131.74400555555556,23.59142233628932,170.16115554866235,108.15258321926623
2024-06-25,3.22,7.3,126.7081,120.1493,117.9104,0.87,1.6718,244064443.42,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.49199523809523,40.69428786281478,131.78221666666667,23.579235762847816,170.18628310091,108.20298090381884
2024-06-26,3.25,7.3,124.6154,121.2687,117.9104,0.8781,1.669,246338335.75,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.555835515873,40.66127051854091,131.82441666666668,23.561465675658663,170.21710603441392,108.262950991008
2024-06-27,3.44,7.3,112.2093,128.3582,117.9104,0.9295,1.6652,260739653.84,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.57062936507936,40.65358425464428,131.80306428571427,23.57813943793012,170.22421361972363,108.22492484778417
2024-06-28,3.48,7.3,109.7701,129.8507,117.9104,0.9403,1.6634,263771510.28,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.54766547619047,40.66150856484071,131.83711666666667,23.542889846860373,170.2091740410312,108.2942268198063
2024-07-01,3.33,7.3,119.2192,124.2537,118.2836,0.8998,1.6577,252402048.63,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.5088027777778,40.66200236478055,131.9235126984127,23.475825815884704,170.17080514255832,108.447686882528
2024-07-02,3.42,7.3,113.4503,127.6119,118.6567,0.9241,1.6552,259223725.62,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.42955,40.65428201549762,131.9313357142857,23.4694528798725,170.08383201549762,108.4618828344132
2024-07-03,3.41,7.3,114.0762,127.2388,119.2164,0.9214,1.6528,258465761.51,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.35604821428572,40.6484739903402,131.88478730158732,23.499221129887665,170.0045222046259,108.38556617169968
2024-07-05,3.44,7.3,112.2093,128.3582,119.7761,0.9295,1.651,260739653.84,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.27319305555554,40.640764927619,131.6733253968254,23.555823369098164,169.91395798317453,108.11750202772724
2024-07-08,3.45,7.3,111.5942,128.7313,119.7761,0.9322,1.6435,261497617.95,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.21409563492062,40.64478161346192,131.51548968253965,23.623648723774533,169.85887724838256,107.89184095876512
2024-07-09,3.45,7.3,111.5942,128.7313,119.7761,0.9322,1.6424,261497617.95,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.1444492063492,40.64484028561665,131.2930896825397,23.67861397810552,169.78928949196586,107.61447570443416
2024-07-10,3.44,7.3,112.2093,128.3582,119.7761,0.9295,1.6407,260739653.84,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.09066567460317,40.64928813715236,131.11717142857145,23.73779913921547,169.73995381175553,107.37937228935598
2024-07-11,3.48,7.3,109.7701,129.8507,119.7761,0.9403,1.6369,263771510.28,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,129.0390398809524,40.65728542186888,130.86189047619047,23.79341732635625,169.69632530282126,107.06847314983422
2024-07-12,3.45,7.3,111.5942,128.7313,119.9627,0.9322,1.6282,261497617.95,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.96939345238096,40.65704360648088,130.576726984127,23.8074246831342,169.62643705886182,106.7693023009928
2024-07-15,3.48,7.3,109.7701,129.8507,120.1493,0.9403,1.6185,263771510.28,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.91479424603173,40.66432663017378,130.2374,23.796781569168576,169.5791208762055,106.44061843083144
2024-07-16,3.5,7.3,108.5714,130.597,120.709,0.9457,1.6158,265287438.5,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.86566349206348,40.6739351293284,129.82592936507936,23.71887758227046,169.53959862139186,106.1070517828089
2024-07-17,3.53,7.3,106.7989,131.7164,121.2687,0.9538,1.6132,267561330.83,11.1332,124.8127,4.0,1.0,-43.8953,691.9313,128.80012817460317,40.68284439974354,129.34890555555555,23.57115879701229,169.48297257434672,105.77774675854326
