date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-03-03,123.99,144.4444,16.4968,42.2237,34.2557,7.1438,4.8914,6069930450.0,29.8496,26.3303,5.0,3.0,19.6667,32.682
2014-03-04,123.05,144.6111,17.5222,41.8537,34.2658,7.0839,4.8914,6023912750.0,29.8546,26.3304,5.0,3.0,19.6667,35.007
2014-03-05,119.08,144.6111,21.4403,40.5034,34.276,6.8554,4.8914,5829561400.0,29.8546,26.3304,5.0,3.0,19.6667,35.007
2014-03-06,116.05,144.6316,24.6287,39.644,34.276,6.7105,4.8914,5681227750.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-07,114.5,144.6316,26.3158,39.1145,34.276,6.6209,4.8914,5605347500.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-10,112.41,144.6316,28.6644,38.4006,34.2557,6.5,4.8914,5503031550.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-11,113.1,144.6316,27.8794,38.6363,34.2658,6.5399,4.8914,5536810500.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-12,114.64,144.6316,26.1615,39.1624,34.276,6.629,4.8914,5612201200.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-13,112.69,144.6316,28.3447,38.4962,34.276,6.5162,4.8914,5516738950.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-14,111.94,144.6316,29.2046,38.24,34.276,6.4728,4.8914,5480022700.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-17,113.54,144.6316,27.3838,38.7866,34.2658,6.5654,4.8914,5558350700.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-18,117.29,144.6316,23.3111,40.0676,34.276,6.7822,4.8914,5741931950.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-19,116.23,144.6316,24.4357,39.7055,34.2763,6.7209,4.8939,5690039650.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-20,114.33,144.6316,26.5036,39.0565,34.2763,6.611,4.8939,5597025150.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-21,106.45,144.6316,35.8681,36.3646,34.2763,6.1554,4.8939,5211259750.0,29.8515,26.3201,5.0,3.0,19.6667,35.007
2014-03-24,107.02,144.6316,35.1445,36.5593,34.2658,6.1884,4.8914,5239164100.0,29.8889,26.3201,5.0,3.0,19.6667,35.007
2014-03-25,107.8,144.6316,34.1666,36.8257,34.276,6.2335,4.8914,5277349000.0,29.8889,26.3201,5.0,3.0,19.6667,35.007
2014-03-26,103.64,144.6316,39.5519,35.4046,34.2763,5.9929,4.8939,5073696200.0,29.8889,26.3201,5.0,3.0,19.6667,35.007
2014-03-27,104.05,144.6316,39.002,35.5447,34.2763,6.0166,4.8939,5093767750.0,29.8889,26.3201,5.0,3.0,19.6667,35.007
2014-03-28,104.43,144.6316,38.4962,35.6745,34.2763,6.0386,4.8939,5112370650.0,29.8889,26.3201,5.0,3.0,19.6667,35.007
2014-03-31,106.09,143.65,35.4039,36.2193,34.3044,6.1355,4.9094,5193635950.0,29.5486,24.8265,5.0,3.0,19.6667,27.7821
2014-04-01,110.97,143.65,29.4494,37.8376,34.3073,6.3916,4.9101,5432536350.0,30.4773,25.1182,5.0,3.0,19.6667,28.6195
2014-04-02,111.81,144.15,28.9241,37.9287,34.352,6.3426,4.912,5473658550.0,31.782,25.6224,5.0,3.0,19.6667,29.5339
2014-04-03,112.32,144.15,28.3387,38.1017,34.352,6.3715,4.9168,5498625600.0,31.782,25.6224,5.0,3.0,19.6667,29.5339
