date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-05-04,21.83,26.4167,21.011,884.7518,404.7414,6.1978,6.1978,1403368029.79,24.3166,112.4056,1.0,2.0,4.5345,11.8554
2015-05-05,21.42,25.9167,20.993,884.7518,404.7414,5.9776,6.0877,1377010682.46,24.2959,114.4554,1.0,3.0,6.1105,11.8484
2015-05-06,21.11,25.75,21.9801,884.7518,404.7414,5.9968,5.9968,1357081956.43,22.3303,119.0611,1.0,3.0,6.1105,11.2605
2015-05-07,21.66,25.6667,18.4982,884.7518,404.7414,6.1684,6.0826,1392439373.58,22.3261,119.0611,1.0,3.0,6.1105,11.2605
2015-05-08,22.01,25.6667,16.6138,884.7518,404.7414,6.2681,6.1684,1414939548.13,22.3261,119.0611,1.0,3.0,6.1105,11.2605
2015-05-11,21.5,25.6667,19.38,884.7518,404.7414,6.1228,6.1684,1382153579.5,22.3261,119.0611,1.0,3.0,6.1105,11.2605
2015-05-12,21.56,25.6667,19.0478,884.7518,404.7414,6.1399,6.1541,1386010752.28,22.3261,119.0611,1.0,3.0,6.1105,11.2605
2015-05-13,21.4,25.6667,19.9379,884.7518,404.7414,6.0996,6.1399,1375724958.2,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-14,21.75,25.6667,18.0078,884.7518,404.7414,6.1993,6.1541,1398225132.75,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-15,22.2,25.6667,15.6158,884.7518,404.7414,6.3276,6.1684,1427153928.6,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-18,22.18,25.6667,15.72,884.7518,404.7414,6.3219,6.1831,1425868204.34,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-19,22.16,25.6667,15.8245,884.7518,404.7414,6.3162,6.1978,1424582480.08,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-20,22.05,25.6667,16.4023,884.7518,404.7414,6.2849,6.1986,1417510996.65,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-21,21.73,25.6667,18.1164,884.7518,404.7414,6.2011,6.1993,1396939408.49,22.3252,119.0611,1.0,3.0,6.1105,11.2605
2015-05-22,21.81,25.6667,17.6832,884.7518,404.7414,6.2234,6.2002,1402082305.53,22.3252,119.0611,1.0,3.0,5.7677,11.227
2015-05-26,21.65,25.6667,18.5529,884.7518,404.7414,6.1777,6.1993,1391796511.45,22.3252,119.0611,1.0,3.0,5.7677,11.227
2015-05-27,21.85,25.6667,17.4677,884.7518,404.7414,6.2348,6.2002,1404653754.05,22.3252,119.0611,1.0,3.0,5.7677,11.227
2015-05-28,21.55,25.6667,19.103,884.7518,404.7414,6.1492,6.1993,1385367890.15,22.3252,119.0611,1.0,3.0,5.7677,11.227
2015-05-29,21.3,25.6667,20.5009,884.7518,404.7414,6.0778,6.1986,1369296336.9,22.3252,119.0611,1.0,3.0,5.7677,11.227
2015-06-01,21.55,25.6667,19.103,884.7518,404.7414,6.2487,6.1993,1385367890.15,22.3375,119.0611,1.0,3.0,5.7677,11.227
2015-06-02,21.4,25.6667,19.9379,884.7518,404.7414,6.2052,6.2002,1375724958.2,22.3375,119.0611,1.0,3.0,5.7677,11.227
2015-06-03,21.24,25.6667,20.8413,884.7518,404.7414,6.1823,6.1993,1365439164.12,22.3523,116.156,1.0,3.0,5.7677,11.6327
2015-06-04,21.29,25.6667,20.5575,884.7518,404.7414,6.1969,6.1986,1368653474.77,22.3523,116.156,1.0,3.0,5.7677,11.6327
2015-06-05,21.03,25.4583,21.0571,884.7518,404.7414,6.1212,6.1978,1351939059.39,22.3523,116.156,1.0,3.0,5.845,11.6383
2015-06-08,21.09,25.4583,20.7127,884.7518,404.7414,6.1387,6.1974,1355796232.17,22.3523,116.156,1.0,3.0,5.845,11.6383
2015-06-09,21.01,25.4583,21.1723,884.7518,404.7414,6.1154,6.1969,1350653335.13,22.3523,116.156,1.0,3.0,5.845,11.6383
2015-06-10,21.21,25.4583,20.0297,884.7518,404.7414,6.1736,6.1896,1363510577.73,22.3523,116.156,1.0,3.0,5.845,11.6383
2015-06-11,21.09,25.4583,20.7127,884.7518,404.7414,6.1094,6.1823,1355796232.17,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-12,21.21,25.4583,20.0297,884.7518,404.7414,6.1442,6.18,1363510577.73,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-15,20.83,25.4583,22.2194,884.7518,404.7414,6.0341,6.1777,1339081816.79,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-16,20.83,25.4583,22.2194,884.7518,404.7414,6.0341,6.1756,1339081816.79,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-17,20.96,25.4583,21.4614,884.7518,404.7414,6.0718,6.1736,1347439024.48,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-18,21.62,25.25,16.79,884.7518,404.7414,6.263,6.1756,1389867925.06,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-19,21.44,25.25,17.7705,884.7518,404.7414,6.2108,6.1777,1378296406.72,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-22,21.0,25.25,20.2381,884.7518,404.7414,6.0834,6.1756,1350010473.0,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-23,21.09,25.25,19.725,884.7518,404.7414,6.1094,6.1736,1355796232.17,22.3453,150.5492,1.0,3.0,5.845,11.6383
2015-06-24,21.02,25.25,20.1237,884.7518,404.7414,6.0892,6.171,1351296197.26,22.3453,150.5492,1.0,3.0,5.845,11.6383
