date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2007-10-17,17.93,18.3718,2.464,20.1869,17.0127,1.665,1.1537,1659196765.38,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-18,18.36,18.3718,0.0643,20.671,17.0132,1.7049,1.1537,1698987875.76,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-19,18.12,18.3718,1.3896,20.4008,17.0138,1.6826,1.1537,1676778883.92,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-22,17.67,18.3718,3.9717,19.8942,17.0167,1.6408,1.154,1635137024.22,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-23,17.72,18.3718,3.6783,19.9505,17.0196,1.6455,1.1542,1639763897.52,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-24,17.96,18.3718,2.2929,20.2207,17.0296,1.6678,1.155,1661972889.36,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-25,18.25,18.3718,0.6674,20.5472,17.0396,1.6947,1.1559,1688808754.5,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-26,18.6,18.3718,-1.2269,20.9412,17.0411,1.7272,1.1562,1721196867.6,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-29,18.73,18.3718,-1.9124,21.0876,17.0426,1.7393,1.1565,1733226738.18,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-30,19.07,18.3718,-3.6612,21.4704,17.0616,1.7708,1.1571,1764689476.62,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-10-31,19.47,18.3718,-5.6405,21.9207,17.0805,1.808,1.1577,1801704463.02,29.1119,24.2585,1.0,1.0,18.0,3.6351
2007-11-01,19.25,20.5929,6.9761,20.1402,17.0814,1.682,1.1584,1780717323.0,28.8499,26.1523,4.0,1.0,18.0,19.887
2007-11-02,19.3,21.0852,9.2497,19.4792,17.0824,1.6441,1.1591,1785342562.8,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-05,18.72,21.0852,12.6346,18.8938,17.091,1.5947,1.1596,1731689781.12,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-06,18.07,21.0852,16.6862,18.2378,17.0995,1.5393,1.1601,1671561663.72,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-07,17.52,21.0852,20.3493,17.6827,17.1006,1.4924,1.1611,1620684025.92,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-08,17.89,21.0852,17.8603,18.0561,17.1017,1.524,1.1622,1654910800.44,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-09,18.12,21.0852,16.3642,18.2883,17.1039,1.5436,1.1624,1676186903.52,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-12,17.34,21.0852,21.5986,17.501,17.1061,1.4771,1.1626,1604033162.64,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-13,17.43,21.0852,20.9707,17.5918,17.1118,1.4848,1.163,1612358594.28,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-14,17.04,21.0852,23.7394,17.1982,17.1175,1.4516,1.1634,1576281723.84,29.1112,26.3306,4.0,1.0,18.0,19.887
2007-11-15,16.45,21.0852,28.1775,16.6027,17.1118,1.4013,1.1641,1521703894.2,29.1112,26.3306,4.0,1.0,18.0,19.887
