date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2003-08-01,9.16,10.5479,15.1517,14.173,14.5748,4.0588,9.6484,17367360000.0,21.0435,14.2991,2.0,1.0,9.0,14.3326
2003-08-04,9.07,10.5479,16.2944,14.0598,14.5448,4.2459,9.6378,17196720000.0,17.9269,13.608,3.0,1.0,9.0,14.2799
2003-08-05,9.07,10.4703,15.4388,14.1255,14.5406,4.2459,9.6352,17196720000.0,17.9269,13.6201,3.0,2.0,7.5,14.3503
2003-08-06,9.0,10.4703,16.3367,14.0537,14.5363,4.2132,9.629,17064000000.0,17.9269,13.7459,3.0,2.0,7.5,14.2868
2003-08-07,9.23,10.4703,13.4377,14.4129,14.5342,4.3208,9.6217,17500080000.0,17.9269,13.7459,3.0,2.0,7.5,14.2868
2003-08-08,9.34,10.4703,12.1017,14.6235,14.5342,4.3723,9.6205,17708640000.0,17.9269,13.8142,3.0,2.0,7.5,14.3379
2003-08-11,9.5,10.4703,10.2137,14.8183,14.5311,4.4472,9.611,18012000000.0,17.9269,13.7579,3.0,2.0,7.5,14.3026
2003-08-12,9.47,10.488,10.7497,14.5849,14.5326,4.2521,9.6108,17955120000.0,18.0878,13.4461,3.0,2.0,7.5,14.3026
2003-08-13,9.4,10.488,11.5745,14.5286,14.5311,4.2207,9.6108,17822400000.0,18.0878,13.4992,3.0,2.0,7.5,14.3375
2003-08-14,9.38,10.488,11.8124,14.4977,14.5286,4.2117,9.6102,17784480000.0,18.0878,13.4992,3.0,2.0,7.5,14.3375
2003-08-15,9.5,10.4965,10.4895,14.6289,14.5286,4.2656,9.6095,18012000000.0,18.0878,13.4479,3.0,2.0,7.5,14.2754
2003-08-18,9.56,10.4965,9.796,14.5621,14.5231,4.2925,9.5969,18125760000.0,18.0878,13.6184,3.0,2.0,7.5,13.8275
