date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2013-12-23,16.91,17.6667,4.4749,10.2778,9.6463,4.9416,5.1055,450731010.82,32.049,10.7388,1.0,1.0,5.0,-4.9406
2013-12-24,16.81,17.6667,5.0964,10.217,9.6463,4.9124,5.0987,448065540.62,32.049,10.7388,1.0,1.0,5.0,-4.9406
2013-12-26,16.84,17.6667,4.9091,10.2352,9.6463,4.9211,5.0948,448865181.68,32.049,10.7388,1.0,1.0,5.0,-4.9406
2013-12-27,16.98,17.6667,4.0442,10.3203,9.6463,4.962,5.091,452596839.96,32.049,10.7388,1.0,1.0,5.0,-4.9406
2013-12-30,16.74,17.6667,5.5358,10.1744,9.6463,4.8919,5.0849,446199711.48,32.049,10.7388,1.0,1.0,5.0,-4.9406
2013-12-31,16.78,17.6667,5.2843,10.1987,9.6475,4.9036,5.0788,447265899.56,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-02,16.71,17.6667,5.7253,10.1562,9.6488,4.8831,5.0691,445400070.42,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-03,16.87,17.6667,4.7226,10.2534,9.6488,4.9299,5.0593,449664822.74,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-06,16.98,17.6667,4.0442,10.3203,9.6488,4.962,5.059,452596839.96,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-07,17.09,17.6667,3.3745,10.3872,9.6491,4.9942,5.0586,455528857.18,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-08,17.09,17.6667,3.3745,10.3872,9.6495,4.9942,5.0535,455528857.18,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-09,17.44,17.6667,1.2999,10.5999,9.6511,5.0965,5.0586,464858002.88,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-10,17.31,17.6667,2.0607,10.5209,9.6527,5.0585,5.0586,461392891.62,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-13,17.05,17.6667,3.617,10.3629,9.654,4.9825,5.0585,454462669.1,32.049,10.7388,1.0,1.0,5.0,-4.9406
2014-01-14,17.05,17.6667,3.617,10.3629,9.6552,4.9825,5.0535,454462669.1,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-15,17.15,17.6667,3.0128,10.4236,9.6573,5.0117,5.0485,457128139.3,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-16,17.31,17.6667,2.0607,10.5209,9.6593,5.0585,5.0535,461392891.62,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-17,17.33,17.6667,1.9429,10.533,9.6598,5.0643,5.0585,461925985.66,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-21,17.44,17.6667,1.2999,10.5999,9.6603,5.0965,5.0585,464858002.88,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-22,17.52,17.6667,0.8373,10.6485,9.6608,5.1198,5.0585,466990379.04,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-23,17.52,17.6667,0.8373,10.6485,9.6613,5.1198,5.0586,466990379.04,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-24,17.23,17.6667,2.5345,10.4723,9.6635,5.0351,5.0585,459260515.46,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-27,17.25,17.6667,2.4157,10.4844,9.6656,5.0409,5.0585,459793609.5,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-28,17.23,17.6667,2.5345,10.4723,9.6656,5.0351,5.0585,459260515.46,32.049,10.7292,1.0,1.0,5.0,-4.9406
2014-01-29,17.07,17.6667,3.4956,10.375,9.6685,4.882,5.0535,454995763.14,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-01-30,17.3,17.6667,2.1197,10.5148,9.6714,4.9478,5.0485,461126344.6,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-01-31,17.32,17.6667,2.0017,10.527,9.6725,4.9535,5.047,461659438.64,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-03,17.19,17.6667,2.7731,10.4479,9.6735,4.9163,5.0433,458194327.38,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-04,17.22,17.6667,2.5941,10.4662,9.6735,4.9249,5.0411,458993968.44,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-05,16.98,17.6667,4.0442,10.3203,9.676,4.8562,5.041,452596839.96,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-06,17.04,17.6667,3.6778,10.3568,9.6786,4.8734,5.0409,454196122.08,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-07,17.21,17.6667,2.6537,10.4601,9.6786,4.922,5.038,458727421.42,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-10,17.38,17.6667,1.6496,10.5634,9.6786,4.9706,5.0351,463258720.76,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-11,17.47,17.6667,1.1259,10.6181,9.6793,4.9964,5.0351,465657643.94,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-12,17.37,17.6667,1.7081,10.5573,9.68,4.9678,5.0351,462992173.74,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-13,17.48,17.6667,1.0681,10.6242,9.6816,4.9992,5.0334,465924190.96,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-14,17.59,17.6667,0.436,10.6911,9.6831,5.0307,5.0317,468856208.18,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-18,17.84,17.6667,-1.2052,10.8252,9.6908,5.0682,5.0317,475519883.68,32.0749,10.7292,1.0,1.0,5.0,-4.9406
2014-02-19,17.55,17.5,-0.2849,10.6364,9.6925,4.9858,5.0312,467790020.1,32.0749,10.6353,1.0,1.0,5.0,-4.9406
2014-02-20,17.94,17.5,-2.4526,10.8727,9.6938,5.0966,5.0317,478185353.88,32.0749,10.6353,1.0,1.0,5.0,-4.9406
2014-02-21,17.97,17.5,-2.6155,10.8909,9.695,5.1051,5.0334,478984994.94,32.0749,10.6353,1.0,1.0,5.0,-4.9406
2014-02-24,17.83,17.5,-1.8508,10.8061,9.6969,5.0653,5.0351,475253336.66,32.0749,10.6353,1.0,1.0,5.0,-4.9406
2014-02-25,17.15,17.5,2.0408,10.3939,9.6987,4.8721,5.0334,457128139.3,32.0749,10.6353,1.0,1.0,5.0,-4.9406
2014-02-26,17.49,17.5,0.0572,10.6,9.6988,4.8867,5.0317,466190737.98,32.1737,10.6353,1.0,1.0,5.0,-4.9406
2014-02-27,17.69,17.5,-1.0741,10.7212,9.6989,4.9426,5.0312,471521678.38,32.1737,10.6353,1.0,1.0,5.0,-4.9406
2014-02-28,17.68,17.5,-1.0181,10.7152,9.6989,4.9398,5.0307,471255131.36,32.1737,10.6353,1.0,1.0,5.0,-4.9406
2014-03-03,17.61,17.5,-0.6246,10.6727,9.7016,4.9202,5.0259,469389302.22,32.1737,10.6353,1.0,1.0,5.0,-4.9406
2014-03-04,17.18,17.5,1.8626,10.4121,9.7042,4.8001,5.0195,457927780.36,32.1737,10.6353,1.0,1.0,5.0,-4.9406
2014-03-05,17.38,17.5,0.6904,10.5333,9.7047,4.856,5.0131,463258720.76,32.1737,10.6353,1.0,1.0,5.0,-4.9406
2014-03-06,17.53,17.8,1.5402,10.6404,9.7052,4.9,5.0124,550277147.88,20.8332,-1.4648,1.0,1.0,5.0,158.7476
2014-03-07,17.22,17.8333,3.5616,10.3866,9.7079,4.5169,5.0117,540546063.12,21.1745,-1.4451,1.0,1.0,5.0,161.9564
2014-03-10,16.96,17.8333,5.1492,10.2298,9.7106,4.4487,5.0113,532384508.16,21.1745,-1.4451,1.0,1.0,5.0,161.9564
2014-03-11,16.78,17.8333,6.2771,10.1212,9.7108,4.4047,5.0108,526734200.88,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-12,16.69,17.8333,6.8502,10.067,9.711,4.3811,5.0084,523909047.24,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-13,16.39,17.8333,8.806,9.886,9.7113,4.3023,5.0059,514491868.44,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-14,16.54,17.8333,7.8192,9.9765,9.7116,4.3417,5.0038,519200457.84,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-17,16.52,17.8333,7.9498,9.9644,9.7144,4.3365,5.0017,518572645.92,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-18,16.51,17.8333,8.0151,9.9584,9.7172,4.3338,5.0006,518258739.96,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-19,16.52,17.8333,7.9498,9.9644,9.7174,4.3365,4.9996,518572645.92,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-20,16.57,17.8333,7.624,9.9946,9.7175,4.3496,4.9994,520142175.72,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-21,16.63,17.8333,7.2357,10.0308,9.7177,4.3653,4.9993,522025611.48,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-24,16.74,17.8333,6.5311,10.0971,9.7179,4.3942,4.9992,525478577.04,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-25,16.67,17.8333,6.9784,10.0549,9.7207,4.3758,4.9992,523281235.32,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-26,16.36,17.8333,9.0055,9.8679,9.7235,4.2945,4.9982,513550150.56,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-27,16.44,17.8333,8.4751,9.9162,9.7238,4.3155,4.9971,516061398.24,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-28,16.68,17.8333,6.9143,10.0609,9.7242,4.3785,4.9968,523595141.28,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-03-31,16.55,17.8333,7.7541,9.9825,9.7258,4.3443,4.9964,519514363.8,21.1723,-1.4451,1.0,1.0,5.0,161.9564
2014-04-01,16.68,17.8333,6.9143,10.0609,9.7273,4.3781,4.9953,523595141.28,21.173,-1.4451,1.0,1.0,5.0,161.9564
2014-04-02,16.71,17.8333,6.7223,10.079,9.7273,4.386,4.9942,524536859.16,21.173,-1.4451,1.0,1.0,5.0,161.9564
2014-04-03,16.84,17.8333,5.8985,10.1574,9.7273,4.4201,4.9942,528617636.64,21.173,-1.4451,1.0,1.0,5.0,161.9564
2014-04-04,16.72,17.8333,6.6585,10.085,9.729,4.3886,4.9942,524850765.12,21.173,-1.4451,1.0,1.0,5.0,161.9564
2014-04-07,16.5,17.8333,8.0806,9.9523,9.7306,4.3309,4.9926,517944834.0,21.173,-1.4451,1.0,1.0,5.0,161.9564
2014-04-08,16.57,17.8333,7.624,9.9946,9.7306,4.3492,4.9911,520142175.72,21.173,-1.4451,1.0,1.0,5.0,161.9564
