date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2016-05-10,24.16,28.5,17.9636,12.8511,15.5843,1.2217,1.1037,262415821.12,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-11,23.95,28.5,18.9979,12.7394,15.5793,1.2111,1.1044,260134888.9,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-12,24.07,28.5,18.4047,12.8032,15.5793,1.2171,1.1054,261438278.74,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-13,24.0,28.5,18.75,12.766,15.5793,1.2136,1.1058,260677968.0,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-16,24.31,28.5,17.2357,12.9309,15.5955,1.2293,1.1071,264045058.42,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-17,23.56,28.5,20.9677,12.5319,15.5843,1.1913,1.1076,255898871.92,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-18,23.59,28.5,20.8139,12.5479,15.5793,1.1929,1.1076,256224719.38,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-19,23.37,28.5,21.9512,12.4309,15.5793,1.1817,1.1076,253835171.34,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-20,23.84,28.5,19.547,12.6809,15.5793,1.2055,1.108,258940114.88,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-23,23.02,28.5,23.8054,12.2447,15.5955,1.164,1.1092,250033617.64,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-24,23.36,28.5,22.0034,12.4255,15.5843,1.1812,1.1092,253726555.52,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-25,23.81,28.5,19.6976,12.6649,15.5793,1.204,1.1098,258614267.42,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-26,23.3,28.5,22.3176,12.3936,15.5793,1.1782,1.1108,253074860.6,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-27,23.47,28.5,21.4316,12.484,15.5793,1.1868,1.1118,254921329.54,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-05-31,23.47,28.5,21.4316,12.484,15.5843,1.1868,1.1129,254921329.54,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-01,23.69,28.5,20.3039,12.6011,15.5793,1.1979,1.113,257310877.58,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-02,23.34,28.5,22.108,12.4149,15.5793,1.1802,1.1134,253509323.88,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-03,23.64,28.5,20.5584,12.5745,15.5793,1.1954,1.1136,256767798.48,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-06,24.24,28.5,17.5743,12.8936,15.5955,1.2257,1.1142,263284747.68,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-07,24.19,28.5,17.8173,12.867,15.5843,1.2232,1.1146,262741668.58,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-08,24.31,28.5,17.2357,12.9309,15.5793,1.2293,1.1148,264045058.42,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-09,24.76,28.5,15.105,13.1702,15.5793,1.252,1.1151,268932770.32,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-10,24.5,28.5,16.3265,13.0319,15.5793,1.2389,1.1152,266108759.0,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-13,24.36,28.5,16.9951,12.9574,15.5955,1.2318,1.1158,264588137.52,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-14,23.91,28.5,19.197,12.7181,15.5843,1.209,1.1162,259700425.62,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-15,24.08,28.5,18.3555,12.8085,15.5793,1.2176,1.1174,261546894.56,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-16,23.76,28.5,19.9495,12.6383,15.5793,1.2014,1.1188,258071188.32,9.4391,30.2396,1.0,1.0,52.0,7.4603
2016-06-17,24.13,28.5,18.1102,12.8351,15.5793,1.2202,1.1191,262089973.66,9.4391,30.2396,1.0,1.0,52.0,7.4603
