date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2021-11-22,11.25,15.9023,41.3538,22.1152,16.2846,9.3292,7.0399,1757168043.75,19.7548,33.0742,5.0,1.0,18.1706,10.1846,73.21455263157895,18.215549466480656,73.21455263157895,18.215549466480656,91.4301020980596,54.9990031650983
2021-11-23,11.28,15.9023,40.9778,22.1655,16.3024,9.3541,7.047,1761853825.2,19.7548,31.1819,5.0,1.0,18.1706,9.1805,72.38796923076923,18.70082521620164,72.38796923076923,18.70082521620164,91.08879444697088,53.68714401456759
2021-11-24,11.63,15.9023,36.7352,22.8532,16.3108,9.6443,7.0626,1816521275.45,19.7548,31.1819,5.0,1.0,18.1706,9.1805,71.49665,19.301079269756805,71.49665,19.301079269756805,90.7977292697568,52.1955707302432
2021-11-26,11.44,15.9023,39.0061,22.4799,16.3193,9.4867,7.0782,1786844659.6,19.7548,31.1819,5.0,1.0,18.1706,9.1805,70.70419756097562,19.722210450295474,70.70419756097562,19.722210450295474,90.42640801127108,50.98198711068014
2021-11-29,11.26,15.9023,41.2282,22.1262,16.3201,9.3375,7.0826,1758729970.9,19.7548,31.1819,5.0,1.0,18.1706,9.1805,70.0023880952381,20.00412841533397,70.0023880952381,20.00412841533397,90.00651651057207,49.99825967990414
2021-11-30,11.58,15.9023,37.3256,22.755,16.321,9.6028,7.087,1808711639.7,19.7548,31.1819,5.0,1.0,18.1706,9.1805,69.24246279069767,20.383064785456245,69.24246279069767,20.383064785456245,89.62552757615391,48.85939800524143
2021-12-01,11.41,15.9023,39.3716,22.4209,16.357,9.4619,7.1132,1782158878.15,19.7548,31.1819,5.0,1.0,18.1706,9.1805,68.56357954545454,20.641852651220248,68.56357954545454,20.641852651220248,89.20543219667479,47.9217268942343
2021-12-02,11.41,15.9023,39.3716,22.4209,16.3931,9.4619,7.1394,1782158878.15,19.7548,31.1819,5.0,1.0,18.1706,9.1805,67.91486888888889,20.86478982704445,67.91486888888889,20.86478982704445,88.77965871593334,47.05007906184444
2021-12-03,11.0,15.9023,44.5664,21.6152,16.6433,9.1219,7.2688,1718119865.0,19.7548,31.1819,5.0,1.0,18.1706,9.1805,67.40729347826087,20.916891573796445,67.40729347826087,20.916891573796445,88.32418505205732,46.49040190446442
2021-12-06,10.95,15.8745,44.9726,21.517,16.8936,9.0804,7.3983,1710310229.25,19.7548,31.1819,5.0,1.0,18.1706,9.1805,66.92995957446809,20.945499942964403,66.92995957446809,20.945499942964403,87.87545951743249,45.98445963150368
2021-12-07,10.81,15.8745,46.8501,21.2419,16.9921,8.9643,7.4414,1688443249.15,19.7548,31.1819,5.0,1.0,18.1706,9.1805,66.51162916666667,20.92318436479942,66.51162916666667,20.92318436479942,87.43481353146609,45.58844480186725
2021-12-08,10.87,15.8745,46.0396,21.3766,17.0906,9.0141,7.4846,1697814812.05,19.7548,31.1716,5.0,1.0,18.1706,9.1765,66.09383265306123,20.909624031206583,66.09383265306123,20.909624031206583,87.0034566842678,45.18420862185464
2021-12-09,10.62,15.8745,49.4774,20.885,17.0906,8.8067,7.4846,1658766633.3,19.7548,31.1716,5.0,1.0,18.1706,9.1765,65.761504,20.828149035252217,65.761504,20.828149035252217,86.58965303525221,44.933354964747785
2021-12-10,10.22,15.8745,55.3278,20.0983,17.0906,8.475,7.4846,1596289547.3,19.7548,31.1716,5.0,1.0,18.1706,9.1765,65.55692156862746,20.67051302997886,65.55692156862746,20.67051302997886,86.22743459860632,44.8864085386486
2021-12-13,10.04,15.8745,58.1125,19.7443,17.1264,8.3258,7.5002,1568174858.6,19.7548,31.1716,5.0,1.0,18.1706,9.1765,65.41375961538462,20.492877337798685,65.41375961538462,20.492877337798685,85.90663695318331,44.92088227758593
2021-12-14,9.89,15.8745,60.5106,19.4494,17.1623,8.2014,7.5159,1544745951.35,19.7548,31.1716,5.0,1.0,18.1706,9.1765,65.32124716981131,20.306046121031624,65.32124716981131,20.306046121031624,85.62729329084294,45.01520104877969
2021-12-15,10.04,15.8745,58.1125,19.7443,17.234,8.3258,7.5552,1568174858.6,19.7548,31.1716,5.0,1.0,18.1706,9.1765,65.18775185185186,20.13747570574637,65.18775185185186,20.13747570574637,85.32522755759823,45.05027614610549
2021-12-16,10.4,15.9508,53.3731,20.4523,17.3056,8.6243,7.5944,1624404236.0,19.7548,31.1716,5.0,1.0,18.1706,9.1765,64.97294,20.013651935298057,64.97294,20.013651935298057,84.98659193529805,44.95928806470194
2021-12-17,10.32,15.9138,54.2035,20.347,17.3235,8.558,7.6415,1611908818.8,19.7548,31.1385,5.0,1.0,18.1706,9.1695,64.78062857142858,19.88302519328956,64.78062857142858,19.88302519328956,84.66365376471813,44.89760337813902
2021-12-20,10.47,15.9138,51.9943,20.6427,17.3415,8.6824,7.6885,1635337726.05,19.7548,31.1385,5.0,1.0,18.1706,9.1695,64.55630701754386,19.777345420453937,64.55630701754386,19.777345420453937,84.3336524379978,44.77896159708992
2021-12-21,10.43,15.9138,52.5772,20.5639,17.449,8.6492,7.7516,1629090017.45,19.7548,31.1385,5.0,1.0,18.1706,9.1695,64.34977068965517,19.66609640688552,64.34977068965517,19.66609640688552,84.01586709654069,44.68367428276965
2021-12-22,10.55,15.9138,50.8417,20.8005,17.5564,8.7487,7.8147,1647833143.25,19.7548,31.1385,5.0,1.0,18.1706,9.1695,64.12082033898305,19.57497968716769,64.12082033898305,19.57497968716769,83.69580002615075,44.54584065181536
2021-12-23,10.93,15.9138,45.5974,21.5497,18.3295,9.0638,8.0081,1707186374.95,19.7548,31.1385,5.0,1.0,18.1706,9.1695,63.81209666666667,19.5551495703381,63.81209666666667,19.5551495703381,83.36724623700476,44.256947096328574
2021-12-27,11.25,15.9138,41.456,22.1806,19.1026,9.3292,8.2636,1757168043.75,19.7548,31.1385,5.0,1.0,18.1706,9.1695,63.44560327868852,19.60162846336131,63.44560327868852,19.60162846336131,83.04723174204983,43.843974815327215
2021-12-28,12.19,15.9138,30.548,24.0339,19.276,10.1087,8.3258,1903989195.85,19.7548,31.1385,5.0,1.0,18.1706,9.1695,62.91499677419355,19.88418389696159,62.91499677419355,19.88418389696159,82.79918067115514,43.03081287723195
2021-12-29,11.88,15.9138,33.9545,23.4227,19.4494,9.8516,8.3258,1855569454.2,19.7548,31.1385,5.0,1.0,18.1706,9.1695,62.455306349206346,20.057829472221908,62.455306349206346,20.057829472221908,82.51313582142825,42.39747687698444
2021-12-30,12.02,15.9138,32.3943,23.6987,19.5968,9.9677,8.3258,1877436434.3,19.7548,31.1385,5.0,1.0,18.1706,9.1695,61.985603125,20.24969871835425,61.985603125,20.24969871835425,82.23530184335425,41.73590440664575
2021-12-31,12.15,15.9138,30.9778,23.955,19.7443,10.0755,8.3422,1897741487.25,19.7548,31.1385,5.0,1.0,18.1706,9.1695,61.50856,20.455691667042835,61.50856,20.455691667042835,81.96425166704283,41.05286833295716
2022-01-03,12.88,15.9138,23.5543,25.3943,19.7443,10.6809,8.3586,2011762169.2,19.7548,31.1385,5.0,1.0,18.1706,9.1695,60.93349545454546,20.828442197300483,60.93349545454546,20.828442197300483,81.76193765184594,40.105053257244975
2022-01-04,12.24,15.9138,30.0147,24.1325,19.7443,10.1501,8.4168,1911798831.6,19.7548,31.1385,5.0,1.0,18.1706,9.1695,60.472020895522384,21.01235709978658,60.472020895522384,21.01235709978658,81.48437799530896,39.45966379573581
2022-01-05,12.6,15.9138,26.3,24.8423,19.7503,10.4487,8.475,1968028209.0,19.7548,31.1385,5.0,1.0,18.1706,9.1695,59.96949117647059,21.262684893400483,59.96949117647059,21.262684893400483,81.23217606987107,38.70680628307011
