date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-06-22,23.71,31.0556,30.981,359.7876,359.7876,12.1086,21.3412,3326803897.99,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-06-23,23.6,31.0556,31.5915,358.1184,358.953,12.0524,21.3412,3311369548.4,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-06-26,22.87,31.0556,35.7919,347.041,358.1184,11.6796,21.3473,3208941592.03,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-06-27,22.83,31.0556,36.0298,346.434,352.5797,11.6592,21.3412,3203329101.27,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-06-28,24.02,31.0556,29.2906,364.4917,358.1184,12.2669,21.3351,3370300701.38,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-06-29,24.11,31.0556,28.808,365.8574,358.953,12.3129,21.3165,3382928805.59,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-06-30,24.84,31.0556,25.0225,376.9347,359.7876,12.6857,21.3165,3485356761.96,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-03,22.75,31.0556,36.5081,345.22,358.953,11.6183,21.012,3192104119.75,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-05,23.1,31.0556,34.4398,350.5311,358.1184,11.7971,21.0059,3241213413.9,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-06,23.04,31.0556,34.7899,351.2195,354.669,11.7681,20.9876,3232794677.76,1078.2184,526.2848,6.0,1.0,-57.1144,226.0533
2023-07-07,24.96,31.0556,24.4215,378.7557,358.1184,12.7469,20.9635,3502194234.24,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-10,26.5,31.0556,17.1909,402.1244,358.953,13.5334,20.7726,3718275128.5,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-11,25.4,31.0556,22.2661,385.4325,359.7876,12.9717,20.759,3563931632.6,1078.2253,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-12,25.46,31.0556,21.978,388.1098,362.1396,13.0042,20.7404,3572350368.74,1078.2184,526.2848,6.0,1.0,-57.1144,226.0533
2023-07-13,21.75,31.0556,42.7844,330.0455,359.7876,11.1076,20.6454,3051791850.75,1078.2176,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-14,22.1,31.0556,40.5231,335.3566,358.953,11.2863,20.5652,3100901144.9,1078.2176,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-17,21.48,31.0556,44.5791,325.9484,354.669,10.9697,20.482,3013907538.12,1078.2176,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-18,21.37,31.0556,45.3234,324.2792,351.2195,10.9135,20.4637,2998473188.53,1078.2176,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-19,21.24,31.0556,46.2128,322.3065,350.8753,10.8471,20.4454,2980232593.56,1078.2176,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-20,20.95,31.0556,48.2368,317.9059,350.5311,10.699,20.3381,2939542035.55,1078.2176,523.9636,6.0,1.0,-57.1144,226.0533
2023-07-21,20.62,31.7222,53.8419,159.4741,348.786,9.9064,20.2719,2893238986.78,1154.6458,296.9665,6.0,1.0,-57.1144,226.0533
2023-07-24,20.28,31.7222,56.4211,156.8445,347.041,9.743,20.1473,2845532815.32,1154.6458,296.9665,6.0,1.0,-57.1144,226.0533
2023-07-25,20.14,31.7222,57.5084,155.7618,346.7375,9.6757,20.1414,2825889097.66,1154.6458,296.9665,6.0,1.0,-57.1144,226.0533
2023-07-26,20.23,31.7222,56.8077,156.4578,346.434,9.719,20.1355,2838517201.87,1154.6458,296.9665,6.0,1.0,-57.1144,226.0533
2023-07-27,19.82,31.7222,60.0515,153.2869,345.827,9.522,20.0002,2780989171.58,1154.6458,296.9665,6.0,1.0,-57.1144,226.0533
2023-07-28,19.7,31.7222,61.0264,127.261,345.22,9.3097,19.9582,2764151699.3,1180.8612,252.4509,6.0,1.0,-57.1144,188.4255
