date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2014-04-17,63.22,71.7143,13.4361,15.2092,11.8781,0.8414,0.5478,3372978366.94,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.7095128968254,8.444164167664459,23.9249007936508,6.8298335903886604,33.153677064489855,17.095067203262136
2014-04-21,62.41,71.7143,14.9083,15.0143,11.902,0.8307,0.5476,3329762415.07,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.704942857142857,8.448852136674137,23.88830793650794,6.865884804412204,33.153794993816994,17.022423132095735
2014-04-22,62.31,71.7143,15.0928,14.9903,11.9064,0.8293,0.5476,3324427112.37,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.693794444444443,8.457834179784525,23.86701746031746,6.889111972393438,33.15162862422897,16.97790548792402
2014-04-23,60.84,71.7143,17.8736,14.6366,11.9064,0.8098,0.5476,3245998162.68,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.68095218253968,8.463275292305807,23.86125,6.89385901791166,33.144227474845486,16.96739098208834
2014-04-24,60.4,71.7143,18.7323,14.5308,11.9064,0.8039,0.5476,3222522830.8,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.6726251984127,8.467066118410651,23.88197619047619,6.874299356477755,33.13969131682335,17.00767683399844
2014-04-25,60.02,71.7143,19.484,14.4393,11.9064,0.7989,0.5476,3202248680.54,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.66258253968254,8.470218296886458,23.896011904761902,6.863404927067836,33.132800836569,17.03260697769407
2014-04-28,60.19,71.7143,19.1465,14.4802,11.926,0.8011,0.5476,3211318695.13,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.65812718253968,8.472532305441717,23.91600079365079,6.845712800151732,33.1306594879814,17.070287993499058
2014-04-29,60.16,71.7143,19.206,14.473,11.9265,0.8007,0.5476,3209718104.32,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.65923551587301,8.471780952936648,23.92862142857143,6.835463101135068,33.13101646880966,17.09315832743636
2014-04-30,60.87,71.7143,17.8155,14.6438,11.927,0.8102,0.5476,3247598753.49,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.66637817460317,8.464472701901244,23.933201587301586,6.831136376035788,33.13085087650442,17.102065211265796
2014-05-01,61.21,71.7143,17.1611,14.7256,11.9359,0.8147,0.5476,3265738782.67,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.6753123015873,8.454143170679348,23.92785,6.836213917445964,33.12945547226665,17.091636082554036
2014-05-02,61.31,71.7143,16.97,14.7497,11.9411,0.816,0.5476,3271074085.37,10.8401,19.2733,3.0,1.0,14.0,29.2952,24.679638690476192,8.44963079934258,23.90794603174603,6.852904374113652,33.129269489818775,17.055041657632376
2014-05-05,61.1,71.7143,17.372,14.5851,11.9415,0.8031,0.5476,3259869949.7,11.3722,19.5739,3.0,1.0,14.0,28.683,24.68590138888889,8.443026792591295,23.88959841269841,6.867383816214102,33.128928181480184,17.022214596484314
2014-05-06,60.64,71.7143,18.2624,14.4753,11.946,0.7969,0.5478,3235327557.28,11.3722,19.5739,3.0,1.0,14.0,28.683,24.69459543650793,8.434129466790417,23.856419841269844,6.884506537180794,33.12872490329835,16.97191330408905
2014-05-07,60.75,71.7143,18.0482,14.5016,11.9506,0.7983,0.548,3241196390.25,11.3722,19.5739,3.0,1.0,14.0,28.683,24.66548869047619,8.43169799259084,23.835094444444444,6.898399748142376,33.09718668306703,16.93669469630207
2014-05-08,60.41,71.7143,18.7126,14.4204,11.9738,0.7938,0.5486,3223056361.07,11.3722,19.5739,3.0,1.0,14.0,28.683,24.64168869047619,8.431537877675336,23.759702380952383,6.902090323007675,33.073226568151526,16.857612057944706
2014-05-09,60.56,71.7143,18.4186,14.4562,11.9743,0.7958,0.5487,3231059315.12,11.3722,19.5739,3.0,1.0,14.0,28.683,24.61049702380953,8.425409092644667,23.6615126984127,6.889259362178156,33.03590611645419,16.772253336234545
2014-05-12,60.96,71.7143,17.6416,14.5517,11.9937,0.8011,0.5488,3252400525.92,11.3722,19.5739,3.0,1.0,14.0,28.683,24.57553888888889,8.4176810016135,23.542642063492064,6.862625623924012,32.99321989050239,16.680016439568053
2014-05-13,60.62,71.7143,18.3014,14.4705,11.9962,0.7966,0.5489,3234260496.74,11.3722,19.5739,3.0,1.0,14.0,28.683,24.54603134920635,8.413547604300415,23.447286507936507,6.8512175035316485,32.959578953506764,16.59606900440486
2014-05-14,59.22,71.7143,21.0981,14.1364,11.9986,0.7782,0.549,3159566258.94,11.3722,19.5739,3.0,1.0,14.0,28.683,24.52661468253968,8.410182943104308,23.37471825396825,6.827057197679397,32.93679762564399,16.547661056288856
2014-05-15,57.54,71.7143,24.6338,13.7353,12.0096,0.7561,0.5493,3069933173.58,11.3722,19.5739,3.0,1.0,14.0,28.683,24.51978055555556,8.40869051187347,23.328434126984128,6.798307736890703,32.92847106742903,16.530126390093425
2014-05-16,57.94,71.7143,23.7734,13.8308,12.0124,0.7614,0.5498,3091274384.38,11.3722,19.5739,3.0,1.0,14.0,28.683,24.51006051587301,8.406712070222085,23.283953174603173,6.776710092730232,32.9167725860951,16.507243081872943
2014-05-19,58.43,71.7143,22.7354,13.9478,12.0243,0.7678,0.5504,3117417367.61,11.3722,19.5739,3.0,1.0,14.0,28.683,24.497005753968256,8.40434404628319,23.23162301587302,6.755080005710369,32.901349800251445,16.47654301016265
2014-05-20,57.85,71.7143,23.9659,13.8093,12.0268,0.7602,0.5504,3086472611.95,11.3722,19.5739,3.0,1.0,14.0,28.683,24.48257718253968,8.398988852590437,23.201730952380952,6.74332779529486,32.88156603513012,16.458403157086092
2014-05-21,58.49,71.7143,22.6095,13.9621,12.0292,0.7686,0.5505,3120618549.23,11.3722,19.5739,3.0,1.0,14.0,28.683,24.463059325396827,8.391871986893316,23.148401587301585,6.721016401824906,32.85493131229014,16.42738518547668
2014-05-22,58.24,71.7143,23.1358,13.9024,12.0302,0.7653,0.551,3107280292.48,11.3722,19.5739,3.0,1.0,14.0,28.683,24.44733531746032,8.386908335958307,23.08923809523809,6.687710198540238,32.834243653418625,16.401527896697853
2014-05-23,59.16,71.7143,21.2209,14.122,12.0361,0.7774,0.5515,3156365077.32,11.3722,19.5739,3.0,1.0,14.0,28.683,24.43922380952381,8.388050112291268,23.01941587301588,6.660657752005278,32.82727392181508,16.3587581210106
2014-05-27,59.51,71.7143,20.508,14.2056,12.0423,0.782,0.552,3175038636.77,11.3722,19.5739,3.0,1.0,14.0,28.683,24.43049742063492,8.389850995786702,22.967924603174605,6.654746230854473,32.82034841642162,16.31317837232013
2014-05-28,59.76,71.7143,20.0038,14.2653,12.0436,0.7853,0.5526,3188376893.52,11.3722,19.5739,3.0,1.0,14.0,28.683,24.42306091269841,8.392114519529947,22.904496825396823,6.644520464502447,32.81517543222836,16.259976360894377
2014-05-29,59.99,71.7143,19.5438,14.3202,12.0449,0.7883,0.5531,3200648089.73,11.3722,19.5739,3.0,1.0,14.0,28.683,24.41580238095238,8.394754314498334,22.84759761904761,6.642341408226189,32.810556695450714,16.205256210821425
2014-05-30,60.0,71.7143,19.5238,14.3225,12.0495,0.7884,0.5531,3201181620.0,11.3722,19.5739,3.0,1.0,14.0,28.683,24.40757003968254,8.39751825107935,22.791844444444443,6.640509157726603,32.80508829076189,16.15133528671784
2014-06-02,59.99,71.7143,19.5438,14.3202,12.0659,0.7883,0.5534,3200648089.73,11.3722,19.5739,3.0,1.0,14.0,28.683,24.40276825396825,8.399610002528423,22.744189682539684,6.642114625145723,32.80237825649668,16.10207505739396
2014-06-03,60.18,71.7143,19.1663,14.3655,12.07,0.7908,0.5538,3210785164.86,11.3722,19.5739,3.0,1.0,14.0,28.683,24.388883730158728,8.402475919190518,22.687642063492063,6.64200405774481,32.791359649349246,16.045638005747254
2014-06-04,60.74,71.7143,18.0677,14.4992,12.0742,0.7982,0.5541,3240662859.98,11.3722,19.5739,3.0,1.0,14.0,28.683,24.3725751984127,8.406759717663851,22.6257007936508,6.648455838493732,32.77933491607655,15.977244955157062
2014-06-05,61.41,71.7143,16.7795,14.6591,12.0772,0.8075,0.5542,3278395203.24,11.3722,19.5739,3.0,1.0,14.0,28.683,24.340138690476188,8.404450812799212,22.53526507936508,6.649875261667155,32.7445895032754,15.885389817697924
2014-06-06,58.41,72.8571,24.7339,14.048,12.0786,0.7668,0.5545,3118239111.24,11.3323,19.1848,4.0,1.0,14.0,25.7183,24.32528333333333,8.397106971540252,22.507959523809525,6.633578420468894,32.722390304873585,15.874381103340632
2014-06-09,59.23,72.8571,23.0071,14.2452,12.102,0.7775,0.5548,3162015109.72,11.3323,19.1848,4.0,1.0,14.0,25.7183,24.3069125,8.389825028284555,22.48903888888889,6.628687271537071,32.69673752828456,15.86035161735182
2014-06-10,58.42,72.8571,24.7126,14.0504,12.1055,0.7669,0.5553,3118772964.88,11.3323,19.1848,4.0,1.0,14.0,25.7183,24.302065476190474,8.388881663102191,22.50596825396825,6.631643414269659,32.69094713929267,15.874324839698591
2014-06-11,57.96,72.8571,25.7024,13.9397,12.109,0.7609,0.5558,3094215697.44,11.3323,19.1848,4.0,1.0,14.0,25.7183,24.296257341269843,8.386892559118385,22.520624603174603,6.63668901244829,32.68314990038823,15.883935590726312
2014-06-12,57.03,72.8571,27.7522,13.7161,12.118,0.7487,0.5562,3044567308.92,11.3323,19.1848,4.0,1.0,14.0,25.7183,24.28819226190476,8.381598760704653,22.535590476190475,6.646413414050513,32.66979102260941,15.88917706213996
2014-06-13,56.92,72.8571,27.9991,13.6896,12.1234,0.7472,0.5562,3038694918.88,11.3323,19.1848,4.0,1.0,14.0,25.7183,24.26786111111112,8.360074408978216,22.52576031746032,6.637331329636536,32.62793552008933,15.88842898782378
2014-06-16,57.01,72.7143,27.5466,13.7136,12.1394,0.7484,0.5565,3043499601.64,11.3323,19.181,4.0,1.0,14.0,25.7183,24.25255575396825,8.346960322094132,22.510414285714287,6.623344064234947,32.599516076062386,15.88707022147934
2014-06-17,57.72,72.7143,25.9777,13.8843,12.1427,0.7577,0.5571,3081403210.08,11.3323,19.181,4.0,1.0,14.0,25.7183,24.229767460317458,8.3264754278284,22.49179047619048,6.610151541166858,32.55624288814586,15.88163893502362
2014-06-18,57.96,72.7143,25.456,13.9421,12.1442,0.7609,0.5577,3094215697.44,11.3323,19.181,4.0,1.0,14.0,25.7183,24.208336507936508,8.30933989538478,22.455980952380955,6.5814856568009255,32.51767640332129,15.87449529558003
2014-06-19,58.25,72.7143,24.8314,14.0118,12.147,0.7647,0.5578,3109697453.0,11.3323,19.181,4.0,1.0,14.0,25.7183,24.18034623015873,8.283341658998875,22.420241269841267,6.556011259322637,32.463687889157605,15.864230010518629
2014-06-20,58.17,72.7143,25.0031,13.9926,12.1542,0.7636,0.5579,3105426623.88,11.3323,19.181,4.0,1.0,14.0,25.7183,24.15377738095238,8.259101208829984,22.3885507936508,6.533582879342802,32.412878589782366,15.854967914307997
2014-06-23,57.7,72.7143,26.0213,13.8795,12.1714,0.7574,0.5586,3080335502.8,11.3323,19.181,4.0,1.0,14.0,25.7183,24.13213353174603,8.239824670491647,22.333170634920634,6.472209952195063,32.37195820223768,15.860960682725572
2014-06-24,56.88,72.7143,27.8381,13.6823,12.1734,0.7467,0.5589,3036559504.32,11.3323,19.181,4.0,1.0,14.0,25.7183,24.116254365079364,8.224912974500759,22.297271428571428,6.428538986984458,32.341167339580124,15.86873244158697
2014-06-25,57.16,72.7143,27.2119,13.7496,12.1773,0.7504,0.5592,3051507406.24,11.3323,19.181,4.0,1.0,14.0,25.7183,24.08385595238095,8.18028581138504,22.27539761904762,6.406882174143388,32.26414176376599,15.868515444904231
2014-06-26,56.29,72.7143,29.178,13.5404,12.1852,0.7389,0.5593,3005062139.56,11.3323,19.181,4.0,1.0,14.0,25.7183,24.05733630952381,8.141896631865695,22.26600952380953,6.395796660225416,32.1992329413895,15.87021286358411
2014-06-27,56.06,72.7143,29.708,13.485,12.1996,0.7359,0.5594,2992783505.84,11.3323,19.181,4.0,1.0,14.0,25.7183,24.027031944444445,8.092133790854895,22.262389682539684,6.391418373373371,32.11916573529934,15.870971309166311
2014-06-30,56.87,72.7143,27.8606,13.6799,12.214,0.7466,0.5599,3036025650.68,11.3323,19.181,4.0,1.0,14.0,25.7183,23.993062103174605,8.039760988330082,22.24332777777778,6.370916802930662,32.03282309150469,15.872410974847115
2014-07-01,56.93,72.7143,27.7258,13.6943,12.2177,0.7473,0.56,3039228772.52,11.3323,19.181,4.0,1.0,14.0,25.7183,23.96063134920635,7.99143121102378,22.258448412698414,6.381726682342285,31.95206256023013,15.876721730356127
2014-07-02,56.38,72.7143,28.9718,13.562,12.222,0.7401,0.5602,3009866822.32,11.3323,19.181,4.0,1.0,14.0,25.7183,23.9311998015873,7.945382604881344,22.29050952380953,6.405369991167613,31.876582406468643,15.885139532641912
2014-07-03,56.63,72.7143,28.4024,13.6221,12.2306,0.7434,0.5603,3023213163.32,11.3323,19.181,4.0,1.0,14.0,25.7183,23.90365734126984,7.905597464913137,22.31318015873016,6.422017421241177,31.809254806182977,15.89116273748898
2014-07-07,56.9,72.7143,27.7931,13.6871,12.2463,0.7469,0.5606,3037627211.6,11.3323,19.181,4.0,1.0,14.0,25.7183,23.87582976190476,7.86700304849286,22.33137777777777,6.43435726115237,31.742832810397623,15.897020516625409
2014-07-08,55.99,72.7143,29.8702,13.4682,12.2543,0.735,0.5607,2989046530.36,11.3323,19.181,4.0,1.0,14.0,25.7183,23.85526011904762,7.837636578793895,22.36783333333333,6.464122550818634,31.692896697841515,15.903710782514697
2014-07-09,56.04,72.7143,29.7543,13.4802,12.2623,0.7357,0.5608,2991715798.56,11.3323,19.181,4.0,1.0,14.0,25.7183,23.835755158730155,7.810599378693372,22.38584523809524,6.481632947294929,31.646354537423527,15.904212290800306
