date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2019-03-20,16.66,18.3254,9.9964,31.3217,45.7172,5.1628,6.4696,27205667428.38,35.5688,66.7108,8.0,2.0,34.4621,23.7953
2019-03-21,17.45,18.2826,4.7713,32.8069,45.6767,5.4076,6.4485,28495732090.35,35.5688,66.7108,8.0,2.0,34.4621,23.7953
2019-03-22,16.98,18.345,8.0389,31.9233,45.6076,5.262,6.4084,27728225266.14,35.5688,66.7108,8.0,2.0,34.4621,23.7953
2019-03-25,17.12,18.345,7.1554,32.235,45.5385,5.3132,6.3683,27956844320.16,35.5665,66.6903,8.0,2.0,34.4621,23.7953
2019-03-26,17.0,18.345,7.9118,32.009,45.4993,5.2759,6.3577,27760885131.0,35.5665,66.6903,8.0,2.0,34.4621,23.7953
2019-03-27,17.07,18.345,7.4692,32.1408,45.46,5.2977,6.3472,27875194658.01,35.5665,66.6903,8.0,2.0,34.4621,23.7953
2019-03-28,17.21,18.3175,6.4352,32.3679,45.1772,5.3377,6.3472,28103813712.03,35.5669,66.5,8.0,2.0,34.4621,23.7953
2019-03-29,18.1,18.3175,1.2017,34.0418,44.8943,5.6137,6.3472,29557177698.3,35.5669,66.5,8.0,2.0,34.4621,23.7953
2019-04-01,18.81,18.3175,-2.6183,35.3771,44.8199,5.8339,6.3472,30716602900.83,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-02,18.86,18.3175,-2.8765,35.4711,44.7455,5.8494,6.3472,30798252562.98,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-03,19.04,18.3175,-3.7946,35.8097,44.7455,5.9052,6.3324,31092191346.72,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-04,18.28,18.3175,0.2051,34.3803,44.7455,5.6695,6.3176,29851116482.04,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-05,18.23,18.3175,0.48,34.2863,44.7455,5.654,6.3155,29769466819.89,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-08,18.33,18.3175,-0.0682,34.4743,44.7455,5.685,6.3134,29932766144.19,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-09,17.64,18.3175,3.8407,33.1766,44.6413,5.471,6.3134,28806000806.52,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-10,17.97,18.3175,1.9338,33.7973,44.5371,5.5734,6.3134,29344888576.71,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-11,17.92,18.3175,2.2182,33.7032,44.5222,5.5579,6.3102,29263238914.56,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-12,18.29,18.3175,0.1504,34.3991,44.5073,5.6726,6.307,29867446414.47,35.5669,66.5067,8.0,2.0,34.4621,23.7953
2019-04-15,17.55,18.3387,4.494,33.0073,44.5073,5.438,6.2891,28659031414.65,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-16,17.94,18.3387,2.2224,33.7408,44.5073,5.5588,6.2712,29295898779.42,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-17,18.57,18.3387,-1.2456,34.9257,44.3585,5.754,6.2706,30324684522.51,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-18,18.22,18.3387,0.6515,34.2674,44.2096,5.6456,6.27,29753136887.46,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-22,17.98,18.3387,1.995,33.8161,44.1817,5.5712,6.2389,29361218509.14,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-23,17.42,18.281,4.9426,32.7628,44.1538,5.3977,6.2078,28446742293.06,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-24,17.66,18.281,3.5164,33.2142,43.9584,5.4721,6.1435,28838660671.38,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-25,17.2,18.281,6.2849,32.3491,43.763,5.3295,6.0793,28087483779.6,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-26,17.41,18.281,5.0029,32.744,42.6317,5.3946,5.9922,28430412360.63,35.5564,66.5067,8.0,2.0,34.4621,23.7953
2019-04-29,17.8,18.2742,2.664,33.6166,41.5004,5.5472,5.9052,29067279725.4,35.549,66.386,8.0,2.0,34.4621,23.7953
2019-04-30,17.2,18.2747,6.2483,32.4835,41.3673,5.3525,5.896,28087483779.6,35.5506,66.386,8.0,2.0,34.4621,23.7953
2019-05-01,17.3,18.2747,5.6341,32.6723,41.2342,5.3836,5.8869,28250783103.9,35.5506,66.386,8.0,2.0,34.4621,23.7953
2019-05-02,17.0,18.2747,7.4982,32.1058,41.2292,5.2903,5.8682,27760885131.0,35.5506,66.386,8.0,2.0,34.4621,23.7953
2019-05-03,17.37,18.2747,5.2084,32.8045,41.2242,5.4054,5.8494,28365092630.91,35.5506,66.386,8.0,2.0,34.4621,23.7953
2019-05-06,16.85,18.2747,8.4552,31.8225,41.2134,5.2436,5.8416,27515936144.55,35.5506,66.386,8.0,2.0,34.4621,23.7953
2019-05-07,16.37,18.2747,11.6353,30.916,41.2025,5.0942,5.8339,26732099387.91,35.5506,66.386,8.0,2.0,34.4621,23.7953
2019-05-08,16.45,18.0859,9.9447,31.4592,41.1708,5.179,5.794,26862738847.35,34.8207,65.1877,8.0,2.0,34.4621,23.7953
2019-05-09,16.61,18.0203,8.4907,31.9669,41.1392,5.2178,5.754,27124017766.23,34.6685,63.929,10.0,2.0,34.4621,23.7953
2019-05-10,16.59,18.0203,8.6215,31.9284,40.9652,5.2115,5.7195,27091357901.37,34.6685,63.929,10.0,2.0,34.4621,23.7953
2019-05-13,16.0,18.0203,12.6269,30.7929,40.7911,5.1505,5.685,26774301984.0,34.6685,63.929,10.0,2.0,34.4621,23.7953
2019-05-14,15.01,17.78,18.4544,29.6875,40.6646,4.8897,5.6788,25117642048.74,33.8355,62.8587,11.0,2.0,36.0845,23.9314
2019-05-15,14.47,17.6093,21.6952,28.8592,40.538,4.7425,5.6726,24214009356.78,33.4795,62.1034,11.0,2.0,36.2886,23.5578
2019-05-16,14.24,17.6112,23.6742,28.4005,40.269,4.6752,5.671,23829128765.76,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-17,13.86,17.714,27.8066,27.6426,40.0,4.5505,5.6695,23193239093.64,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-20,13.66,17.714,29.6779,27.2437,39.9538,4.4848,5.6617,22858560318.84,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-21,14.1,17.714,25.6312,28.1213,39.9077,4.6293,5.654,23594853623.4,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-22,14.06,17.714,25.9886,28.0415,39.7499,4.6161,5.6498,23527917868.44,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-23,13.58,17.714,30.4418,27.0842,39.5921,4.4585,5.6456,22724688808.92,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-24,13.62,17.6492,29.583,27.1639,39.2275,4.4717,5.6393,22791624563.88,33.4029,62.1034,11.0,2.0,36.2886,23.5578
2019-05-28,14.03,17.6492,25.7962,27.9984,38.8629,4.6063,5.633,23477716052.22,33.4029,62.091,11.0,2.0,36.2886,23.5578
2019-05-29,13.66,17.499,28.104,27.26,38.7352,4.4848,5.628,22858560318.84,33.4029,62.091,11.0,2.0,36.2886,23.5578
2019-05-30,13.5,17.499,29.6222,26.9407,38.6076,4.4323,5.6229,22590817299.0,33.4029,62.091,11.0,2.0,36.2886,23.5578
2019-05-31,13.24,17.6314,33.1677,26.2803,38.3998,4.3502,5.6183,22155734891.76,33.2975,62.587,12.0,2.0,36.2886,23.5578
2019-06-03,12.89,17.6314,36.7836,25.6313,38.1919,4.2424,5.6137,21570047035.86,33.2214,62.4635,12.0,2.0,36.2886,23.5427
2019-06-04,13.17,17.6314,33.8755,26.1881,37.0008,4.3346,5.5936,22038597320.58,33.2214,62.4635,12.0,2.0,36.2886,23.5427
2019-06-05,12.95,17.6314,36.1498,25.7506,35.8097,4.2622,5.5734,21670450668.3,33.2214,62.4635,12.0,2.0,36.2886,23.5427
2019-06-06,13.2,17.6314,33.5712,26.2478,35.6404,4.3445,5.5723,22088799136.8,33.2214,62.4635,12.0,2.0,36.2886,23.5427
