date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2019-11-05,58.3,77.8333,33.5048,1804.9536,1804.9536,7.7115,1.3388,3428098300.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-06,57.2,77.8333,36.0722,1770.8978,1787.9257,7.566,1.3448,3363417200.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-07,59.21,77.8333,31.453,1833.1269,1804.9536,7.8318,1.4147,3481607210.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-08,57.36,77.8333,35.6926,1775.8514,1790.4025,7.5871,1.4213,3372825360.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-11,58.73,77.8333,32.5273,1818.2663,1804.9536,7.7683,1.4526,3453382730.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-12,61.43,77.8333,26.7024,1901.8576,1811.61,8.1255,1.4552,3612145430.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-13,62.64,77.8333,24.2549,1939.3189,1818.2663,8.2855,1.4577,3683294640.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-14,62.57,77.8333,24.394,1937.1517,1825.6966,8.2763,1.4761,3679178570.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-15,64.27,77.8333,21.1036,1989.7833,1833.1269,8.5011,1.5559,3779140270.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-18,63.12,77.8333,23.31,1954.1796,1867.4922,8.349,1.5928,3711519120.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-19,66.74,77.8333,16.6217,2066.2539,1901.8576,8.8278,1.5928,3924378740.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-20,68.55,77.8333,13.5424,2122.291,1919.5046,9.0672,1.5928,4030808550.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-21,67.84,77.8333,14.7307,2100.3096,1937.1517,8.9733,1.6138,3989059840.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-22,68.43,77.8333,13.7415,2118.5759,1938.2353,9.0514,1.6489,4023752430.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-25,71.19,77.8333,9.3318,2204.0248,1939.3189,9.4164,1.8056,4186043190.0,46.835,598.6644,9.0,1.0,20.0,169.4533
2019-11-26,70.64,77.8333,10.183,2186.9969,1946.7492,9.3437,1.8087,4153702640.0,46.835,598.6644,9.0,1.0,20.0,169.4533
