date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2010-03-04,80.24,84.8,5.683,9.2648,9.2505,2.4945,2.4945,287297715.2,0.5578,4.097,1.0,1.0,15.0,-2.9003,29.94964246031746,40.701138505784144,9.897393650793653,7.907793517999725,70.6507809661016,1.989600132793928
2010-03-05,81.76,85.6,4.6967,9.1091,9.2458,2.4952,2.4948,292740044.8,0.681,4.7058,1.0,1.0,15.0,-3.0501,29.9176003968254,40.71467419246154,9.697765873015872,7.715219881912967,70.63227458928694,1.9825459911029064
2010-03-08,85.2,85.6,0.4695,9.4713,9.2505,2.5447,2.4952,305056896.0,5.9004,10.8863,2.0,1.0,15.0,-3.0501,29.874977976190475,40.7342698630712,9.52575,7.677037735645118,70.60924783926167,1.8487122643548828
2010-03-09,85.52,85.6,0.0935,9.5069,9.2552,2.5542,2.52,306202649.6,5.9004,10.8863,2.0,1.0,15.0,-3.0501,29.82049880952381,40.75573975744159,9.39031746031746,7.69182348249957,70.5762385669654,1.6984939778178898
2010-03-10,88.8,85.6,-3.6036,9.8715,9.26,2.6522,2.5447,317946624.0,5.9004,10.8863,2.0,1.0,15.0,-3.0501,29.75120634920635,40.782864757957945,9.21163253968254,7.730303901967362,70.5340711071643,1.481328637715178
2010-03-11,89.28,85.6,-4.1219,9.9249,9.2616,2.6665,2.5495,319665254.4,5.9004,10.8863,2.0,1.0,15.0,-3.0501,29.68932797619048,40.810598647728746,9.01113253968254,7.74602115499124,70.49992662391922,1.2651113846912985
2010-03-12,90.56,85.6,-5.477,10.0671,9.2632,2.7048,2.5542,324248268.8,5.9004,10.8863,2.0,1.0,15.0,-3.0501,29.625559325396825,40.84043660240456,8.798749206349207,7.773659069084423,70.46599592780139,1.025090137264784
2010-03-15,91.6,85.6,-6.5502,11.3993,9.2637,2.9239,2.6032,327971968.0,-1.5661,-2.7042,2.0,1.0,15.0,-3.0501,29.5564371031746,40.87217482684205,8.589015079365078,7.828694648045096,70.42861193001664,0.7603204313199816
2010-03-16,91.68,85.6,-6.6318,11.4092,9.2642,2.9264,2.6522,328258406.4,-1.5661,-2.7042,2.0,1.0,15.0,-3.0501,29.47464880952381,40.90331486384371,8.378633333333335,7.878959868906501,70.37796367336752,0.4996734644268334
2010-03-17,92.0,85.6,-6.9565,10.3655,9.2645,2.7714,2.6594,329404160.0,2.5406,5.5595,2.0,1.0,15.0,-3.0501,29.383876984126985,40.93334737537101,8.145384126984128,7.894575315021398,70.317224359498,0.2508088119627301
2010-03-18,92.0,85.6,-6.9565,10.4588,9.2648,2.7714,2.6665,329404160.0,2.5406,5.5321,2.0,1.0,15.0,-3.0501,29.31164226190476,40.965341247508654,7.905177777777778,7.8899360373466525,70.27698350941341,0.0152417404311258
2010-03-19,92.72,85.6,-7.679,10.6204,9.2651,2.7931,2.6856,331982105.6,2.5406,5.2513,2.0,1.0,15.0,-3.155,29.24366349206349,40.99829309780905,7.649804761904762,7.86928918993681,70.24195658987253,-0.2194844280320476
2010-03-22,91.92,85.6,-6.8755,10.5287,9.2655,2.769,2.7048,329117721.6,2.5406,5.2513,2.0,1.0,15.0,-3.155,29.18513234126984,41.02880839715706,7.40080873015873,7.828167071799271,70.2139407384269,-0.4273583416405406
2010-03-23,93.68,85.6,-8.6251,10.7303,9.2722,2.822,2.7369,335419366.4,2.5406,5.2513,2.0,1.0,15.0,-3.155,29.128811706349204,41.06124117220271,7.137926984126984,7.805553564455582,70.19005287855191,-0.6676265803285979
2010-03-24,94.96,85.6,-9.8568,10.8769,9.2789,2.8606,2.769,340002380.8,2.5406,5.2513,2.0,1.0,15.0,-3.155,29.08090992063492,41.09266170084029,6.871186507936508,7.807506671928992,70.1735716214752,-0.9363201639924849
2010-03-25,96.48,85.6,-11.2769,11.051,9.2804,2.9064,2.7702,345444710.4,2.5406,5.2513,2.0,1.0,15.0,-3.155,29.034012103174604,41.12525805227487,6.584871428571429,7.806289646431035,70.15927015544946,-1.2214182178596067
2010-03-26,95.76,85.6,-10.6099,10.9686,9.2819,2.8847,2.7714,342866764.8,2.5406,5.2513,2.0,1.0,15.0,-3.155,28.97904007936508,41.15975002356465,6.305045238095238,7.785514724713864,70.13879010292973,-1.4804694866186257
2010-03-29,97.2,85.6,-11.9342,11.1335,9.2819,2.928,2.7714,348022656.0,2.5406,5.2513,2.0,1.0,15.0,-3.155,28.926886706349208,41.19495982853048,6.02181746031746,7.794833604659689,70.1218465348797,-1.773016144342229
2010-03-30,99.36,85.6,-13.8486,11.3809,9.2819,2.9931,2.7714,355756492.8,2.5406,5.2513,2.0,1.0,15.0,-3.155,28.86603154761905,41.23551107571926,5.717479365079366,7.816251123471537,70.1015426233383,-2.0987717583921714
2010-03-31,100.56,85.6,-14.8767,11.5184,9.2838,3.0293,2.7822,360053068.8,2.5406,5.2513,2.0,1.0,15.0,-3.155,28.79900218253968,41.279167670758994,5.463001587301587,7.96046326648875,70.07816985329868,-2.497461679187163
2010-04-01,103.92,85.6,-17.6289,11.9032,9.2857,3.1305,2.7931,372083481.6,2.5406,5.2513,2.0,1.0,15.0,-3.155,28.72524305555556,41.32891716937809,5.190022222222222,8.157058065375134,70.05416022493364,-2.967035843152912
2010-04-05,104.32,85.6,-17.9448,11.9857,9.287,3.1425,2.8076,373515673.6,2.5406,5.2094,2.0,1.0,15.0,-3.155,28.650857142857145,41.379179932118326,4.885933333333334,8.29955393424004,70.03003707497547,-3.4136206009067056
2010-04-06,97.2,88.8,-8.642,11.0827,9.2884,2.7139,2.7931,348022656.0,2.8343,5.5242,2.0,1.0,15.0,-3.155,28.59965357142857,41.40937738285396,4.665019047619048,8.286124472101152,70.00903095428254,-3.621105424482104
2010-04-07,94.48,92.0,-2.6249,10.7075,9.2903,2.4549,2.7822,338283750.4,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.573496428571428,41.42495705476945,4.504411904761906,8.229100160193488,69.99845348334088,-3.724688255431582
2010-04-08,97.68,92.0,-5.8149,11.0702,9.2922,2.538,2.7714,349741286.4,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.544235714285715,41.44406218922671,4.337244444444444,8.223040474875958,69.98829790351242,-3.885796030431514
2010-04-09,98.32,93.6,-4.8007,11.1427,9.2967,2.5546,2.7714,352032793.6,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.51484742063492,41.46247782426073,4.204379365079365,8.234449884249107,69.97732524489565,-4.030070519169742
2010-04-12,99.28,93.6,-5.7212,11.2515,9.3012,2.5796,2.7714,355470054.4,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.489247619047617,41.47965542985046,4.074292857142857,8.260922530518485,69.96890304889808,-4.186629673375628
2010-04-13,100.24,93.6,-6.6241,11.3603,9.3015,2.6045,2.7702,358907315.2,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.448405952380952,41.504116136162,3.936042063492064,8.293239580596708,69.95252208854296,-4.357197517104645
2010-04-14,100.24,93.6,-6.6241,11.3603,9.3018,2.6045,2.769,358907315.2,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.41073988095238,41.52735377343176,3.807671428571429,8.330735778173288,69.93809365438415,-4.523064349601859
2010-04-15,99.28,93.6,-5.7212,11.2515,9.3236,2.5796,2.7415,355470054.4,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.37734246031746,41.54805760558207,3.6775849206349207,8.35067640151923,69.92540006589952,-4.67309148088431
2010-04-16,99.52,93.6,-5.9486,11.2787,9.3455,2.5858,2.7139,356329369.6,3.2672,5.4715,2.0,1.0,15.0,-3.4188,28.34361626984127,41.569045012344304,3.541687301587302,8.367010102663725,69.91266128218558,-4.825322801076423
2010-04-19,97.68,93.6,-4.1769,11.5048,9.3511,2.5204,2.7094,349741286.4,2.1681,-1.4462,2.0,1.0,15.0,-3.4188,28.31328293650793,41.58721867313164,3.416822222222222,8.363845304163725,69.90050160963958,-4.947023081941502
2010-04-20,99.2,93.6,-5.6452,11.6838,9.3567,2.5596,2.7048,355183616.0,2.1681,-1.4462,2.0,1.0,15.0,-3.4188,28.28517996031746,41.60540337471542,3.2893285714285714,8.378677797178772,69.89058333503289,-5.089349225750201
2010-04-21,99.12,93.6,-5.569,11.7296,9.357,2.5576,2.6856,354897177.6,2.1681,-1.4987,2.0,1.0,15.0,-3.4188,28.26157797619048,41.62125595516911,3.181999206349207,8.405015119829278,69.88283393135958,-5.22301591348007
2010-04-22,102.64,93.6,-8.8075,12.1462,9.3573,2.6484,2.6665,367500467.2,2.1681,-1.4987,2.0,1.0,15.0,-3.4188,28.239846825396825,41.63777492778131,3.040114285714285,8.455567579186727,69.87762175317813,-5.415453293472442
2010-04-23,103.28,98.4,-4.725,12.1635,9.3642,2.6649,2.6657,369791974.4,2.1681,-1.6632,2.0,1.0,15.0,-3.4188,28.2265257936508,41.64726291315371,2.9336007936507933,8.46827479490355,69.8737887068045,-5.534674001252757
2010-04-26,104.24,98.4,-5.6025,12.3346,9.3711,2.6991,2.6665,373229235.2,1.993,-1.9588,2.0,1.0,15.0,-3.4188,28.213506746031747,41.65682821920664,2.835631746031746,8.495229046627497,69.87033496523838,-5.659597300595751
2010-04-27,104.64,98.4,-5.9633,12.382,9.3711,2.7094,2.6828,374661427.2,1.993,-1.9588,2.0,1.0,15.0,-3.7955,28.201674801587306,41.66570368212045,2.714326984126984,8.510990729746181,69.86737848370775,-5.796663745619197
2010-04-28,103.44,100.0,-3.3256,12.24,9.3711,2.6783,2.6783,370364851.2,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.203256349206352,41.66448938402263,2.5987174603174603,8.49315465252412,69.86774573322899,-5.89443719220666
2010-04-29,103.76,100.0,-3.6237,12.2778,9.3723,2.6866,2.6825,371510604.8,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.196264682539685,41.66954369992485,2.4744952380952383,8.468561445684655,69.86580838246454,-5.994066207589416
2010-04-30,101.92,100.0,-1.8838,12.0601,9.3735,2.639,2.6783,364922521.6,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.194296825396822,41.67094352879608,2.311911904761905,8.352314181347381,69.8652403541929,-6.040402276585477
2010-05-03,105.44,100.0,-5.1593,12.4766,9.3952,2.7301,2.6825,377525811.2,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.1835628968254,41.678851807344735,2.154026190476191,8.303496318579784,69.86241470417013,-6.149470128103593
2010-05-04,101.92,100.0,-1.8838,12.0601,9.4169,2.639,2.6783,364922521.6,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.164409722222224,41.69046802462803,2.001900793650794,8.199013800583508,69.85487774685026,-6.197113006932714
2010-05-05,96.72,100.0,3.3912,11.4448,9.4258,2.5043,2.6724,346304025.6,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.15961626984128,41.69318251382675,1.8835261904761904,8.068361067678369,69.85279878366802,-6.184834877202178
2010-05-06,89.84,100.0,11.309,10.6307,9.4346,2.3262,2.6665,321670323.2,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.17063611111111,41.68798268096644,1.84295,8.007288083447445,69.85861879207755,-6.164338083447445
2010-05-07,85.68,100.0,16.7134,10.1384,9.441,2.2185,2.6657,306775526.4,1.8498,-2.015,2.0,1.0,15.0,-3.7955,28.1882748015873,41.681236612005016,1.854236507936508,8.027372631865047,69.86951141359232,-6.173136123928539
2010-05-10,91.28,100.0,9.553,11.2078,9.4473,2.3985,2.6649,326826214.4,1.7089,-2.1915,2.0,1.0,15.0,-3.7652,28.192348214285712,41.67931104735999,1.8261238095238093,7.993823135210588,69.8716592616457,-6.167699325686779
2010-05-11,90.56,100.0,10.424,11.1194,9.4528,2.3795,2.6586,324248268.8,1.7089,-2.1915,2.0,1.0,15.0,-3.7652,28.212103571428568,41.668501932303926,1.791915079365079,7.947228977278197,69.8806055037325,-6.155313897913118
2010-05-12,93.84,100.0,6.5644,11.5222,9.4582,2.4657,2.6522,335992243.2,1.7089,-2.1915,2.0,1.0,15.0,-3.7652,28.22410773809524,41.66137755243295,1.7558301587301588,7.914832349246738,69.8854852905282,-6.15900219051658
2010-05-13,99.6,100.0,0.4016,12.298,9.4604,2.6171,2.6503,356615808.0,1.7089,-1.8533,2.0,1.0,15.0,-3.7652,28.228029166666666,41.65866004412544,1.6646023809523809,7.863092299785992,69.8866892107921,-6.198489918833611
2010-05-14,96.16,106.4,10.6489,10.8873,9.4625,2.4575,2.6484,344298956.8,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.25564087301587,41.64235183746074,1.657829365079365,7.854913923674164,69.89799271047661,-6.197084558594799
2010-05-17,96.16,106.4,10.6489,10.8873,9.4661,2.4575,2.6437,344298956.8,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.283519444444444,41.625815782330974,1.6394809523809524,7.83096360856528,69.90933522677543,-6.191482656184328
2010-05-18,95.2,106.4,11.7647,10.7786,9.4698,2.433,2.639,340861696.0,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.317476785714284,41.60529972375322,1.6435904761904765,7.836179840676708,69.9227765094675,-6.192589364486232
2010-05-19,88.64,106.4,20.0361,10.0359,9.4706,2.2653,2.639,317373747.2,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.35773630952381,41.58741017206454,1.7144238095238096,7.961775075661711,69.94514648158835,-6.247351266137901
2010-05-20,84.0,106.4,26.6667,9.5105,9.4713,2.1467,2.639,300760320.0,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.40954265873016,41.56896752002895,1.8495674603174603,8.237113607868485,69.97851017875911,-6.387546147551025
2010-05-21,85.52,106.4,24.4153,9.6826,9.4786,2.1856,2.628,306202649.6,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.460979365079364,41.54790716868932,1.98731746031746,8.466848479637047,70.00888653376869,-6.479531019319587
2010-05-24,83.76,106.4,27.0296,9.4834,9.4834,2.1406,2.6171,299901004.8,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.50204047619048,41.53622127895155,2.123239682539683,8.728374014901755,70.03826175514203,-6.605134332362072
2010-05-25,82.32,106.4,29.2517,9.3203,9.4774,2.1038,2.6108,294745113.6,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.53740654761905,41.52924174054604,2.288233333333333,9.040089012756429,70.06664828816508,-6.751855679423095
2010-05-26,84.64,106.4,25.7089,9.583,9.4834,2.1631,2.6045,303051827.2,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.571461904761904,41.51985113229158,2.408374603174603,9.24921801762664,70.09131303705348,-6.840843414452038
2010-05-27,89.28,106.4,19.1756,10.1084,9.4846,2.2817,2.6045,319665254.4,1.8784,-1.644,2.0,1.0,15.0,-3.592,28.59442797619048,41.51142880005436,2.4713007936507934,9.336391438079213,70.10585677624483,-6.865090644428419
2010-05-28,87.6,106.4,21.4612,9.9181,9.4859,2.2387,2.6045,313650048.0,1.8784,-1.6616,2.0,1.0,15.0,-3.592,28.62338511904762,41.50133120061454,2.5436460317460314,9.448165402782893,70.12471631966216,-6.90451937103686
2010-06-01,83.28,106.4,27.7618,9.2613,9.4846,2.3523,2.5952,333120000.0,6.2315,4.6433,2.0,1.0,15.0,-3.592,28.65944226190476,41.49265441802131,2.648028571428571,9.652967986751875,70.15209667992607,-7.004939415323306
2010-06-02,88.64,106.4,20.0361,9.8573,9.4859,2.5037,2.5858,354560000.0,6.2315,4.6433,2.0,1.0,15.0,-3.592,28.681158928571428,41.48525578056246,2.694519841269841,9.722798651738223,70.16641470913389,-7.028278810468382
