date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2011-07-28,10.91,13.9759,28.1017,8.9185,12.6262,0.4614,0.4283,1695414000.0,25.1683,59.5977,3.0,2.0,11.0,25.3284,32.30752023809524,27.938885756373644,16.197092857142856,9.445241096227246,60.24640599446888,6.75185176091561
2011-07-29,10.72,13.9759,30.3722,8.8289,12.6262,0.4572,0.4283,1665888000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.29877579365079,27.93880025068294,16.328196825396827,9.526739656847,60.237576044333736,6.801457168549828
2011-08-01,10.62,13.9759,31.5998,8.7465,12.634,0.453,0.4279,1650348000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.296728769841266,27.93881361949988,16.47174365079365,9.61979031430471,60.23554238934115,6.851953336488938
2011-08-02,9.79,13.9759,42.7569,8.0629,12.63,0.4176,0.4278,1521366000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.3302503968254,27.94121307641149,16.737524603174602,9.8783269262614,60.27146347323689,6.859197676913201
2011-08-03,9.66,13.9759,44.6781,7.9559,12.6262,0.412,0.4277,1501164000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.37312321428572,27.943553680350576,17.013535714285716,10.167399861045364,60.316676894636295,6.846135853240352
2011-08-04,8.93,13.9759,56.505,7.3546,12.6262,0.3809,0.4267,1387722000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.4307751984127,27.9633401776798,17.369742857142857,10.74673232763054,60.39411537609249,6.623010529512316
2011-08-05,8.79,13.9759,58.9977,7.2393,12.6262,0.3749,0.4266,1365966000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.4885378968254,27.98812878731264,17.74832857142857,11.354106920062348,60.47666668413804,6.394221651366221
2011-08-08,8.07,13.9759,73.1834,6.6464,12.634,0.3442,0.4263,1254078000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.590177777777775,28.042768824283137,18.251124603174603,12.35895767288569,60.63294660206091,5.892166930288912
2011-08-09,8.79,13.9759,58.9977,7.2393,12.63,0.3749,0.4262,1365966000.0,24.2931,59.5119,3.0,2.0,11.0,25.3284,32.66496765873016,28.06286550974321,18.65803492063492,12.844187160304104,60.72783316847338,5.813847760330818
2011-08-10,8.57,13.9759,63.0793,7.0581,12.6262,0.3655,0.4261,1331778000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,32.737547420634925,28.09417357778439,19.101414285714284,13.398252018792006,60.831720998419314,5.703162266922279
2011-08-11,8.94,13.9759,56.33,7.3629,12.6262,0.3813,0.426,1389276000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,32.808751190476194,28.108425482683696,19.509484126984123,13.74127364377464,60.91717667315989,5.768210483209485
2011-08-12,8.91,13.9759,56.8563,7.3382,12.6262,0.38,0.426,1384614000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,32.891530357142855,28.11770676042796,19.899571428571427,14.09655216884634,61.009237117570805,5.8030192597250885
2011-08-15,9.34,13.9759,49.6349,7.6923,12.634,0.3984,0.4258,1451436000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,32.9515501984127,28.1211037962644,20.270353968253964,14.259742970138458,61.07265399467709,6.0106109981155065
2011-08-16,8.97,13.9759,55.8071,7.3876,12.63,0.3826,0.4258,1393938000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.0097009920635,28.13803191539143,20.675626984126986,14.537837790861984,61.14773290745493,6.137789193264998
2011-08-17,8.71,13.9759,60.4581,7.1734,12.6262,0.3715,0.4258,1353534000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.0830125,28.161353852595816,21.12148492063492,14.888216032148357,61.24436635259582,6.233268888486565
2011-08-18,7.97,13.9759,75.3563,6.564,12.6262,0.3399,0.425,1238538000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.183635714285714,28.22167263095402,21.653657142857146,15.60737756755749,61.40530834523973,6.046279575299652
2011-08-19,7.67,13.9759,82.2151,6.3169,12.6262,0.3271,0.4245,1191918000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.29832063492064,28.30328991836444,22.22397619047619,16.479762746878865,61.60161055328509,5.744213443597324
2011-08-22,7.58,13.9759,84.3786,6.2428,12.634,0.3233,0.4236,1177932000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.42346944444445,28.38946569873653,22.7561253968254,17.37846166121436,61.81293514318098,5.377663735611037
2011-08-23,8.05,13.2561,64.672,6.6299,12.63,0.3433,0.4233,1250970000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.509947023809524,28.41818108378794,23.11183809523809,17.772772659959514,61.92812810759746,5.339065435278577
2011-08-24,8.95,13.2561,48.1128,7.3711,12.6262,0.3817,0.423,1390830000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.56184365079365,28.42092374993954,23.33701746031746,17.90893011466402,61.98276740073319,5.428087345653438
2011-08-25,8.54,13.2561,55.2237,7.0334,12.6262,0.3642,0.423,1327116000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.62784920634921,28.43254602072828,23.65780317460317,18.11567641041252,62.06039522707749,5.542126764190652
2011-08-26,8.9,13.2561,48.9449,7.3299,12.6262,0.3796,0.423,1383060000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.68269305555556,28.435385041665988,23.93282142857144,18.23500297694749,62.11807809722155,5.697818451623942
2011-08-29,9.57,13.2561,38.5172,7.8817,12.634,0.4082,0.4236,1487178000.0,24.3151,59.5119,3.0,2.0,11.0,25.3284,33.72189642857142,28.42838817546179,24.090644444444447,18.274764756776367,62.15028460403321,5.81587968766808
