date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-04-18,19.39,16.807,-13.3213,17.0687,15.7294,0.6515,0.6265,6578381313.0,-1.9633,22.2669,1.0,1.0,8.0,34.7394
2002-04-19,19.69,16.8347,-14.5013,17.3297,15.7294,0.6603,0.6265,6680161323.0,-1.956,22.2707,1.0,1.0,8.0,34.7394
2002-04-22,19.36,16.8347,-13.0439,17.1464,15.707,0.6493,0.6265,6568203312.0,-1.956,22.196,1.0,1.0,8.0,34.7394
2002-04-23,19.28,16.8347,-12.6831,17.0755,15.7082,0.6466,0.6265,6541061976.0,-1.956,22.196,1.0,1.0,8.0,34.7394
2002-04-24,19.27,16.8347,-12.6378,17.0667,15.7294,0.6463,0.6265,6537669309.0,-1.956,22.196,1.0,1.0,8.0,34.7394
2002-04-25,19.23,16.8347,-12.4561,17.0313,15.7294,0.6449,0.6268,6524098641.0,-1.956,22.196,1.0,1.0,8.0,34.7394
2002-04-26,19.26,16.8347,-12.5924,17.0578,15.7294,0.6459,0.6268,6534276642.0,-1.956,22.196,1.0,1.0,8.0,34.7394
2002-04-29,18.89,16.8347,-10.09,16.7301,15.707,0.6335,0.6265,6408747963.0,-1.956,22.196,1.0,1.0,8.0,34.7394
2002-04-30,19.38,17.4926,-9.7389,17.1641,15.7082,0.6499,0.6265,6574988646.0,-1.956,22.1567,1.0,1.0,8.0,34.7394
2002-05-01,18.93,17.4926,-7.5932,16.7656,15.7294,0.6349,0.6268,6422318631.0,-1.956,22.1567,1.0,1.0,8.0,34.7394
2002-05-02,19.38,17.4926,-9.7389,17.1641,15.7294,0.6499,0.6268,6574988646.0,-1.956,22.1567,1.0,1.0,8.0,34.7394
2002-05-03,19.44,17.4926,-10.0175,17.3463,15.7294,0.6488,0.6268,6595344648.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-06,19.05,17.4926,-8.1753,16.9983,15.707,0.6357,0.6265,6463030635.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-07,19.32,17.4926,-9.4586,17.2392,15.7082,0.6447,0.6265,6554632644.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-08,20.02,17.4926,-12.6244,17.8638,15.7294,0.6681,0.6268,6792119334.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-09,19.88,17.4926,-12.0091,17.7389,15.7294,0.6634,0.6268,6744621996.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-10,20.11,17.4926,-13.0154,17.9441,15.7294,0.6711,0.6268,6822653337.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-13,20.23,17.4926,-13.5314,18.0512,15.707,0.6751,0.6265,6863365341.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-14,20.96,17.4926,-16.5429,18.7026,15.7082,0.6995,0.6265,7111030032.0,-1.9434,22.1014,1.0,1.0,8.0,34.9709
2002-05-15,20.93,17.4926,-16.4233,18.5632,15.7294,0.6983,0.6268,7099456000.0,-1.9434,22.1216,1.0,1.0,8.0,34.9709
2002-05-16,20.64,17.4926,-15.249,18.306,15.7294,0.6887,0.6268,7001088000.0,-1.9434,22.1216,1.0,1.0,8.0,34.9709
2002-05-17,20.56,17.4926,-14.9193,18.0906,15.7294,0.686,0.6268,6973952000.0,-1.9434,22.1917,1.0,1.0,8.0,34.9709
2002-05-20,20.35,17.4926,-14.0413,17.9977,15.707,0.679,0.6265,6902720000.0,-1.9434,22.1581,1.0,1.0,8.0,34.9709
2002-05-21,20.02,17.4926,-12.6244,17.7058,15.7082,0.668,0.6265,6790784000.0,-1.9434,22.1581,1.0,1.0,8.0,34.9709
2002-05-22,20.58,17.4926,-15.0019,18.2011,15.7294,0.6867,0.6268,6980736000.0,-1.9434,22.1581,1.0,1.0,8.0,34.9709
2002-05-23,21.01,17.4926,-16.7416,18.5814,15.7294,0.701,0.6268,7126592000.0,-1.9434,22.1581,1.0,1.0,8.0,34.9709
2002-05-24,20.56,17.4926,-14.9193,18.206,15.7294,0.686,0.6268,6973952000.0,-1.9434,22.1458,1.0,1.0,8.0,34.9709
2002-05-28,20.29,17.4926,-13.7871,17.9669,15.707,0.677,0.6265,6882368000.0,-1.9434,22.1458,1.0,1.0,8.0,34.9709
2002-05-29,19.7,17.4926,-11.2051,17.5158,15.7082,0.6573,0.6265,6682240000.0,-1.9434,22.1246,1.0,1.0,8.0,32.0475
2002-05-30,19.36,17.4926,-9.6457,17.2135,15.7294,0.646,0.6268,6566912000.0,-1.9434,22.1246,1.0,1.0,8.0,32.0475
2002-05-31,19.53,17.4926,-10.4322,17.3646,15.7294,0.6516,0.6268,6624576000.0,-1.9434,22.1246,1.0,1.0,8.0,32.0475
2002-06-03,19.34,17.4926,-9.5522,17.1957,15.707,0.6453,0.6265,6560128000.0,-1.9434,22.1246,1.0,1.0,8.0,32.0475
2002-06-04,19.07,17.4926,-8.2716,16.7929,15.707,0.6363,0.6265,6468544000.0,-1.9434,22.2226,1.0,1.0,8.0,33.5352
2002-06-05,19.72,17.4926,-11.2951,17.2032,15.7082,0.658,0.6268,6689024000.0,-1.9434,22.313,1.0,1.0,8.0,33.5352
2002-06-06,19.22,17.4926,-8.9875,16.767,15.7082,0.6413,0.6268,6519424000.0,-1.9434,22.313,1.0,1.0,8.0,33.5352
2002-06-07,19.06,17.4926,-8.2235,16.6274,15.7082,0.6359,0.6268,6465152000.0,-1.9434,22.313,1.0,1.0,8.0,33.5352
2002-06-10,19.13,17.4926,-8.5593,16.6885,15.7057,0.6383,0.6265,6488896000.0,-1.9434,22.313,1.0,1.0,8.0,33.5352
2002-06-11,18.94,17.4926,-7.642,16.5227,15.7057,0.6319,0.6265,6424448000.0,-1.9434,22.313,1.0,1.0,8.0,33.5352
2002-06-12,18.89,17.4926,-7.3976,16.4791,15.707,0.6303,0.6268,6407488000.0,-1.9434,22.313,1.0,1.0,8.0,33.5352
2002-06-13,18.58,17.4926,-5.8525,16.2299,15.707,0.6199,0.6265,6302336000.0,-1.9434,22.3,1.0,1.0,8.0,33.5352
2002-06-14,18.2,17.4926,-3.8868,15.898,15.707,0.6073,0.6264,6173440000.0,-1.9434,22.3,1.0,1.0,8.0,33.5352
2002-06-17,18.7,17.4926,-6.4567,16.3347,15.7042,0.6239,0.6262,6343040000.0,-1.9434,22.3,1.0,1.0,8.0,33.5352
2002-06-18,18.62,17.4926,-6.0548,16.2648,15.7057,0.6213,0.626,6315904000.0,-1.9434,22.3,1.0,1.0,8.0,33.5352
2002-06-19,18.24,17.4926,-4.0976,15.9329,15.707,0.6086,0.6258,6187008000.0,-1.9434,22.3,1.0,1.0,8.0,33.5352
2002-06-20,18.1,17.4926,-3.3558,15.8148,15.707,0.6039,0.6248,6139520000.0,-1.9434,22.2982,1.0,1.0,8.0,33.5352
2002-06-21,17.84,17.4926,-1.9473,15.5876,15.7042,0.5952,0.624,6051328000.0,-1.9434,22.2982,1.0,1.0,8.0,32.985
2002-06-24,17.82,17.4926,-1.8373,15.5701,15.6712,0.5946,0.6239,6044544000.0,-1.9434,22.2982,1.0,1.0,8.0,32.985
2002-06-25,17.54,17.4926,-0.2702,15.3255,15.6204,0.5852,0.6232,5949568000.0,-1.9434,22.2982,1.0,1.0,8.0,32.985
2002-06-26,17.49,17.4926,0.0149,15.2818,15.5876,0.5836,0.6225,5932608000.0,-1.9434,22.2982,1.0,1.0,8.0,32.985
2002-06-27,17.58,17.4926,-0.4972,15.3604,15.5701,0.5866,0.6217,5963136000.0,-1.9434,22.2982,1.0,1.0,8.0,32.985
