date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-11,2.74,4.0,45.9854,11.913,18.7665,0.7702,1.9229,756692100.0,-11.1261,9.4679,1.0,1.0,15.0,15.9176
2002-03-12,2.8,4.0,42.8571,12.1739,18.753,0.787,1.9228,773262000.0,-11.1261,9.4679,1.0,1.0,15.0,15.9176
2002-03-13,2.83,4.0,41.3428,12.3043,18.7515,0.7955,1.9227,781546950.0,-11.1261,9.4679,1.0,1.0,15.0,15.9176
2002-03-14,2.83,4.0,41.3428,12.5778,18.75,0.7955,1.9227,781546950.0,-11.1261,9.0136,1.0,1.0,15.0,15.9176
2002-03-15,2.45,4.0,63.2653,10.8889,18.7285,0.6887,1.9227,676604250.0,-11.1261,9.0136,1.0,1.0,15.0,15.9176
2002-03-18,2.49,4.0,60.6426,11.829,18.704,0.6999,1.9229,687650850.0,-11.1261,8.7979,1.0,1.0,15.0,15.9176
2002-03-19,2.46,4.0,62.6016,11.6865,18.703,0.6915,1.9228,679365900.0,-11.1261,8.7979,1.0,1.0,15.0,15.9176
2002-03-20,2.56,4.0,56.25,12.1615,18.703,0.7196,1.9227,706982400.0,-11.1261,8.7979,1.0,1.0,15.0,15.9176
2002-03-21,2.66,4.0,50.3759,12.6366,18.703,0.7477,1.9227,734598900.0,-11.1261,8.7979,1.0,1.0,15.0,15.9176
2002-03-22,2.87,4.0,39.3728,13.6342,18.6978,0.8067,1.9227,792593550.0,-11.1261,8.7979,1.0,1.0,15.0,15.9176
2002-03-25,2.8,4.0,42.8571,13.8614,18.66,0.787,1.9229,773262000.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-03-26,2.82,4.0,41.844,13.9604,18.6585,0.7927,1.9228,778785300.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-03-27,2.84,4.0,40.8451,14.0594,18.6572,0.7983,1.9227,784308600.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-03-28,2.86,4.0,39.8601,14.1584,18.6495,0.8039,1.9227,789831900.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-01,2.81,4.0,30.4875,14.1919,18.6429,0.7898,1.9232,776023650.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-02,2.83,4.0,29.5654,14.2929,18.6429,0.7955,1.9229,781546950.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-03,2.85,4.0,28.6561,14.3939,18.6391,0.8011,1.9228,787070250.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-04,2.91,4.0,26.0034,14.697,18.5873,0.818,1.9228,803640150.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-05,2.91,4.0,26.0034,14.697,18.5263,0.818,1.9228,803640150.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-08,2.93,4.0,25.1433,14.798,18.5096,0.8236,1.9232,809163450.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-09,2.88,4.0,27.316,14.5455,18.5058,0.8095,1.9229,795355200.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-10,3.0,4.0,22.2233,15.1515,18.5058,0.8433,1.9228,828495000.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-11,2.85,4.0,28.6561,14.3939,18.5058,0.8011,1.9228,787070250.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-12,2.84,4.0,29.1092,14.3434,18.5058,0.7983,1.9228,784308600.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-15,2.81,4.0,30.4875,14.1919,18.4877,0.7898,1.9232,776023650.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-16,2.88,4.0,27.316,14.5455,18.4695,0.8095,1.9229,795355200.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-17,2.76,3.6667,32.8514,13.9394,18.4673,0.7717,1.9228,758241000.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-18,2.88,3.6667,27.316,14.5455,18.4651,0.8053,1.9228,791208000.0,-11.1261,8.8658,1.0,2.0,12.5,15.9176
2002-04-19,3.0,3.55,18.3333,15.361,18.4513,0.9946,1.9228,824175000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-22,2.84,3.55,25.0,14.5417,18.4292,0.9416,1.9232,780219000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-23,2.94,3.55,20.7483,15.0538,18.4211,0.9747,1.9229,807691500.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-24,2.9,3.55,22.4138,14.849,18.3976,0.9614,1.9228,796702500.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-25,2.92,3.55,21.5753,14.9514,18.3741,0.9681,1.9227,802197000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-26,2.8,3.55,26.7857,14.3369,18.3741,0.9283,1.9227,769230000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-29,2.79,3.55,27.2401,14.2857,18.3687,0.925,1.9229,766482750.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-04-30,2.85,3.55,24.5614,14.5929,18.3574,0.9449,1.9228,782966250.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-05-01,2.82,3.55,25.8865,14.4393,18.346,0.9349,1.9227,774724500.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-05-02,2.8,3.55,26.7857,14.3369,18.346,0.9283,1.9227,769230000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-05-03,2.76,3.55,28.6232,14.1321,18.3287,0.915,1.9227,758241000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-05-06,2.73,3.55,30.0366,13.9785,18.2846,0.9051,1.9229,749999250.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-05-07,2.68,3.55,32.4627,13.7225,18.261,0.8885,1.9228,736263000.0,-15.2774,10.2067,1.0,2.0,12.5,15.9176
2002-05-08,2.88,3.55,23.2639,15.1023,18.2375,0.9548,1.9227,791208000.0,-15.2774,10.1182,1.0,3.0,15.0,15.9176
2002-05-09,2.85,3.55,24.5614,14.9449,18.2339,0.9449,1.9227,782966250.0,-15.2774,10.1182,1.0,3.0,15.0,15.9176
2002-05-10,2.84,3.55,25.0,14.8925,18.2317,0.9416,1.9227,780219000.0,-15.2774,10.2949,1.0,3.0,15.0,15.9176
2002-05-13,2.94,3.55,20.7483,15.4169,18.1631,0.9747,1.9229,807691500.0,-15.2774,10.2949,1.0,3.0,15.0,15.9176
2002-05-14,2.93,3.55,21.1604,15.3644,18.1631,0.9714,1.9228,804944250.0,-15.2774,10.2949,1.0,3.0,15.0,15.9176
2002-05-15,2.9,3.55,22.4138,15.2071,18.1631,0.9614,1.9227,796702500.0,-15.2774,10.2949,1.0,3.0,15.0,15.9176
2002-05-16,2.86,3.55,24.1259,14.9974,18.149,0.9482,1.9227,785713500.0,-15.2774,10.2949,1.0,3.0,15.0,15.9176
2002-05-17,2.93,3.55,21.1604,14.672,18.141,0.9714,1.9227,804944250.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-20,2.88,3.55,23.2639,14.4216,18.118,0.9548,1.9229,791208000.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-21,2.85,3.55,24.5614,14.2714,18.118,0.9449,1.9228,782966250.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-22,2.84,3.55,25.0,14.2213,18.118,0.9416,1.9227,780219000.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-23,2.92,3.55,21.5753,14.6219,18.0946,0.9681,1.9227,802197000.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-24,2.9,3.55,22.4138,14.5218,18.0946,0.9614,1.9227,796702500.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-28,2.83,3.55,25.4417,14.1713,18.0946,0.9382,1.9229,777471750.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-29,2.82,3.55,25.8865,14.1212,18.0718,0.9349,1.9228,774724500.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-30,2.81,3.55,26.3345,14.0711,18.049,0.9316,1.9227,771977250.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-05-31,2.89,3.55,22.8374,14.4717,18.0478,0.9581,1.9227,793955250.0,-15.2774,10.5343,1.0,3.0,15.0,15.9176
2002-06-03,2.79,3.55,27.2401,13.971,18.0112,0.925,1.9229,766482750.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-04,2.82,3.55,25.8865,14.1212,17.9965,0.9349,1.9228,774724500.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-05,2.75,3.55,29.0909,13.7707,17.987,0.9117,1.9227,755493750.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-06,2.66,3.55,33.4586,13.32,17.9675,0.8819,1.9227,730768500.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-07,2.64,3.55,34.4697,13.2198,17.9575,0.8752,1.9227,725274000.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-10,2.63,3.55,34.981,13.1698,17.9505,0.8719,1.9229,722526750.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-11,2.6,3.55,36.5385,13.0195,17.9499,0.862,1.9228,714285000.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-12,2.58,3.55,37.5969,12.9194,17.9286,0.8554,1.9227,708790500.0,-15.2774,10.6527,1.0,3.0,15.0,15.9176
2002-06-13,2.62,3.5333,34.8588,13.4497,17.8982,0.8686,1.9227,719779500.0,-15.2774,11.7165,1.0,3.0,15.0,15.9176
2002-06-14,2.6,3.5333,35.8962,13.347,17.889,0.862,1.9227,714285000.0,-15.2774,11.7165,1.0,3.0,15.0,15.9176
2002-06-17,2.73,3.5333,29.4249,14.0144,17.889,0.9051,1.9229,749999250.0,-15.2774,11.7165,1.0,3.0,15.0,15.9176
2002-06-18,2.74,3.5333,28.9526,14.0657,17.889,0.9084,1.9228,752746500.0,-15.2774,11.7165,1.0,3.0,15.0,15.9176
2002-06-19,2.78,3.0667,10.3129,14.1837,17.889,0.9193,1.9227,763735500.0,7.9212,12.7906,1.0,3.0,15.0,0.2955
2002-06-20,2.84,3.0667,7.9824,14.4898,17.889,0.9392,1.9227,780219000.0,7.9212,12.7906,1.0,3.0,15.0,0.2955
2002-06-21,2.98,3.2,7.3826,15.2977,17.889,0.9855,1.9227,818680500.0,7.9212,12.7432,1.0,3.0,15.0,0.2955
2002-06-24,2.93,3.2,9.215,15.0411,17.889,0.9689,1.9229,804944250.0,7.9212,12.7432,1.0,3.0,15.0,0.2955
2002-06-25,2.94,3.2,8.8435,15.0924,17.889,0.9722,1.9228,807691500.0,7.9212,12.7432,1.0,3.0,15.0,0.2955
2002-06-26,2.95,3.2,8.4746,15.1437,17.889,0.9755,1.9227,810438750.0,7.9212,12.7432,1.0,3.0,15.0,0.2955
2002-06-27,2.95,3.2,8.4746,15.1437,17.889,0.9755,1.9227,810438750.0,7.9212,12.7432,1.0,3.0,15.0,0.2955
2002-06-28,2.94,3.2,8.8435,15.0,17.889,0.9722,1.9227,807691500.0,7.9212,12.7906,1.0,3.0,16.3333,0.2955
2002-07-01,2.78,3.2,15.1079,14.1837,17.889,0.9193,1.9229,763735500.0,7.9212,12.7906,1.0,3.0,16.3333,0.2955
2002-07-02,2.62,3.2,22.1374,13.4497,17.889,0.8664,1.9228,719779500.0,7.9434,12.7432,1.0,3.0,15.0,0.2955
2002-07-03,2.7,3.2,18.5185,13.8604,17.889,0.8929,1.9227,741757500.0,7.9434,12.7432,1.0,3.0,15.0,0.2955
2002-07-05,2.88,3.2,11.1111,14.7844,17.889,0.9524,1.9228,791208000.0,7.9434,12.7432,1.0,3.0,15.0,0.2955
2002-07-08,2.75,3.2667,18.7891,14.117,17.889,0.9094,1.9232,755493750.0,7.9434,12.7432,1.0,3.0,13.3333,0.2955
2002-07-09,2.62,3.2667,24.6832,13.4497,17.889,0.8664,1.9229,719779500.0,7.9434,12.7432,1.0,3.0,13.3333,0.2955
2002-07-10,2.59,3.2667,26.1274,13.2957,17.889,0.8565,1.9228,711537750.0,7.9434,12.7432,1.0,3.0,13.3333,0.2955
2002-07-11,2.55,3.2667,28.1059,13.0903,17.889,0.8433,1.9228,700548750.0,7.9434,12.7432,1.0,3.0,13.3333,0.2955
2002-07-12,2.61,3.2667,25.1609,13.3984,17.889,0.8631,1.9228,717032250.0,7.9434,12.7432,1.0,3.0,13.3333,0.2955
2002-07-15,2.71,3.2667,20.5424,13.9117,17.889,0.8962,1.9232,744504750.0,7.9434,12.7432,1.0,3.0,13.3333,0.2955
2002-07-16,2.74,3.2667,19.2226,13.9796,17.889,0.9061,1.9229,752746500.0,7.9212,12.7906,1.0,3.0,13.3333,0.2955
2002-07-17,2.74,3.2667,19.2226,14.4211,17.889,0.9103,1.9228,756253700.0,7.9212,12.9731,1.0,3.0,13.3333,0.2955
2002-07-18,2.08,3.2667,57.0529,11.1828,17.88,0.6975,1.9228,574090400.0,7.9535,13.2667,1.0,3.0,14.3333,0.2955
2002-07-19,1.84,3.2667,77.538,10.2222,17.88,0.6319,1.9228,507849200.0,8.0056,13.5376,1.0,3.0,14.3333,0.2955
2002-07-22,1.74,3.2667,87.7414,9.6667,17.8448,0.5976,1.9232,480248700.0,8.0056,13.5376,1.0,3.0,14.3333,0.2955
2002-07-23,1.65,3.2667,97.9818,9.1667,17.841,0.5667,1.9229,455408250.0,8.0056,13.5376,1.0,3.0,14.3333,0.2955
2002-07-24,1.65,3.2667,97.9818,9.1667,17.8371,0.5667,1.9228,455408250.0,8.0051,13.5376,1.0,3.0,15.0,0.2955
2002-07-25,1.6,3.2667,104.1688,8.8889,17.8371,0.5495,1.9228,441608000.0,8.0051,13.5376,1.0,3.0,15.0,0.2955
2002-07-26,1.69,3.2667,93.2959,9.3889,17.8371,0.5804,1.9228,466448450.0,8.0051,13.5376,1.0,3.0,15.0,0.2955
2002-07-29,1.78,3.2667,83.5225,9.8889,17.8371,0.6113,1.9232,491288900.0,8.0051,13.5376,1.0,3.0,15.0,0.2955
2002-07-30,1.77,3.2667,84.5593,9.8333,17.8371,0.6079,1.9229,488528850.0,8.0051,13.5376,1.0,3.0,15.0,0.2955
2002-07-31,1.74,3.2667,87.7414,9.6667,17.8371,0.5976,1.9228,480248700.0,8.0051,13.5376,1.0,3.0,15.0,0.2955
2002-08-01,1.74,3.0,72.4138,10.0462,17.8294,0.5976,1.9227,480248700.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-02,1.73,3.0,73.4104,9.9885,17.8294,0.5942,1.9227,477488650.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-05,1.73,3.0,73.4104,9.9885,17.8371,0.5942,1.9229,477488650.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-06,1.71,3.0,75.4386,9.873,17.8371,0.5873,1.9228,471968550.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-07,1.76,3.0,70.4545,10.1617,17.8294,0.6045,1.9227,485768800.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-08,1.84,3.0,63.0435,10.6236,17.8294,0.6319,1.9227,507849200.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-09,1.78,3.0,68.5393,10.2771,17.8294,0.6113,1.9227,491288900.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-12,1.8,3.0,66.6667,10.3926,17.8371,0.6182,1.9229,496809000.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-13,1.76,3.0,70.4545,10.1617,17.8371,0.6045,1.9228,485768800.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-14,1.81,3.0,65.7459,10.4503,17.8294,0.6216,1.9227,499569050.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-15,1.84,3.0,63.0435,10.6236,17.8294,0.6319,1.9227,507849200.0,8.0051,13.8901,1.0,3.0,15.0,0.2955
2002-08-16,1.92,3.0,56.25,11.0855,17.8211,0.6594,1.9227,529929600.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-19,1.89,3.0,58.7302,10.9122,17.7669,0.6491,1.9229,521649450.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-20,1.81,3.0,65.7459,10.4503,17.7669,0.6216,1.9228,499569050.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-21,1.84,3.0,63.0435,10.6236,17.7651,0.6319,1.9227,507849200.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-22,2.0,3.0,50.0,11.5473,17.7594,0.6869,1.9227,552010000.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-23,1.87,3.0,60.4278,10.7968,17.7521,0.6422,1.9227,516129350.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-26,1.8,3.0,66.6667,10.3926,17.716,0.6182,1.9229,496809000.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-27,1.72,3.0,74.4186,9.9307,17.7158,0.5907,1.9228,474728600.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-28,1.66,3.0,80.7229,9.5843,17.6814,0.5701,1.9227,458168300.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-29,1.7,3.0,76.4706,9.8152,17.6471,0.5839,1.9227,469208500.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-08-30,1.82,3.0,64.8352,10.5081,17.6346,0.6251,1.9227,502329100.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-03,1.73,3.0,73.4104,9.9885,17.6185,0.5942,1.9229,477488650.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-04,1.83,3.0,63.9344,10.5658,17.6148,0.6285,1.9228,505089150.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-05,1.78,3.0,68.5393,10.2771,17.6148,0.6113,1.9228,491288900.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-06,1.89,3.0,58.7302,10.9122,17.6148,0.6491,1.9228,521649450.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-09,1.99,3.0,50.7538,11.4896,17.6222,0.6835,1.9232,549249950.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-10,2.02,3.0,48.5149,11.6628,17.6185,0.6938,1.9229,557530100.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-11,1.91,3.0,57.0681,11.0277,17.6148,0.656,1.9228,527169550.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-12,1.85,3.0,62.1622,10.6813,17.6148,0.6354,1.9228,510609250.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-13,1.87,3.0,60.4278,10.7968,17.6148,0.6422,1.9228,516129350.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-16,1.8,3.0,66.6667,10.3926,17.6148,0.6182,1.9232,496809000.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
2002-09-17,1.8,3.0,66.6667,10.3926,17.586,0.6182,1.9229,496809000.0,8.0051,13.8901,1.0,3.0,14.6667,0.2955
