date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2019-04-26,40.23,41.5,3.1568,39.3794,38.6078,7.042,6.8831,5750202314.16,8.7774,11.9783,9.0,1.0,13.0,13.4038
2019-04-29,41.25,41.6429,0.9525,40.3305,38.6275,7.2213,6.8882,5895994170.0,8.6807,11.8558,10.0,1.0,13.0,16.9256
2019-04-30,40.25,41.6,3.354,39.4144,39.0034,7.0613,6.9622,5753060978.0,8.493,11.7084,11.0,1.0,13.0,16.9256
2019-05-01,40.31,41.6,3.2002,39.4732,39.3794,7.0718,7.0363,5761636969.52,8.493,11.7084,11.0,1.0,13.0,16.9256
2019-05-02,39.45,41.6,5.4499,38.631,39.0052,6.9209,6.9786,5638714424.4,8.493,11.7084,11.0,1.0,13.0,16.9256
2019-05-03,39.17,41.6,6.2037,38.3568,38.631,6.8718,6.9209,5598693130.64,8.493,11.7084,11.0,1.0,13.0,16.9256
2019-05-06,40.25,41.6,3.354,39.4144,39.0052,7.0613,6.9786,5753060978.0,8.493,11.7084,11.0,1.0,13.0,16.9256
2019-05-07,39.25,41.6,5.9873,38.4352,38.631,6.8858,6.9209,5610127786.0,8.493,11.7084,11.0,1.0,13.0,16.9256
2019-05-08,39.89,41.6,4.2868,38.9741,38.8025,7.0011,6.961,5701605028.88,8.5852,11.9267,11.0,1.0,13.0,16.9256
2019-05-09,41.08,42.5333,3.5377,39.2697,38.9741,11.1775,7.0011,9174004373.56,8.9504,12.8923,11.0,1.0,13.0,17.2299
2019-05-10,43.0,42.6667,-0.7751,40.968,39.1219,11.6999,7.0187,9602779651.0,8.9504,12.9019,11.0,2.0,13.8667,18.1655
2019-05-13,42.98,42.6667,-0.7289,40.9489,39.2697,11.6887,7.0363,9598313241.86,8.9741,12.9019,11.0,2.0,13.8667,18.1655
2019-05-14,43.43,42.6667,-1.7575,41.3777,39.3246,11.8111,7.0392,9698807447.51,8.9741,12.9019,11.0,2.0,13.8667,18.1655
2019-05-15,42.47,42.6667,0.4632,40.463,39.3794,11.55,7.042,9484419808.79,8.9741,12.9019,11.0,2.0,13.8667,18.1655
2019-05-16,44.01,42.6667,-3.0523,41.9303,39.3969,11.9688,7.0516,9828333312.57,8.9741,12.9019,11.0,2.0,13.8667,18.1655
2019-05-17,43.29,42.6667,-1.4398,41.2443,39.4144,11.773,7.0613,9667542583.53,8.9741,12.9019,11.0,2.0,13.8667,18.1655
2019-05-20,44.55,42.6667,-4.2274,42.4447,39.4144,12.1157,7.0613,9948926359.35,8.9741,12.9019,11.0,2.0,13.8667,18.1655
2019-05-21,43.46,42.6667,-1.8254,41.4062,39.4144,11.8192,7.0613,9705507061.22,8.9741,12.9019,11.0,2.0,13.8667,18.1655
