date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2022-02-10,37.75,62.96,66.7815,214.7327,214.7327,2.2671,3.4432,75711060250.0,33.0443,122.3058,15.0,1.0,-2.0,189.1628
2022-02-11,35.29,62.735,77.7699,232.7836,223.7582,2.1082,3.4432,70777306390.0,33.3692,143.1198,16.0,1.0,-2.0,189.1628
2022-02-14,34.59,62.735,81.1749,204.6746,211.7746,2.0521,3.4413,69373392690.0,33.3692,143.1198,16.0,1.0,-2.0,189.1628
2022-02-15,37.09,62.735,68.9631,219.4675,214.7327,2.2004,3.4395,74387370190.0,33.3692,143.1198,16.0,1.0,-2.0,189.1628
2022-02-16,36.58,62.173,69.9645,222.2357,217.1001,2.1642,3.4395,73364518780.0,33.6385,117.3281,15.0,1.0,-2.0,189.1628
2022-02-17,35.71,62.3056,74.4766,193.9707,214.7327,2.0934,3.4395,71619654610.0,34.4033,110.62,14.0,1.0,-2.0,189.1628
2022-02-18,34.68,61.973,78.6995,183.2013,211.7746,2.0408,3.4366,69553895880.0,34.0728,112.5317,15.0,1.0,-2.0,189.1628
2022-02-22,33.68,60.7462,80.3628,215.621,214.7327,1.9887,3.4338,67548304880.0,33.7837,132.8852,16.0,1.0,-2.0,189.1628
2022-02-23,32.39,60.7462,87.5462,207.3624,211.7746,1.9125,3.4316,64961092490.0,33.7837,132.8852,16.0,1.0,-2.0,189.1628
2022-02-24,34.87,60.7462,74.2076,223.2394,214.7327,2.059,3.4294,69934958170.0,33.7837,132.8852,16.0,1.0,-2.0,189.1628
2022-02-25,34.98,60.7462,73.6598,223.9437,215.1768,2.0655,3.4294,70155573180.0,33.7837,132.8852,16.0,1.0,-2.0,189.1628
2022-02-28,36.03,60.7462,68.5989,230.6658,215.621,2.1275,3.4274,72261443730.0,33.7837,132.8852,16.0,1.0,-2.0,189.1628
2022-03-01,33.89,60.7462,79.2452,216.9654,216.2932,2.0011,3.4254,67969478990.0,33.7837,132.8852,16.0,1.0,-2.0,189.1628
2022-03-02,34.04,60.6342,78.1263,221.039,216.9654,2.0056,3.424,68270317640.0,33.7629,135.0936,15.0,1.0,-2.0,189.1628
2022-03-03,31.72,60.6342,91.1545,205.974,216.2932,1.8689,3.4227,63617346520.0,33.7629,135.0936,15.0,1.0,-2.0,189.1628
2022-03-04,29.83,60.259,102.008,201.5541,215.621,1.7567,3.4196,59826779530.0,33.839,139.3728,16.0,1.0,-2.0,189.1628
2022-03-07,28.57,60.2846,111.0067,189.3307,215.1768,1.6808,3.4164,57299734870.0,33.8714,141.5344,16.0,1.0,-2.0,189.7369
2022-03-08,30.74,60.2846,96.1113,203.7111,214.7327,1.8084,3.4164,61651867340.0,33.8714,141.5344,16.0,1.0,-2.0,189.7369
2022-03-09,31.5,60.0275,90.5635,210.0,212.3664,1.8522,3.4164,63176116500.0,33.9116,143.3292,17.0,1.0,22.7446,189.7223
2022-03-10,30.41,59.6525,96.1608,190.7779,210.0,1.7863,3.415,60990022310.0,33.9964,133.3776,17.0,1.0,22.7446,189.7223
2022-03-11,30.76,59.6525,93.9288,192.9737,209.4083,1.8069,3.4136,61691979160.0,33.9964,133.3776,17.0,1.0,22.7446,189.7223
2022-03-14,29.27,59.6525,104.6464,183.6261,208.8166,1.7194,3.4128,58703648570.0,33.9964,133.3776,17.0,1.0,22.7446,189.7223
2022-03-15,29.8,59.6525,101.0067,177.8043,208.0895,1.7503,3.4119,59766611800.0,33.9977,125.2565,17.0,1.0,22.7446,189.7223
2022-03-16,32.61,59.6525,83.686,194.5704,207.3624,1.9154,3.4119,65402322510.0,33.9977,125.2565,17.0,1.0,22.7446,189.7223
2022-03-17,32.85,59.6525,82.344,196.0024,206.6682,1.9295,3.4119,65883664350.0,33.9977,125.2565,17.0,1.0,22.7446,189.7223
2022-03-18,33.36,59.5154,78.4035,196.5822,205.974,1.9802,3.4102,66906515760.0,33.8978,123.2332,17.0,1.0,22.7446,190.9684
2022-03-21,31.98,59.5154,86.1019,188.4502,205.3243,1.8983,3.4085,64138800180.0,33.8978,123.2332,17.0,1.0,22.7446,190.9684
2022-03-22,33.35,59.5154,78.457,196.5233,204.6746,1.9796,3.4064,66886459850.0,33.8978,123.2332,17.0,1.0,22.7446,190.9684
2022-03-23,33.06,59.5154,80.0224,194.8144,204.1928,1.9624,3.4042,66304838460.0,33.8978,123.3511,17.0,1.0,22.7446,190.9684
2022-03-24,34.7,59.5154,71.5141,215.3942,204.6746,2.0588,3.4023,69594007700.0,33.8981,131.6716,17.0,2.0,27.8956,193.1857
2022-03-25,34.06,59.5154,74.7369,211.4215,205.3243,2.0208,3.4004,68310429460.0,33.8981,131.6716,17.0,2.0,27.8956,193.1857
2022-03-28,34.77,59.5154,71.1688,215.8287,205.974,2.0629,3.4004,69734399070.0,33.8981,131.6716,17.0,2.0,27.8956,193.1857
2022-03-29,37.19,59.3872,59.6859,230.8504,206.6682,2.205,3.4003,74587929290.0,33.9417,131.6716,17.0,2.0,27.8956,193.1857
2022-03-30,36.58,59.3872,62.3488,225.524,207.3624,2.1681,3.399,73364518780.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-03-31,35.68,59.3872,66.4439,219.9753,208.0895,2.1148,3.3976,71559486880.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-01,35.98,59.3872,65.0561,221.8249,208.8166,2.1325,3.3955,72161164180.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-04,36.51,59.3872,62.6601,225.0925,209.4083,2.164,3.3926,73224127410.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-05,34.96,59.3872,69.8719,215.5364,210.0,2.0721,3.3919,70115461360.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-06,33.41,59.3872,77.7528,205.9803,209.4083,1.9802,3.3901,67006795310.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-07,32.27,59.3872,84.0322,198.9519,208.8166,1.9126,3.3882,64720421570.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-08,32.05,59.3872,85.2955,197.5956,208.0895,1.8996,3.388,64279191550.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-11,32.04,59.3872,85.3533,197.5339,207.3624,1.899,3.3825,64259135640.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-12,31.99,59.3872,85.643,197.2256,206.6714,1.8961,3.3815,64158856090.0,33.9598,131.3026,17.0,2.0,27.8956,193.1857
2022-04-13,32.63,59.2077,81.4517,201.9183,205.9803,1.9344,3.3791,65442434330.0,33.9606,131.0074,18.0,2.0,27.8956,193.1857
2022-04-14,32.68,59.2077,81.1741,202.2277,205.9772,1.9374,3.3759,65542713880.0,33.9606,131.0074,18.0,2.0,27.8956,193.1857
2022-04-18,31.79,59.2077,86.2463,196.7203,205.974,1.8846,3.3716,63757737890.0,33.9606,131.0074,18.0,2.0,27.8956,193.1857
