date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2005-01-05,17.0,22.7,33.5294,21.25,21.3571,1.2686,1.3982,238493000.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-06,17.87,22.7,27.0285,22.3375,21.3571,1.3335,1.3979,250698230.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-07,17.42,22.7,30.31,21.775,21.3571,1.2999,1.3978,244385180.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-10,17.69,22.7,28.3211,22.1125,21.3714,1.3201,1.3962,248173010.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-11,17.66,22.7,28.5391,22.075,21.3786,1.3178,1.3961,247752140.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-12,17.5,22.7,29.7143,21.875,21.3857,1.3059,1.396,245507500.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-13,17.48,22.7,29.8627,21.85,21.3862,1.3044,1.396,245226920.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-14,17.62,22.7,28.8309,22.025,21.3878,1.3148,1.396,247190980.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-18,17.65,22.7,28.6119,22.0625,21.4014,1.3171,1.396,247611850.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-19,17.4,22.7,30.4598,21.75,21.4027,1.2984,1.396,244104600.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-20,17.5,22.7,29.7143,21.875,21.4143,1.3059,1.3947,245507500.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
2005-01-21,17.43,22.7,30.2352,21.7875,21.4286,1.3007,1.3946,244525470.0,20.5274,30.0473,1.0,1.0,15.0,22.6926
