date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-08-09,7.36,7.9999,8.6943,12.1492,11.4157,0.3947,0.3258,934413684.16,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-12,7.47,7.9999,7.0937,12.3308,11.4222,0.4006,0.3258,948379106.07,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-13,7.33,7.9999,9.1392,12.0997,11.4222,0.3931,0.3259,930604932.73,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-14,7.61,7.9999,5.1235,12.5619,11.4222,0.4081,0.326,966153279.41,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-15,7.69,7.9999,4.0299,12.694,11.4222,0.4124,0.3261,976309949.89,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-16,7.66,7.9999,4.4373,12.6444,11.4222,0.4107,0.3262,972501198.46,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-19,7.74,7.9999,3.3579,12.7765,11.4222,0.415,0.3263,982657868.94,2.1178,14.0744,1.0,1.0,6.0,4.8147
2002-08-20,7.82,7.9999,2.3005,11.9244,11.4222,0.3812,0.3263,992814539.42,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-21,8.06,7.9999,-0.7457,12.2903,11.4222,0.3929,0.3263,1023284550.86,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-22,7.97,7.9999,0.3752,12.1531,11.4222,0.3885,0.3263,1011858296.57,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-23,7.86,7.9999,1.7799,11.9854,11.4225,0.3832,0.3263,997892874.66,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-26,7.99,7.9999,0.1239,12.1836,11.4228,0.3895,0.3263,1014397464.19,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-27,7.88,7.9999,1.5216,12.0159,11.4228,0.3841,0.3263,1000432042.28,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-28,7.69,7.9999,4.0299,11.7261,11.4228,0.3749,0.3267,976309949.89,1.8317,14.2062,1.0,1.0,6.0,4.8147
2002-08-29,7.69,7.9999,4.0299,11.7261,11.4247,0.3749,0.3271,976309949.89,1.8317,14.2062,1.0,1.0,6.0,4.8147
