date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2002-05-03,20.77,19.7781,-4.7756,16.962,15.7882,1.2605,0.9842,62922874617.45,3.5784,4.875,4.0,1.0,12.0,8.2959,1.2908296296296298,9.63539960580147,0.4738452380952381,3.5127978098514485,10.9262292354311,-3.0389525717562105
2002-05-06,20.66,19.7781,-4.2686,16.8406,15.7824,1.2514,0.9864,62589628772.1,3.6698,4.9392,4.0,1.0,12.0,8.2107,1.2615694736842105,9.618335277636742,0.3926507936507937,3.503152795542803,10.879904751320952,-3.110502001892009
2002-05-07,20.76,19.7781,-4.7298,16.9221,15.7828,1.2575,0.9887,62892579540.6,3.6698,4.9392,4.0,1.0,12.0,8.2107,1.2302010471204188,9.602781165754394,0.3125904761904762,3.504042371488758,10.832982212874812,-3.191451895298282
2002-05-08,20.67,19.7781,-4.3149,16.8487,15.7882,1.252,0.989,62619923848.95,3.6698,4.9392,4.0,1.0,12.0,8.2107,1.2013203125,9.585966826928177,0.2529174603174603,3.518402416463001,10.787287139428177,-3.265484956145541
2002-05-09,20.56,19.7781,-3.803,16.8456,15.7882,1.2496,0.9892,62286678003.6,3.3541,5.5613,5.0,1.0,12.0,8.2107,1.1753911917098443,9.567754173496164,0.198263492063492,3.5275565611023865,10.743145365206008,-3.3292930690388944
2002-05-10,20.78,19.7781,-4.8215,17.086,15.7882,1.2679,0.9898,62953169694.3,3.3578,5.5629,5.0,1.0,12.0,8.2107,1.144479381443299,9.552642787272571,0.1393269841269841,3.54900245178642,10.697122168715872,-3.409675467659436
2002-05-13,21.5,19.7781,-8.0088,17.678,15.7824,1.3118,0.9905,65134415227.5,3.3578,5.5629,5.0,1.0,12.0,8.2107,1.097539487179487,9.550511084765928,0.0565103174603174,3.6163249403078654,10.648050571945417,-3.559814622847548
2002-05-14,20.88,19.7781,-5.2773,17.1682,15.7828,1.274,0.991,63256120462.8,3.3578,5.5629,5.0,1.0,12.0,8.2107,1.0650147959183671,9.536867749777928,-0.0032166666666666,3.641891671464157,10.601882545696297,-3.645108338130824
2002-05-15,20.62,19.7781,-4.0829,16.9544,15.7882,1.2581,0.9914,62468448464.7,3.3578,5.5629,5.0,1.0,12.0,8.2107,1.0388832487309645,9.519576115674266,-0.0596150793650793,3.649663110920073,10.55845936440523,-3.709278190285152
2002-05-16,20.65,19.7781,-4.2223,16.9791,15.7882,1.26,0.9923,62559333695.25,3.3578,5.5629,5.0,1.0,12.0,8.2107,1.012311616161616,9.50274254232974,-0.1119087301587301,3.661804452365413,10.515054158491356,-3.7737131825241432
2002-05-17,20.56,19.7781,-3.803,16.9051,15.7882,1.2545,0.9932,62286678003.6,3.3578,5.5629,5.0,1.0,12.0,8.2107,0.9881140703517588,9.484859685687224,-0.1694373015873015,3.662406603002655,10.472973756038984,-3.831843904589957
2002-05-20,20.32,19.7781,-2.6668,16.7078,15.7824,1.2398,0.9944,61559596159.2,3.3578,5.5629,5.0,1.0,12.0,8.2107,0.9698395,9.464527566618749,-0.2150738095238095,3.657371970804796,10.434367066618748,-3.8724457803286056
2002-05-21,20.06,19.7781,-1.4053,16.494,15.7828,1.224,0.9955,60771924161.1,3.3578,5.5629,5.0,1.0,12.0,8.2107,0.9580228855721392,9.442322900466475,-0.2375484126984127,3.655904207535729,10.400345786038615,-3.8934526202341417
2002-05-22,20.45,19.7781,-3.2856,16.8147,15.7882,1.2478,0.9961,61953432158.25,3.3578,5.5629,5.0,1.0,12.0,8.2107,0.9370148514851484,9.4235366221727,-0.2740230158730158,3.663257468628984,10.36055147365785,-3.9372804845019984
2002-05-23,20.35,19.7781,-2.8103,16.7324,15.7882,1.2417,0.9966,61650481389.75,3.3578,5.5629,5.0,1.0,12.0,8.2107,0.9185551724137933,9.403860785700836,-0.3025976190476191,3.668928315821157,10.322415958114629,-3.971525934868776
2002-05-24,20.36,19.7781,-2.8581,16.7159,15.7882,1.2442,0.9968,61680776466.6,3.3559,5.559,5.0,1.0,12.0,8.1928,0.900042156862745,9.384395899193263,-0.3256626984126984,3.6758345394695673,10.284438056056008,-4.0014972378822655
2002-05-28,20.33,19.7781,-2.7147,16.6844,15.7828,1.2424,0.9971,61589891236.05,3.3559,5.559,5.0,1.0,12.0,8.1928,0.882409268292683,9.364770382393935,-0.3471404761904761,3.68186770982725,10.24717965068662,-4.029008186017726
2002-05-29,20.45,19.7781,-3.2856,16.7788,15.7882,1.2497,0.9977,61953432158.25,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.862176213592233,9.346414084753327,-0.3655873015873015,3.690781169974379,10.20859029834556,-4.05636847156168
2002-05-30,20.61,19.7781,-4.0364,16.9101,15.7882,1.2595,0.9983,62438153387.85,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.8385115942028986,9.329915517971548,-0.4016174603174603,3.704364304764407,10.168427112174449,-4.105981765081867
2002-05-31,20.61,19.7781,-4.0364,16.9101,15.7882,1.2595,1.0002,62438153387.85,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.8150745192307691,9.31348800233497,-0.4468269841269842,3.7137508896836384,10.12856252156574,-4.160577873810623
2002-06-03,20.54,19.7781,-3.7093,16.8526,15.7824,1.2552,1.0022,62226087849.9,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.7934267942583733,9.296342122786468,-0.4730674603174603,3.725102156254602,10.08976891704484,-4.198169616572062
2002-06-04,20.39,19.7781,-3.001,16.7296,15.7828,1.246,1.0024,61771661697.15,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.7753580952380952,9.277771011290833,-0.4827015873015873,3.730094182038497,10.053129106528928,-4.212795769340084
2002-06-05,20.61,19.7781,-4.0364,16.9101,15.7828,1.2595,1.0026,62438153387.85,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.7525535545023696,9.261580547016807,-0.4975317460317461,3.740547371680261,10.014134101519176,-4.238079117712007
2002-06-06,20.57,19.7781,-3.8498,16.8773,15.7828,1.257,1.0032,62316973080.45,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.7308443396226415,9.245012830757364,-0.5204563492063492,3.7522454436882655,9.975857170380008,-4.272701792894615
2002-06-07,20.42,19.7781,-3.1435,16.7542,15.7828,1.2479,1.0039,61862546927.7,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.7126549295774648,9.227002366119464,-0.5404277777777778,3.7595073748913177,9.939657295696929,-4.299935152669096
2002-06-10,20.47,19.7781,-3.3801,16.7952,15.7821,1.2509,1.0042,62014022311.95,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.6935299065420562,9.209567839087963,-0.562720634920635,3.7680096982108178,9.90309774563002,-4.330730333131453
2002-06-11,20.52,19.7781,-3.6155,16.8362,15.7821,1.254,1.0045,62165497696.2,3.3559,4.9288,5.0,1.0,12.0,8.1928,0.6734879069767442,9.192723440661563,-0.6087888888888888,3.7695800009915614,9.866211347638307,-4.37836888988045
2002-06-12,20.42,19.7781,-3.1435,16.7281,15.7824,1.2479,1.0056,61862546927.7,3.3559,4.9498,5.0,1.0,12.0,8.1928,0.6558166666666666,9.174996634347016,-0.6596436507936507,3.76012290055516,9.830813301013682,-4.41976655134881
2002-06-13,20.21,19.7781,-2.1371,16.6708,15.7824,1.2336,1.0067,61226350313.85,3.3527,5.1424,4.0,1.0,12.0,8.4513,0.6429460829493087,9.155696853775623,-0.7092722222222223,3.737785805390968,9.798642936724931,-4.44705802761319
2002-06-14,19.63,19.7781,0.7545,16.1924,15.7824,1.1982,1.0068,59469235856.55,3.3527,5.1424,4.0,1.0,12.0,8.4513,0.6434577981651376,9.134579542280402,-0.7192531746031746,3.732135636520975,9.77803734044554,-4.45138881112415
2002-06-17,20.06,19.7781,-1.4053,16.5471,15.7821,1.2244,1.007,60771924161.1,3.3527,5.1424,4.0,1.0,12.0,8.4513,0.6341027397260274,9.114656048193655,-0.7380484126984127,3.729558752704861,9.748758787919682,-4.467607165403273
2002-06-18,19.94,19.7781,-0.8119,16.4481,15.7821,1.2171,1.0073,60408383238.9,3.3527,5.1424,4.0,1.0,12.0,8.4513,0.62753,9.094345069910352,-0.7466769841269841,3.7284530403943688,9.721875069910352,-4.475130024521353
2002-06-19,19.63,19.7781,0.7545,16.1924,15.7824,1.1982,1.0076,59469235856.55,3.3527,5.1424,4.0,1.0,12.0,8.4513,0.6281045248868777,9.073656582586024,-0.7313007936507937,3.730633952871729,9.701761107472905,-4.461934746522523
