date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2024-05-17,25.41,19.0357,-25.0858,200.7109,58.6775,3.1145,3.1697,2211449959.95,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-16.744652182539685,25.09619497544747,-28.16842936507937,13.246846747116908,8.351542792907786,-41.415276112196274
2024-05-20,25.56,19.0357,-25.5254,201.8957,58.5806,3.1329,3.139,2224504564.2,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-16.817678174603174,25.06801910292804,-28.237716666666667,13.20966281438974,8.250340928324864,-41.44737948105641
2024-05-21,24.7,19.0357,-22.9324,195.1027,58.6775,3.0275,3.1359,2149658166.5,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-16.877885912698414,25.04613947516458,-28.25260634920636,13.202558741030105,8.168253562466166,-41.455165090236456
2024-05-22,24.33,19.0357,-21.7604,192.1801,58.7842,2.9821,3.1329,2117456809.35,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-16.920901587301586,25.035848365778737,-28.24831031746032,13.204598530892325,8.114946778477151,-41.45290884835264
2024-05-23,23.16,19.0357,-17.8079,182.9384,58.7842,2.8387,3.1189,2015630896.2,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-16.986589285714285,24.99454183560816,-28.269954761904764,13.1850627522666,8.007952549893872,-41.45501751417137
2024-05-24,23.35,19.0357,-18.4767,184.4392,58.7842,2.862,3.1145,2032166728.25,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-17.0686005952381,24.931279751048947,-28.30340555555556,13.154550915896746,7.862679155810849,-41.45795647145231
2024-05-28,23.51,19.0357,-19.0315,185.703,58.5806,2.8816,3.1133,2046091639.45,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-17.183208333333333,24.80671688857565,-28.32323412698413,13.138540200470407,7.623508555242317,-41.461774327454535
2024-05-29,23.32,19.0357,-18.3718,184.2022,58.6775,2.8583,3.1128,2029555807.4,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-17.273925992063493,24.727010056659097,-28.3212253968254,13.140054085994503,7.453084064595604,-41.461279482819904
2024-05-30,24.28,19.0357,-21.5993,191.7852,58.7842,2.976,3.1124,2113105274.6,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-17.35562876984127,24.672970455144977,-28.29967063492064,13.148902668691472,7.317341685303706,-41.44857330361211
2024-05-31,24.72,19.0357,-22.9947,195.2607,58.7842,3.0299,3.1077,2151398780.4,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-17.399649007936507,24.66317902326768,-28.28081587301587,13.154838643652647,7.263530015331167,-41.43565451666852
2024-06-03,24.12,19.0357,-21.0792,190.5213,58.5806,2.9564,3.1012,2099180363.4,19.374,156.1012,6.0,1.0,52.5416,-27.2964,-17.439595436507936,24.65277904381278,-28.24188968253968,13.168938907880303,7.213183607304845,-41.41082859041999
2024-06-04,24.51,19.25,-21.4606,158.5382,58.6775,3.0211,3.1006,2133122334.45,18.072,126.6343,6.0,1.0,52.5416,-27.2964,-17.49928492063492,24.62595549108524,-28.10418333333333,13.148230836316763,7.126670570450319,-41.252414169650095
2024-06-05,26.43,18.9,-28.4904,201.9099,58.7842,3.3063,3.1012,2300221268.85,16.9182,127.9975,7.0,1.0,52.5416,-27.2964,-17.54895714285714,24.622820355096334,-27.99507777777778,13.086906350632042,7.073863212239193,-41.08198412840982
2024-06-06,26.87,18.9,-29.6613,205.2712,58.7842,3.3613,3.1012,2338514774.65,16.9182,127.9975,7.0,1.0,52.5416,-27.2964,-17.6134625,24.611858079109734,-27.91260873015873,13.042984340090047,6.998395579109733,-40.95559307024878
2024-06-07,24.59,18.9,-23.1395,187.8533,58.7842,3.0761,3.1001,2140084790.05,16.9182,127.9975,7.0,1.0,52.5416,-27.2964,-17.675828769841267,24.58589181923925,-27.77032222222222,12.996032596720172,6.910063049397984,-40.76635481894239
2024-06-10,23.82,18.9,-20.6549,181.971,58.5806,2.9798,3.0911,2073071154.9,16.9182,127.9975,7.0,1.0,52.5416,-27.2964,-17.735907341269844,24.556024852277808,-27.61232142857143,12.960228096743055,6.820117511007965,-40.572549525314486
