date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2013-05-15,0.88,1.5339,74.3068,8.998,23.0057,2.1257,4.4667,106729107.76,56.9491,144.3917,1.0,1.0,35.0,432.0702
2013-05-16,0.929,1.5339,65.113,9.499,22.7133,2.2441,4.4667,112671978.533,56.9491,144.3917,1.0,1.0,35.0,432.0702
2013-05-17,0.9,1.5339,70.4333,9.2025,22.6067,2.174,4.4667,109154769.3,56.9491,144.3917,1.0,1.0,35.0,432.0702
2013-05-20,0.9,1.461,62.3333,9.9448,22.4826,2.1985,4.4727,109154769.3,56.9491,134.6768,1.0,1.0,35.0,951.9749
2013-05-21,0.9,1.461,62.3333,9.9448,22.4409,2.1985,4.4667,109154769.3,56.9491,134.6768,1.0,1.0,35.0,951.9749
2013-05-22,0.89,1.461,64.1573,9.8343,22.429,2.1741,4.4667,107941938.53,56.9491,134.6768,1.0,1.0,35.0,951.9749
2013-05-23,0.9176,1.461,59.2197,10.1392,22.3197,2.2415,4.4667,111289351.4552,56.9491,134.6768,1.0,1.0,35.0,951.9749
2013-05-24,0.9301,1.461,57.0799,10.2773,22.2115,2.272,4.4667,112805389.9177,56.9491,134.6768,1.0,1.0,35.0,951.9749
2013-05-28,0.9157,1.6244,77.3943,10.3821,22.1878,2.0896,4.4727,111058913.6089,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-05-29,0.95,1.6244,70.9895,10.771,22.1748,2.1679,4.4667,115218923.15,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-05-30,1.0,1.6244,62.44,11.3379,22.101,2.282,4.4667,121283077.0,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-05-31,1.08,1.6244,50.4074,12.2449,21.8323,2.4646,4.4667,130985723.16,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-03,1.13,1.6244,43.7522,12.8118,21.4888,2.5787,4.4727,137049877.01,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-04,1.18,1.6244,37.661,13.3787,21.4425,2.6928,4.4667,143114030.86,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-05,1.145,1.6244,41.869,12.9819,21.4425,2.6129,4.4667,138869123.165,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-06,1.09,1.6244,49.0275,12.3583,21.4356,2.4874,4.4667,132198553.93,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-07,1.0805,1.6244,50.3378,12.2506,21.3381,2.4657,4.4667,131046364.6985,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-10,1.06,1.6244,53.2453,12.0181,21.0476,2.4189,4.4727,128560061.62,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-11,1.03,1.6244,57.7087,11.678,21.0425,2.3505,4.4667,124921569.31,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-12,1.1,1.6244,47.6727,12.4717,20.9501,2.5102,4.4667,133411384.7,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-13,1.07,1.6244,51.8131,12.1315,20.8577,2.4417,4.4667,129772892.39,56.9491,128.332,1.0,1.0,35.0,1147.3217
2013-06-14,1.07,1.5624,46.0187,13.2262,20.8535,2.5658,4.4667,129772892.39,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-17,1.14,1.5624,37.0526,14.0915,20.4678,2.7336,4.4727,138262707.78,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-18,1.2,1.5624,30.2,14.8331,20.2729,2.8775,4.4667,145539692.4,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-19,1.19,1.5624,31.2941,14.7095,20.1754,2.8535,4.4667,144326861.63,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-20,1.11,1.5624,40.7568,13.7206,20.078,2.6617,4.4667,134624215.47,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-21,1.15,1.5624,35.8609,14.2151,20.072,2.7576,4.4667,139475538.55,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-24,1.19,1.5624,31.2941,14.7095,20.0426,2.8535,4.4727,144326861.63,56.9491,90.5388,2.0,1.0,35.0,574.6718
2013-06-25,1.28,1.6769,31.0078,16.0401,20.0426,3.1123,4.4667,155242338.56,56.9491,92.4264,2.0,1.0,35.0,579.3547
2013-06-26,1.22,1.6769,37.4508,15.2882,19.9628,2.9664,4.4667,147965353.94,56.9491,92.4264,2.0,1.0,35.0,579.3547
2013-06-27,1.29,1.6769,29.9922,16.1654,19.883,3.1366,4.4667,156455169.33,56.9491,92.4264,2.0,1.0,35.0,579.3547
2013-06-28,1.34,1.6769,25.1418,16.792,19.8562,3.2582,4.4667,162519323.18,56.9491,92.4264,2.0,1.0,35.0,579.3547
2013-07-01,1.33,1.6769,26.0827,16.6667,19.6522,3.2339,4.4727,161306492.41,56.9491,92.4264,2.0,1.0,35.0,579.3547
2013-07-02,1.28,1.6561,29.3828,16.2231,19.6162,3.1448,4.4727,155242338.56,56.9491,92.67,2.0,1.0,35.0,536.7131
2013-07-03,1.31,1.6561,26.4198,16.6033,19.6162,3.2185,4.4667,158880830.87,56.9491,92.67,2.0,1.0,35.0,536.7131
2013-07-05,1.27,1.6561,30.4016,16.0963,19.4932,3.1202,4.4727,154029507.79,56.9491,92.67,2.0,1.0,35.0,536.7131
2013-07-08,1.29,1.6561,28.3798,16.3498,19.4932,3.1694,4.4814,156455169.33,56.9491,92.67,2.0,1.0,35.0,536.7131
2013-07-09,1.28,1.6561,29.3828,16.2231,19.4932,3.1448,4.4788,155242338.56,56.9491,92.67,2.0,1.0,35.0,536.7131
2013-07-10,1.27,1.6799,32.2756,15.7178,19.4556,3.1379,4.4727,154029507.79,56.9491,92.6058,2.0,1.0,35.0,551.3405
2013-07-11,1.25,1.6799,34.392,15.4703,19.358,3.0885,4.4727,151603846.25,56.9491,92.6058,2.0,1.0,35.0,551.3405
2013-07-12,1.16,1.6881,45.5259,14.3033,19.2653,2.8542,4.4727,140688369.32,56.9491,87.9021,2.0,1.0,35.0,291.7584
2013-07-15,1.17,1.7162,46.6838,14.4266,19.1898,2.8788,4.4814,141901200.09,56.9491,87.9021,2.0,1.0,35.0,291.7584
2013-07-16,1.12,1.7162,53.2321,13.8101,19.1898,2.7558,4.4788,135837046.24,56.9491,87.9021,2.0,1.0,35.0,291.7584
2013-07-17,1.11,1.7162,54.6126,13.6868,19.1376,2.7312,4.4727,134624215.47,56.9491,87.9021,2.0,1.0,35.0,291.7584
2013-07-18,1.08,1.7162,58.9074,13.3169,19.0309,2.6574,4.4727,130985723.16,56.9491,87.9021,2.0,1.0,35.0,291.7584
2013-07-19,1.17,1.7172,46.7692,14.4089,18.9765,2.8774,4.4727,141901200.09,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-22,1.34,1.7172,28.1493,16.5025,18.8294,3.2955,4.4814,162519323.18,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-23,1.31,1.7172,31.084,16.133,18.7633,3.2218,4.4814,158880830.87,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-24,1.27,1.7172,35.2126,15.6404,18.7633,3.1234,4.4788,154029507.79,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-25,1.28,1.7172,34.1563,15.7635,18.6567,3.148,4.4788,155242338.56,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-26,1.3,1.7172,32.0923,16.0099,18.5522,3.1972,4.4788,157668000.1,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-29,1.31,1.7172,31.084,16.133,18.5309,3.2218,4.484,158880830.87,56.9491,87.8722,2.0,1.0,35.0,291.8548
2013-07-30,1.25,1.6847,34.776,16.3185,18.5247,3.0201,4.4814,152603865.0,56.9491,90.5219,3.0,1.0,35.0,261.6367
2013-07-31,1.17,1.6847,43.9915,15.2742,18.5185,2.8268,4.4814,142837217.64,56.9491,90.5219,3.0,1.0,35.0,261.6367
2013-08-01,1.19,1.6847,41.5714,15.5352,18.448,2.8751,4.4788,145278879.48,56.9491,90.5219,3.0,1.0,35.0,261.6367
2013-08-02,1.2,1.6849,40.4083,15.6658,18.3774,2.899,4.4788,146499710.4,56.9491,90.5219,3.0,1.0,35.0,261.6367
2013-08-05,1.17,1.6836,43.8974,15.2742,18.3505,2.8265,4.484,142837217.64,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-06,1.15,1.6836,46.4,15.0131,18.3236,2.7782,4.4814,140395555.8,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-07,1.13,1.6836,48.9912,14.752,18.3196,2.7299,4.4788,137953893.96,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-08,1.16,1.6836,45.1379,15.1436,18.3156,2.8023,4.4788,141616386.72,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-09,1.19,1.6836,41.479,15.5352,18.2222,2.8748,4.4788,145278879.48,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-12,1.18,1.6836,42.678,15.4047,18.1287,2.8507,4.484,144058048.56,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-13,1.21,1.6836,39.1405,15.7963,18.1272,2.9231,4.4814,147720541.32,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-14,1.16,1.6836,45.1379,15.1436,18.1258,2.8023,4.4788,141616386.72,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-15,1.06,1.6836,58.8302,13.8381,18.1248,2.5608,4.4788,129408077.52,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-16,1.08,1.6836,55.8889,14.0992,18.1237,2.6091,4.4788,131849739.36,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-19,1.07,1.6836,57.3458,13.9687,17.9104,2.5849,4.4667,130628908.44,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-20,1.13,1.6836,48.9912,14.752,17.6972,2.7299,4.4652,137953893.96,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-21,1.11,1.6836,51.6757,14.4909,17.6972,2.6816,4.4638,135512232.12,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-22,1.14,1.6836,47.6842,14.8825,17.6972,2.754,4.4638,139174724.88,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-23,1.12,1.6836,50.3214,14.6214,17.4256,2.7057,4.4638,136733063.04,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-26,1.09,1.6836,54.4587,14.2298,17.154,2.6332,4.4638,133070570.28,56.9491,90.5851,3.0,1.0,35.0,261.6367
2013-08-27,1.04,1.6793,61.4712,13.6126,17.0566,2.5395,4.4638,126966415.68,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-08-28,1.04,1.6793,61.4712,13.6126,16.9591,2.5395,4.4638,126966415.68,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-08-29,1.05,1.6793,59.9333,13.7435,16.8756,2.5639,4.4638,128187246.6,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-08-30,1.03,1.6793,63.0388,13.4817,16.792,2.515,4.4638,125745584.76,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-03,1.03,1.6793,63.0388,13.4817,16.778,2.515,4.4638,125745584.76,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-04,1.05,1.6793,59.9333,13.7435,16.7641,2.5639,4.4638,128187246.6,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-05,1.11,1.6793,51.2883,14.5288,16.7154,2.7104,4.4638,135512232.12,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-06,1.11,1.6793,51.2883,14.5288,16.6667,2.7104,4.4638,135512232.12,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-09,1.09,1.6793,54.0642,14.267,16.6033,2.6615,4.4623,133070570.28,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-10,1.07,1.6793,56.9439,14.0052,16.5529,2.6127,4.4528,130628908.44,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-11,1.03,1.6793,63.0388,13.4817,16.5025,2.515,4.4432,125745584.76,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-12,1.04,1.6793,61.4712,13.6126,16.4262,2.5395,4.4427,126966415.68,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-13,1.02,1.6793,64.6373,13.3508,16.3498,2.4906,4.4425,124524753.84,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-16,1.01,1.6793,66.2673,13.2199,16.3342,2.4662,4.4134,123303922.92,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-17,1.01,1.6793,66.2673,13.2199,16.3185,2.4662,4.4079,123303922.92,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-18,1.04,1.6793,61.4712,13.6126,16.2708,2.5395,4.4052,126966415.68,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-19,1.05,1.6793,59.9333,13.7435,16.2231,2.5639,4.3982,128187246.6,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-20,1.05,1.6793,59.9333,13.7435,16.2231,2.5639,4.3939,128187246.6,56.9491,94.7971,3.0,1.0,35.0,290.846
2013-09-23,1.03,1.6882,63.9029,12.7633,16.2231,2.3667,4.3622,125745584.76,56.9491,100.824,3.0,1.0,35.0,329.2425
2013-09-24,0.9904,1.6882,70.4564,12.2726,16.1942,2.2757,4.349,120911094.3168,56.9491,100.824,3.0,1.0,35.0,329.2425
2013-09-25,1.06,1.6883,59.2736,13.1351,16.1654,2.4356,4.3485,129408077.52,56.9491,100.824,3.0,1.0,35.0,329.2425
2013-09-26,1.08,1.6883,56.3241,13.3829,16.1492,2.4815,4.3466,131849739.36,56.9491,100.824,3.0,1.0,35.0,329.2425
2013-09-27,1.05,1.6883,60.7905,13.0112,16.133,2.4126,4.3448,128187246.6,56.9491,100.824,3.0,1.0,35.0,329.2425
