date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2003-01-21,21.79,25.9619,19.1459,9.9872,11.201,3.0489,3.0154,41969719000.0,2.4556,6.4805,5.0,7.0,10.2857,-4.9534,23.05842956298201,10.71125525269454,27.125642857142857,10.649639009900248,33.76968481567654,16.47600384724261
2003-01-22,21.68,25.9619,19.7505,9.9118,11.2003,3.0336,3.0155,41757848000.0,2.4556,6.4891,5.0,7.0,10.2857,-4.9534,23.049947692307693,10.698790036440467,26.90079047619048,10.501698535428885,33.74873772874816,16.399091940761593
2003-01-23,21.46,25.9619,20.9781,9.8608,11.2003,3.0028,3.0155,41334106000.0,2.4556,6.4701,5.0,7.0,10.2857,-4.9534,23.04464884910486,10.68557854898151,26.69783015873016,10.365119318184604,33.73022739808637,16.332710840545552
2003-01-24,20.82,25.9619,24.6969,9.5667,11.2003,2.9132,3.0155,40101402000.0,2.4556,6.4701,5.0,7.0,10.2857,-4.9534,23.048863775510203,10.672231656000978,26.51481349206349,10.192450937625209,33.72109543151118,16.32236255443828
2003-01-27,20.55,25.9619,25.6088,9.4379,11.2017,2.8754,3.0156,39581355000.0,2.4556,6.4727,5.0,7.0,10.2857,-4.9534,23.055377608142493,10.659392625604577,26.409757142857146,10.132376439540185,33.71477023374707,16.277380703316958
2003-01-28,20.6,25.7229,24.8684,9.4848,11.201,2.8824,3.0156,39677660000.0,2.4556,6.4645,5.0,7.0,10.2857,-4.9534,23.05997918781725,10.646214245125009,26.35591507936508,10.122314240647308,33.706193432942264,16.23360083871777
2003-01-29,20.57,25.7229,25.0506,9.471,11.2003,2.8782,3.0155,39619877000.0,2.4556,6.4645,5.0,7.0,10.2857,-4.9534,23.06501873417721,10.63316697124994,26.29424523809524,10.106268559025018,33.69818570542716,16.18797667907022
2003-01-30,20.41,25.7229,26.0309,9.3973,11.2003,2.8558,3.0155,39311701000.0,2.4556,6.4645,5.0,7.0,10.2857,-4.9534,23.07250833333333,10.620744536916266,26.287468253968253,10.106155681489604,33.693252870249594,16.18131257247865
2003-01-31,20.81,25.3644,21.8856,9.5815,11.2003,2.9118,3.0155,40082141000.0,2.4556,6.4645,5.0,6.0,10.3333,-4.9534,23.06951863979849,10.607493294084405,26.20498253968254,10.099275589792228,33.677011933882895,16.105706949890312
2003-02-03,20.84,25.3644,21.7102,9.5953,11.2017,2.916,3.0156,40139924000.0,2.4556,6.4645,5.0,6.0,10.3333,-4.9534,23.06610326633166,10.594344416136485,26.11954603174604,10.091338325075846,33.660447682468146,16.028207706670187
2003-02-04,20.71,25.3644,22.4742,9.5354,11.201,2.8978,3.0156,39889531000.0,2.4556,6.4645,5.0,6.0,10.3333,-4.9534,23.064619799498743,10.581068060013466,26.015126984126983,10.060153326651958,33.64568785951221,15.954973657475024
2003-02-05,20.21,25.3644,25.5042,9.3052,11.2003,2.8279,3.0155,38926481000.0,2.4556,6.4645,5.0,6.0,10.3333,-4.9534,23.07071875,10.568504206783258,25.974175396825395,10.05157595987964,33.63922295678326,15.922599436945756
2003-02-06,20.2,25.3644,25.5663,9.3006,11.2003,2.8265,3.0155,38907220000.0,2.4556,6.4645,5.0,6.0,10.3333,-4.9534,23.076942144638405,10.556020981072574,25.940257936507937,10.045635866634672,33.63296312571098,15.894622069873265
2003-02-07,19.96,25.5437,27.9744,9.191,11.2003,2.7929,3.0155,38444956000.0,2.4556,6.4642,5.0,6.0,10.3333,-4.9534,23.08912487562189,10.545679879227336,25.965441269841268,10.04673502990716,33.63480475484923,15.918706239934108
2003-02-10,20.21,25.5437,26.3914,9.2689,11.199,2.8279,3.0156,38926481000.0,2.4556,6.4775,5.0,6.0,10.3333,-4.9534,23.09731910669976,10.533839686278982,25.98221111111112,10.04565995564831,33.63115879297874,15.936551155462803
2003-02-11,19.93,25.5437,28.1671,9.1405,11.1975,2.7887,3.0156,38387173000.0,2.4556,6.4775,5.0,6.0,10.3333,-4.9534,23.10986806930693,10.523785422852766,25.998157936507933,10.047535562159355,33.6336534921597,15.950622374348576
2003-02-12,19.72,25.5437,29.5319,9.0442,11.196,2.7593,3.0155,37982692000.0,2.4556,6.4775,5.0,6.0,10.3333,-4.9534,23.12572493827161,10.515595995192298,26.0149,10.0516843998367,33.6413209334639,15.9632156001633
2003-02-13,19.87,25.5437,28.5541,9.113,11.196,2.7803,3.0155,38271607000.0,2.4556,6.4775,5.0,6.0,10.3333,-4.9534,23.139095320197043,10.506060492776506,26.05385952380952,10.051939402675934,33.64515581297355,16.001920121133587
2003-02-14,20.11,25.8126,28.357,9.2273,11.1935,2.8139,3.0155,38733871000.0,2.4556,6.4759,5.0,5.0,10.4,-4.9534,23.151915724815726,10.496301131292247,26.0980253968254,10.049718532010251,33.64821685610797,16.048306864815146
2003-02-18,20.41,25.8126,26.4704,9.365,11.1862,2.8558,3.0156,39311701000.0,2.4556,6.4759,5.0,5.0,10.4,-4.9534,23.160049264705883,10.484685725343097,26.128114285714283,10.04507502981808,33.644734990048974,16.083039255896203
2003-02-19,20.36,25.8126,26.7809,9.342,11.1861,2.8489,3.0156,39215396000.0,3.9988,9.8697,1.0,5.0,10.4,-4.9534,23.168902200489,10.473359393715162,26.18195238095238,10.030120866116954,33.64226159420416,16.15183151483543
2003-02-20,20.44,25.8126,26.2847,9.3787,11.1828,2.86,3.0156,39369484000.0,3.9988,9.8697,1.0,5.0,10.4,-4.9534,23.176501707317072,10.46167968034782,26.21520555555556,10.023405404801771,33.63818138766489,16.19180015075378
2003-02-21,20.73,25.8126,24.5181,9.5153,11.176,2.9006,3.0156,39928053000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.17976593673966,10.449123300368328,26.23220476190476,10.01865770715307,33.628889237107984,16.213547054751693
2003-02-24,20.24,25.8126,27.5326,9.2904,11.17,2.8321,3.0157,38984264000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.190331067961164,10.438606759317777,26.27446984126984,10.01277306948498,33.62893782727894,16.261696771784862
2003-02-25,20.31,25.8126,27.0931,9.3225,11.1681,2.8419,3.0156,39119091000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.199780871670704,10.427699387083228,26.29226111111112,10.01221582368239,33.627480258753934,16.280045287428724
2003-02-26,19.97,25.8126,29.2569,9.1664,11.1658,2.7943,3.0156,38464217000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.2144115942029,10.419320948574583,26.33416825396825,10.01349638341097,33.63373254277749,16.320671870557284
2003-02-27,20.5,25.8126,25.9151,9.4097,11.1554,2.8684,3.0156,39485050000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.22091927710844,10.407574001587324,26.334623015873014,10.013475877237958,33.62849327869576,16.321147138635055
2003-02-28,20.63,26.0441,26.2438,9.4694,11.1461,2.8866,3.0156,39735443000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.228185817307693,10.396083696562997,26.32376031746032,10.012820903006965,33.624269513870686,16.31093941445335
2003-03-03,20.43,26.0441,27.4797,9.3776,11.1385,2.8586,3.0157,39350223000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.23838129496403,10.38566792373515,26.33330634920636,10.013349219179355,33.62404921869918,16.319957130026996
2003-03-04,20.28,26.0441,28.4226,9.3117,11.1327,2.8377,3.0156,39061308000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.250783732057418,10.376306330405852,26.3583761904762,10.014604310373375,33.62709006246327,16.343771880102814
2003-03-05,20.46,26.0441,27.2928,9.3944,11.1289,2.8628,3.0156,39408006000.0,3.9988,9.8696,1.0,5.0,10.4,-4.9534,23.260430548926013,10.365768053761164,26.33140396825397,10.007415127069756,33.62619860268718,16.32398884118421
2003-03-06,19.98,26.0441,30.3509,9.204,11.1198,2.7957,3.0156,38483478000.0,3.9988,9.8698,1.0,5.0,10.4,-4.9534,23.277312619047617,10.35917020169763,26.349226984126982,10.012597929220291,33.63648282074524,16.336629054906695
2003-03-07,20.39,26.0441,27.7298,9.3929,11.1128,2.853,3.0156,39273179000.0,3.9988,9.8698,1.0,5.0,10.4,-4.9534,23.287888598574824,10.34910580444206,26.32979285714286,10.007481090945364,33.636994403016885,16.322311766197494
2003-03-10,19.81,26.0441,31.4695,9.1257,11.1067,2.7719,3.0157,38156041000.0,3.9988,9.8698,1.0,5.0,10.2,-4.9534,23.307276303317533,10.344477262710017,26.36089047619048,10.01738993051928,33.65175356602755,16.343500545671194
2003-03-11,18.95,26.0441,37.4359,8.7295,11.1067,2.6516,3.0156,36499595000.0,3.9988,9.8698,1.0,5.0,10.2,-4.9534,23.34067730496454,10.355025160043,26.44060238095238,10.065507145363055,33.69570246500754,16.375095235589324
2003-03-12,18.73,26.0441,39.0502,8.6282,11.1053,2.6208,3.0156,36075853000.0,3.9988,9.8698,1.0,5.0,10.2,-4.9534,23.377728066037736,10.370877744165872,26.517948412698413,10.12495923860822,33.74860581020361,16.392989174090193
2003-03-13,19.23,25.9619,35.0073,8.8585,11.0995,2.6907,3.0156,37038903000.0,3.9988,9.8702,1.0,5.0,10.2,-4.9534,23.405091764705883,10.37398985856304,26.56071746031746,10.149512603131896,33.77908162326892,16.411204857185563
2003-03-14,19.22,25.8798,34.6504,8.8755,11.0917,2.6893,3.0156,37019642000.0,3.9988,9.8716,1.0,5.0,10.2,-4.9534,23.43148920187793,10.376092239404777,26.575588095238096,10.160060008363024,33.80758144128271,16.41552808687507
2003-03-17,19.6,25.8798,32.0398,9.051,11.0827,2.7425,3.0156,37751560000.0,3.9988,9.8716,1.0,5.0,10.2,-4.9534,23.45164918032787,10.372275680521604,26.57287380952381,10.158542024705566,33.82392486084947,16.414331784818245
2003-03-18,19.7,25.5511,29.701,9.1056,11.0822,2.7565,3.0156,37944170000.0,3.9988,9.8723,1.0,5.0,10.2,-4.9534,23.46625046728972,10.364525939716602,26.540011904761908,10.141523251856086,33.830776407006326,16.398488652905822
2003-03-19,20.21,25.5511,26.428,9.3413,11.0808,2.8279,3.0155,38926481000.0,3.9988,9.8723,1.0,5.0,10.2,-4.9534,23.47315431235432,10.3533982907736,26.46385793650794,10.105704884908178,33.826552603127915,16.35815305159976
2003-03-20,20.39,25.5511,25.3119,9.4245,11.0777,2.853,3.0155,39273179000.0,3.9988,9.8723,1.0,5.0,10.2,-4.9534,23.47743046511628,10.34170450782904,26.371648412698413,10.0623528751857,33.81913497294532,16.30929553751271
2003-03-21,20.8,25.5511,22.8418,9.6141,11.0751,2.9104,3.0155,40062880000.0,3.9988,9.8731,1.0,5.0,10.2,-4.9534,23.47595568445476,10.329717645262406,26.23055873015873,9.98532119966722,33.805673329717166,16.245237530491508
2003-03-24,20.06,25.5511,27.3734,9.2862,11.0732,2.8069,3.0156,38637566000.0,3.9988,9.874,1.0,5.0,10.2,-4.9534,23.484977546296296,10.319431084838849,26.13013015873016,9.908788974063562,33.804408631135146,16.2213411846666
2003-03-25,20.36,25.5511,25.4966,9.4229,11.0723,2.8522,3.0156,39215396000.0,3.9958,9.8738,1.0,5.0,10.2,-4.9534,23.489623325635105,10.307933707401826,25.97921031746032,9.770417526159928,33.79755703303693,16.208792791300386
2003-03-26,20.07,25.5511,27.3099,9.2887,11.072,2.8115,3.0155,38656827000.0,3.9958,9.8738,1.0,5.0,10.2,-4.9534,23.49842580645161,10.297656825173007,25.812738888888887,9.56382752782148,33.79608263162462,16.248911361067407
2003-03-27,19.52,25.5511,30.897,9.0341,11.071,2.7345,3.0155,37597472000.0,3.9958,9.8738,1.0,5.0,10.2,-4.9534,23.515434022988504,10.291901517384444,25.69235,9.400927004969263,33.80733554037295,16.291422995030736
2003-03-28,19.5,25.7976,32.2954,9.019,11.0682,2.733,3.0155,37558950000.0,3.9957,9.8732,1.0,5.0,10.2,-4.9534,23.535571559633027,10.28866084756645,25.594512698412696,9.265508955587803,33.824232407199474,16.32900374282489
2003-03-31,18.72,25.7976,37.8077,8.6582,11.0621,2.6237,3.0156,36056592000.0,3.9957,9.8732,1.0,5.0,10.2,-4.9534,23.56823089244851,10.299508240442256,25.535996825396825,9.16354464136178,33.86773913289077,16.37245218403504
2003-04-01,19.03,25.7976,35.5628,8.8016,11.0621,2.6671,3.0156,36653683000.0,3.9957,9.8732,1.0,5.0,10.2,-4.9534,23.595615753424656,10.303668953556691,25.47035634920635,9.060469774165115,33.89928470698135,16.409886575041234
2003-04-02,19.52,25.7976,32.1598,9.0283,11.0621,2.7358,3.0155,37597472000.0,3.9957,9.8732,1.0,5.0,10.2,-4.9534,23.61512414578588,10.300013600492422,25.43002857142857,9.01887239018146,33.9151377462783,16.411156181247108
2003-04-03,19.22,25.7976,34.2227,8.8895,11.0601,2.6938,3.0155,37019642000.0,3.9957,9.8734,1.0,5.0,10.2,-4.9534,23.63923227272727,10.300696357392644,25.406073015873016,8.991215603647058,33.939928630119915,16.414857412225956
2003-04-04,19.36,25.7976,33.2521,8.9543,11.0544,2.7134,3.0155,37289296000.0,3.9957,9.8734,1.0,5.0,10.2,-4.9534,23.66103015873016,10.299162072830452,25.271329365079364,8.739931274183515,33.96019223156061,16.53139809089585
2003-04-07,19.43,25.7976,32.772,8.9866,11.0442,2.7232,3.0156,37424123000.0,3.9957,9.8734,1.0,5.0,10.2,-4.9534,23.681643212669684,10.296602185258092,25.112935714285715,8.413057523288103,33.97824539792778,16.699878190997612
2003-04-08,19.43,25.7976,32.772,9.0004,11.0304,2.7693,3.0156,37424123000.0,3.0063,9.5703,2.0,6.0,10.4383,-4.9534,23.70216320541761,10.294012158820813,24.91147936507937,7.904013489455281,33.996175364238425,17.007465875624085
2003-04-09,19.04,25.7976,35.4916,8.8197,11.0108,2.7138,3.0156,36672944000.0,3.0063,9.5703,2.0,6.0,10.4383,-4.9534,23.72871599099099,10.297598082125036,24.77911349206349,7.576753607917888,34.026314073116026,17.2023598841456
2003-04-10,19.33,25.7976,33.4589,8.954,11.0028,2.7551,3.0156,37231513000.0,3.0063,9.5703,2.0,6.0,10.4383,-4.9534,23.750581573033703,10.29633198685938,24.56352063492064,6.905391731049803,34.046913559893085,17.658128903870832
2003-04-11,19.66,25.7976,31.2187,9.1069,10.9942,2.8021,3.0156,37867126000.0,3.0063,9.5703,2.0,6.0,10.4383,-4.9534,23.76732623318386,10.290834211286596,24.41205634920635,6.535701381372893,34.05816044447046,17.876354967833457
