date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-09-21,94.74,121.4,28.1402,30.0762,32.4911,2.0578,2.3574,1299832800.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-09-22,95.33,121.4,27.3471,30.2635,32.4911,2.0706,2.3574,1307927600.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-09-25,96.92,121.4,25.2579,30.7683,32.515,2.1052,2.3586,1329742400.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-09-26,94.39,121.4,28.6153,29.9651,32.5009,2.0502,2.3575,1295030800.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-09-27,94.05,121.4,29.0803,29.8571,32.4911,2.0428,2.3574,1290366000.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-09-28,94.54,121.4,28.4113,30.0127,32.4217,2.0535,2.3486,1297088800.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-09-29,91.73,121.4,32.3449,29.1206,32.3359,1.9924,2.3396,1258535600.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-10-02,92.16,121.4,31.7274,29.2571,32.3359,2.0018,2.3358,1264435200.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-10-03,90.91,121.4,33.5387,28.8603,32.3293,1.9746,2.3341,1247285200.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-10-04,90.87,121.4,33.5974,28.8476,32.3172,1.9737,2.333,1246736400.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-10-05,90.6,121.4,33.9956,28.7619,32.295,1.9679,2.3316,1243032000.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-10-06,91.86,121.4,32.1576,29.1619,32.258,1.9952,2.3306,1260319200.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
2023-10-09,90.11,121.4,34.7242,28.6063,32.1461,1.9572,2.3269,1236309200.0,6.5713,-1.233,3.0,1.0,7.6144,111.3795
