date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-10-27,131.24,128.8571,-1.8157,21.3983,17.0389,1.7517,1.2463,3670126600.0,6.6028,12.1378,4.0,1.0,9.2415,4.7341
2017-10-30,130.65,128.8571,-1.3723,21.3021,17.032,1.7438,1.2462,3653627250.0,6.6028,12.1378,4.0,1.0,9.2415,4.7341
2017-10-31,131.62,128.8571,-2.0991,21.4602,17.0354,1.7567,1.2462,3680753300.0,6.6028,12.1378,4.0,1.0,9.2415,4.7341
2017-11-01,131.27,130.0,-0.9675,21.3284,17.0389,1.7494,1.2463,3670965550.0,6.6036,12.1451,4.0,1.0,9.2415,4.7341
2017-11-02,136.69,136.0,-0.5048,22.0621,17.0389,1.8069,1.2463,3788089970.0,6.6139,12.5616,4.0,2.0,9.1208,4.7341
2017-11-03,141.85,141.5,-0.2467,23.1584,17.0389,1.8782,1.2463,3931089050.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-06,142.12,141.5,-0.4363,23.2025,17.032,1.8818,1.2462,3938571560.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-07,140.75,141.5,0.5329,22.9788,17.0354,1.8636,1.2462,3900604750.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-08,138.04,141.5,2.5065,22.5364,17.0389,1.8277,1.2463,3825502520.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-09,133.6,141.5,5.9132,21.8115,17.0389,1.769,1.2463,3702456800.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-10,132.37,141.5,6.8973,21.6107,17.0389,1.7527,1.2463,3668369810.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-13,133.18,141.5,6.2472,21.743,17.032,1.7634,1.2462,3690817340.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-14,133.45,141.5,6.0322,21.787,17.0354,1.767,1.2462,3698299850.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-15,134.21,141.5,5.4318,21.9111,17.0389,1.777,1.2463,3719361730.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-16,135.82,141.5,4.182,22.174,17.0389,1.7983,1.2463,3763979660.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-17,135.06,141.5,4.7683,22.0499,17.0389,1.7883,1.2463,3742917780.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-20,134.51,141.5,5.1966,21.9601,17.0354,1.781,1.2462,3727675630.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-21,135.45,141.5,4.4666,22.1136,17.0389,1.7934,1.2463,3753725850.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-22,134.04,141.5,5.5655,21.8834,17.0404,1.7748,1.2464,3714650520.0,6.6102,12.5419,4.0,2.0,9.7583,3.8892
2017-11-24,133.89,141.5,5.6838,21.8589,17.0389,1.763,1.2463,3710493570.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-11-27,133.25,141.5,6.1914,21.7544,17.0354,1.7546,1.2462,3692757250.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-11-28,134.18,141.5,5.4554,21.9062,17.0354,1.7668,1.2463,3718530340.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-11-29,134.25,141.5,5.4004,21.9177,17.0354,1.7678,1.2464,3720470250.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-11-30,134.25,141.5,5.4004,21.9177,17.0354,1.7678,1.2464,3720470250.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-01,132.98,141.5,6.407,21.7103,17.0354,1.751,1.2464,3685274740.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-04,132.7,141.5,6.6315,21.6646,17.0244,1.7474,1.2462,3677515100.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-05,133.16,141.5,6.2631,21.7397,17.0244,1.7534,1.2462,3690263080.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-06,133.24,141.5,6.1993,21.7528,17.032,1.7545,1.2463,3692480120.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-07,134.42,141.5,5.2671,21.9454,17.032,1.77,1.2463,3725181460.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-08,135.07,141.5,4.7605,22.0515,17.032,1.7786,1.2463,3743194910.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-11,133.71,141.5,5.826,21.8295,17.0168,1.7607,1.2462,3705505230.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-12,131.51,141.5,7.5964,21.4703,17.0244,1.7317,1.2462,3644536630.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-13,132.56,141.5,6.7441,21.6417,17.032,1.7455,1.2463,3673635280.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-14,129.41,141.5,9.3424,21.1275,17.0354,1.704,1.2464,3586339330.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-15,131.6,141.5,7.5228,21.485,17.0354,1.7329,1.2464,3647030800.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
2017-12-18,134.76,141.5,5.0015,22.0009,17.0244,1.7745,1.2462,3734603880.0,6.8047,12.5419,4.0,2.0,9.7583,3.8892
