date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-05-26,378.75,663.6534,75.222,7.2186,8.0482,0.0775,0.0775,996279150.0,18.1925,34.6881,8.0,1.0,34.7629,9.3737
2010-05-27,401.5,650.1663,61.9343,7.8616,8.0424,0.0835,0.0805,1056121660.0,17.258,32.9331,10.0,1.0,34.7629,9.1257
2010-05-28,388.75,647.6663,66.6023,7.6808,8.0366,0.0809,0.0809,1022583550.0,17.2327,32.5852,11.0,1.0,34.7629,9.1257
2010-06-01,385.0,642.6663,66.9263,7.4975,7.9908,0.0799,0.0804,1012719400.0,17.405,32.7143,11.0,1.0,34.7629,9.1257
2010-06-02,402.25,647.6663,61.0109,7.8334,7.9449,0.0834,0.0809,1058094490.0,17.405,32.7143,11.0,1.0,34.7629,9.1257
2010-06-03,400.75,647.6663,61.6135,7.8042,7.9392,0.0831,0.082,1054148830.0,17.405,32.7143,11.0,1.0,34.7629,9.1257
2010-06-04,388.25,647.6663,66.8168,7.5608,7.9336,0.0805,0.0809,1021268330.0,17.405,32.7143,11.0,1.0,34.7629,9.1257
2010-06-07,379.5,647.6663,70.6631,7.3904,7.8976,0.0787,0.0807,998251980.0,17.405,32.7143,11.0,1.0,34.7629,9.1257
2010-06-08,374.5,639.9996,70.8944,7.3353,7.8616,0.0777,0.0805,985099780.0,17.2835,32.5229,12.0,1.0,34.7629,9.1257
2010-06-09,378.5,630.2938,66.5241,7.4876,7.8475,0.0789,0.0802,995621540.0,16.9742,31.6677,13.0,1.0,34.7629,9.1257
2010-06-10,395.5,627.3526,58.6227,7.8446,7.8446,0.0825,0.0805,1040339020.0,16.9665,31.5735,13.0,1.0,34.7629,9.1531
2010-06-11,398.25,627.3526,57.5273,7.8992,7.8531,0.0831,0.0807,1047572730.0,16.9665,31.5735,13.0,1.0,34.7629,9.1531
2010-06-14,400.75,627.3526,56.5446,7.9488,7.8616,0.0836,0.0809,1054148830.0,16.9665,31.5735,13.0,1.0,34.7629,9.1531
2010-06-15,424.75,627.3526,47.6993,8.4216,7.8804,0.0886,0.0817,1117279390.0,16.9665,31.5738,13.0,1.0,34.7629,9.1531
2010-06-16,426.5,627.3526,47.0932,8.4563,7.8992,0.0889,0.0825,1121882660.0,16.9665,31.5738,13.0,1.0,34.7629,9.1531
2010-06-17,417.75,627.3526,50.1742,8.2828,7.9164,0.0871,0.0828,1098866310.0,16.9665,31.5738,13.0,1.0,34.7629,9.1531
