date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2019-08-13,13.63,31.0852,128.0646,15.6128,15.6404,2.5072,0.9937,691204560.0,37.4196,243.6169,3.0,1.0,20.0,-102.8406
2019-08-14,13.44,31.1931,132.0915,15.3635,15.6404,2.4655,0.995,681569280.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-15,12.12,31.1931,157.3688,13.8546,15.6404,2.2233,0.9976,614629440.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-16,12.73,31.1931,145.0361,14.5519,15.6404,2.3352,1.0014,645563760.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-19,12.83,31.1931,143.1263,14.6662,15.6404,2.3536,1.0046,650634960.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-20,12.33,31.1931,152.9854,14.0947,15.6404,2.2618,1.0052,625278960.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-21,12.13,31.1931,157.1566,13.866,15.6404,2.2252,1.0059,615136560.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-22,11.75,31.1931,165.4732,13.4316,15.6404,2.1554,1.0067,595866000.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-23,10.97,31.1931,184.3491,12.54,15.6404,2.0124,1.008,556310640.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-26,10.82,31.1931,188.2911,12.3685,15.6404,1.9848,1.017,548703840.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-27,10.3,31.1931,202.8456,11.7741,15.6404,1.8895,1.0173,522333600.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-28,10.52,31.1931,196.5124,12.0256,15.6404,1.9298,1.0184,533490240.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-29,10.5,31.1931,197.0771,12.0027,15.6404,1.9261,1.0194,532476000.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-08-30,10.5,31.1931,197.0771,12.0027,15.6404,1.9261,1.0196,532476000.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-09-03,10.8,31.1931,188.825,12.3457,15.6404,1.9812,1.0199,547689600.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
2019-09-04,11.53,31.1931,170.5386,13.1802,15.6404,2.1151,1.0199,584709360.0,37.5455,243.918,3.0,1.0,20.0,-102.8406
