date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2015-03-27,38.5,47.5,23.3766,7.4757,7.4757,0.614,0.614,211750000.0,-2.0148,5.4122,2.0,1.0,38.6,-45.2,25.799146666666665,8.726145557608623,27.71001349206349,8.15358024051131,34.52529222427529,19.556433251552185
2015-03-30,37.63,47.5,26.2291,7.3068,7.3912,0.6002,0.6071,206965000.0,-2.0148,5.4122,2.0,1.0,38.6,-45.2,25.8019940397351,8.69708014727726,27.80995555555556,8.056290367126104,34.49907418701236,19.75366518842945
2015-03-31,36.88,48.75,32.1855,7.8597,7.4757,0.5882,0.6002,202840000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,25.843990789473683,8.683683994462038,27.97527380952381,7.928644880342954,34.52767478393572,20.04662892918085
2015-04-01,37.13,48.75,31.2954,7.913,7.6677,0.5922,0.5962,204215000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,25.87962091503268,8.66628568568308,28.114801587301585,7.829757704276513,34.54590660071576,20.28504388302507
2015-04-02,35.7,48.75,36.5546,7.6082,7.6082,0.5694,0.5922,196350000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,25.94893896103896,8.680644972734175,28.28128095238095,7.783937252364914,34.629583933773134,20.497343700016035
2015-04-06,37.03,48.75,31.65,7.8917,7.734,0.5906,0.5914,203665000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,25.98572,8.664524165728519,28.41012142857143,7.703222025761499,34.65024416572852,20.70689940280993
2015-04-07,35.88,48.75,35.8696,7.6466,7.6466,0.5722,0.5906,197340000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.049078205128204,8.672707516298694,28.58595238095238,7.617481212576388,34.7217857214269,20.96847116837599
2015-04-08,34.55,48.75,41.0999,7.3631,7.6274,0.551,0.5894,190025000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.14494331210191,8.727917929480837,28.772780952380955,7.63354214848875,34.87286124158275,21.139238803892205
2015-04-09,35.15,48.75,38.6913,7.491,7.6082,0.5606,0.5882,193325000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.224350632911392,8.75714696633735,28.9322007936508,7.629232996882407,34.98149759924874,21.302967796768385
2015-04-10,35.1,48.75,38.8889,7.4803,7.5496,0.5598,0.5802,193050000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.30400188679245,8.786979317404251,29.12423809523809,7.572244624995754,35.0909812041967,21.55199347024234
2015-04-13,34.92,48.75,39.6048,7.442,7.491,0.5569,0.5722,192060000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.387131875,8.822193429440429,29.32259126984127,7.5161956182315475,35.209325304440426,21.80639565160972
2015-04-14,33.13,48.75,47.1476,7.0605,7.4856,0.5284,0.5708,182215000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.51607888198758,8.945482255260263,29.57911507936508,7.568844767451022,35.46156113724784,22.010270311914056
2015-04-15,34.95,48.75,39.485,7.4484,7.4803,0.5574,0.5694,192225000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.596133950617283,8.975681130147306,29.76842222222222,7.51533036289837,35.57181508076459,22.25309185932385
2015-04-16,33.75,48.75,44.4444,7.1926,7.478,0.5383,0.565,185625000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.705632515337424,9.056484401312696,29.999875396825395,7.514669136729158,35.76211691665012,22.48520626009624
2015-04-17,30.95,48.75,57.5121,6.5959,7.4757,0.4936,0.5606,170225000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,26.89347682926829,9.343636328024548,30.3301,7.799110003573479,36.23711315729284,22.53098999642652
2015-04-20,30.65,48.75,59.0538,6.532,7.462,0.4888,0.5602,168575000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.08838787878788,9.645703889036517,30.64360555555556,8.148504776345707,36.7340917678244,22.49510077920985
2015-04-21,32.2,48.75,51.3975,6.8623,7.4484,0.5135,0.5598,177100000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.23482831325301,9.799773674454263,30.90023650793651,8.288815847138626,37.03460198770728,22.611420660797883
2015-04-22,32.42,48.75,50.3701,6.9092,7.4452,0.517,0.5586,178310000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.37336287425149,9.932878297997526,31.1550507936508,8.390120749049997,37.306241172249024,22.7649300446008
2015-04-23,32.6,48.75,49.5399,6.9476,7.442,0.5199,0.5574,179300000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.50530654761905,10.049677346613407,31.40260158730159,8.469020842689984,37.55498389423245,22.933580744611604
2015-04-24,32.5,48.75,50.0,6.9262,7.4026,0.5183,0.5572,178750000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.63841124260355,10.168038027426642,31.643101587301587,8.563687757941514,37.80644927003019,23.07941382936007
2015-04-27,31.38,48.75,55.3537,6.6876,7.3631,0.5005,0.5569,172590000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.801442352941176,10.358362921412184,31.965811904761903,8.685081935748046,38.15980527435336,23.28072996901385
2015-04-28,30.38,48.75,60.4674,6.4744,7.335,0.4845,0.5539,167090000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,27.99247134502924,10.625661217241298,32.282426984126985,8.988332442569417,38.61813256227053,23.29409454155757
2015-04-29,31.6,48.75,54.2722,6.7344,7.3068,0.504,0.551,173800000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,28.14526046511628,10.782377829401623,32.53684682539683,9.153277958167212,38.92763829451791,23.383568867229616
2015-04-30,31.25,48.75,56.0,6.6598,7.2497,0.4984,0.5447,171875000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,28.306270520231216,10.957583514631056,32.80377698412698,9.34277224874212,39.26385403486227,23.46100473538486
2015-05-01,31.8,48.75,53.3019,6.7771,7.1926,0.5072,0.5383,174900000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,28.449923563218388,11.088971834895528,33.05001507936508,9.471059595091283,39.53889539811392,23.5789554842738
2015-05-04,31.6,48.75,54.2722,6.7344,7.1266,0.504,0.5334,173800000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,28.59747942857143,11.228037566495397,33.294,9.618678899965412,39.82551699506683,23.675321100034584
2015-05-05,31.3,48.75,55.7508,6.6705,7.0605,0.4992,0.5284,172150000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,28.751759659090908,11.381461015670196,33.5625492063492,9.769577424415,40.13322067476111,23.7929717819342
2015-05-06,31.42,48.75,55.156,6.6961,7.004,0.5011,0.5242,172810000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,28.90093615819209,11.521307980613123,33.80563571428572,9.92281116778074,40.42224413880521,23.88282454650498
2015-05-07,31.17,48.75,56.4004,6.6428,6.9476,0.4971,0.5199,171435000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,29.05542752808989,11.672147226817016,34.04289841269841,10.102636552274724,40.7275747549069,23.94026186042369
2015-05-08,30.92,48.75,57.6649,6.5895,6.9369,0.4931,0.5191,170060000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,29.215256983240224,11.834114648930775,34.30589682539683,10.282661723183825,41.049371632171,24.023235102213008
2015-05-11,30.17,48.75,61.5844,6.4297,6.9262,0.4812,0.5183,165935000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,29.39508555555556,12.045114565906948,34.640634126984125,10.47842653835517,41.4402001214625,24.16220758862896
2015-05-12,30.3,48.75,60.8911,6.4574,6.9177,0.4832,0.5176,166650000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,29.56909668508288,12.237622946148493,34.97669523809524,10.63599268257632,41.80671963123137,24.34070255551892
2015-05-13,32.33,48.75,50.7887,6.89,6.9092,0.1125,0.517,38796000.0,4.6855,0.79,1.0,1.0,38.6,-7.7083,29.68568791208791,12.304715960728949,35.213683333333336,10.653121696890535,41.990403872816856,24.5605616364428
2015-05-14,32.08,48.75,51.9638,6.7182,6.8996,0.1113,0.5152,38496000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,29.807426229508195,12.380881772498396,35.44689285714285,10.695873524743478,42.18830800200659,24.751019332399373
2015-05-15,32.58,48.75,49.6317,6.8229,6.89,0.113,0.5135,39096000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,29.91516684782609,12.43320084641343,35.69584682539683,10.657708696673488,42.34836769423951,25.03813812872334
2015-05-18,33.55,48.75,45.3055,7.026,6.8996,0.1164,0.5104,40260000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,29.99835783783784,12.450891023434902,35.91475873015873,10.568486718695494,42.44924886127274,25.346272011463235
2015-05-19,33.3,48.75,46.3964,6.9737,6.9092,0.1155,0.5072,39960000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,30.08651935483871,12.47527123022708,36.13588492063492,10.493138464646824,42.56179058506579,25.642746455988096
2015-05-20,33.53,48.75,45.3922,7.0218,6.9177,0.1163,0.5056,40236000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,30.168367914438505,12.49193367299356,36.41777222222222,10.25641111367627,42.66030158743207,26.161361108545947
2015-05-21,34.1,48.75,42.9619,7.1412,6.9262,0.1183,0.504,40920000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,30.23641861702128,12.493379537903296,36.66207698412698,10.038747968842824,42.72979815492457,26.62332901528416
2015-05-22,34.38,48.75,41.7976,7.1998,6.9369,0.1192,0.504,41256000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,30.29758888888889,12.488454508568651,36.87371190476191,9.860720581552702,42.78604339745754,27.012991323209203
2015-05-26,35.13,48.75,38.7703,7.3569,6.9476,0.1218,0.504,42156000.0,5.1252,2.4436,1.0,1.0,38.6,-7.7083,30.34218210526316,12.47053039577096,37.02613333333333,9.73871099959332,42.81271250103412,27.28742233374001
