date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2019-04-08,24.66,30.25,22.6683,11.0129,14.1427,2.0921,1.6226,2637890433.9,8.4615,8.8977,4.0,1.0,5.0,4.772,8.011723412698412,10.897200294080656,14.01105238095238,7.029050604737026,18.90892370677907,6.982001776215355
2019-04-09,25.14,30.125,19.829,11.2584,14.1397,2.136,1.6228,2689236233.1,8.4708,8.9694,4.0,1.0,5.0,4.772,8.021999801587302,10.9059111878976,14.117933333333331,7.01418288719646,18.927910989484904,7.103750446136873
2019-04-10,25.19,30.125,19.5911,11.2808,14.1367,2.1402,1.6229,2694584753.85,8.4708,8.9694,4.0,1.0,5.0,4.772,8.030346031746031,10.913164137908788,14.221420634920634,6.9978302071806855,18.94351016965481,7.223590427739948
2019-04-11,24.63,29.875,21.2952,11.1046,14.1367,2.0941,1.6239,2634681321.45,8.4337,9.2256,4.0,1.0,5.0,4.772,8.041337301587301,10.923744644442012,14.310373809523808,7.016068530100619,18.965081946029315,7.294305279423189
2019-04-12,24.67,29.875,21.0985,11.1543,14.1367,2.0994,1.6241,2638960138.05,8.3659,9.1338,4.0,1.0,5.0,4.772,8.045874206349207,10.928700539043822,14.428830952380952,7.003567282823374,18.974574745393028,7.425263669557578
2019-04-15,24.15,29.375,21.6356,10.9296,14.1427,1.984,1.6275,2583335522.25,11.3313,10.3237,4.0,1.0,5.0,10.5769,8.054548412698413,10.9377626447787,14.56590793650794,6.973958111782449,18.99231105747711,7.59194982472549
2019-04-16,24.42,29.375,20.2907,11.0518,14.1397,2.0062,1.6275,2612217534.3,11.3313,10.3237,4.0,1.0,5.0,10.5769,8.064282738095239,10.946478848112143,14.696988888888889,6.9245449050775365,19.010761586207384,7.772443983811352
2019-04-17,24.45,29.125,19.1207,11.1152,14.1367,2.0086,1.6276,2615426646.75,11.3313,9.555,4.0,1.0,5.0,10.5769,8.069472817460317,10.951107912604735,14.8023626984127,6.889675135664756,19.020580730065053,7.9126875627479425
2019-04-18,25.22,29.125,15.4837,11.4652,14.1367,2.0719,1.6286,2697793866.3,11.3313,9.555,4.0,1.0,5.0,10.5769,8.070920436507937,10.952041488232192,14.850396031746032,6.873008238859011,19.02296192474013,7.977387792887022
2019-04-22,25.29,29.125,15.1641,11.497,14.144,2.0776,1.6354,2705281795.35,11.3313,9.555,4.0,1.0,5.0,10.5769,8.067164880952381,10.949278168002444,14.896687301587304,6.855158274653999,19.016443048954827,8.041529026933304
2019-04-23,24.93,29.125,16.8271,11.3334,14.1427,2.0481,1.6389,2666772445.95,11.3313,9.555,4.0,1.0,5.0,10.5769,8.083867261904762,10.956219147710748,14.97936746031746,6.814678558333652,19.040086409615512,8.164688901983808
2019-04-24,25.12,29.125,15.9435,11.4197,14.1397,2.0637,1.6399,2687096824.8,11.3313,9.555,4.0,1.0,5.0,10.5769,8.092424801587303,10.960678275537552,15.06617142857143,6.756032304835204,19.05310307712485,8.310139123736226
2019-04-25,24.93,29.125,16.8271,11.3334,14.1367,2.0481,1.6409,2666772445.95,11.3313,9.555,4.0,1.0,5.0,10.5769,8.099940674603175,10.965374748702182,15.13895634920635,6.724892417060596,19.06531542330536,8.414063932145755
2019-04-26,24.74,29.125,17.7243,11.247,14.1367,2.0324,1.6416,2646448067.1,11.3313,9.555,4.0,1.0,5.0,10.5769,8.112719246031746,10.972842711412127,15.242814285714283,6.66218058907097,19.085561957443872,8.580633696643314
2019-04-29,24.8,29.125,17.4395,11.2743,14.1427,2.0374,1.6518,2652866292.0,11.3313,9.555,4.0,1.0,5.0,10.5769,8.12002619047619,10.97783368441934,15.32846984126984,6.620025688618052,19.09785987489553,8.70844415265179
2019-04-30,24.58,29.125,18.4906,11.1743,14.1397,2.0193,1.6539,2629332800.7,11.3313,9.555,4.0,1.0,5.0,10.5769,8.128699801587302,10.984308046182036,15.435855555555555,6.559959403466506,19.11300784776934,8.87589615208905
2019-05-01,24.36,29.125,19.5608,11.0742,14.1367,2.0012,1.656,2605799309.4,11.3313,9.555,4.0,1.0,5.0,10.5769,8.135085912698413,10.990026878872944,15.553196031746031,6.499710189790302,19.12511279157136,9.05348584195573
2019-05-02,24.0,29.125,21.3542,10.9106,14.1367,1.9717,1.656,2567289960.0,11.3313,9.555,4.0,1.0,5.0,10.5769,8.142759722222221,10.99791702254278,15.688762698412695,6.440414715127996,19.140676744765003,9.248347983284702
2019-05-03,23.24,28.0,20.4819,10.8578,14.1367,1.9088,1.6607,2494112430.88,10.9078,8.8801,4.0,1.0,5.0,10.5769,8.150973412698411,11.005596038479435,15.846003174603174,6.3113556923366,19.156569451177845,9.534647482266577
2019-05-06,24.1,27.75,15.1452,11.3722,14.1427,2.0157,1.6616,2586407469.2,9.433,8.1965,4.0,1.0,5.0,10.5769,8.148598412698412,11.00395389659404,15.960551587301588,6.163735325592529,19.152552309292453,9.796816261709058
