date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2011-03-01,31.02,36.4286,17.4358,17.2238,19.6654,3.8583,4.4479,5564818351.62,11.0786,12.2814,2.0,4.0,16.0,11.5546,9.252758282208587,4.40917409892414,8.750227777777779,5.163486847635254,13.66193238113273,3.5867409301425246
2011-03-02,31.31,36.125,15.3785,17.3645,19.6424,3.9012,4.4462,5616842765.61,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.27149143730887,4.415420285623948,8.743523809523811,5.154246846388772,13.686911722932816,3.589276963135039
2011-03-03,31.3,36.125,15.4153,17.359,19.6194,3.9,4.444,5615048820.3,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.29022256097561,4.421696070103663,8.747600793650793,5.159357456125655,13.711918631079277,3.588243337525138
2011-03-04,31.17,36.125,15.8967,17.2869,19.5921,3.8838,4.4417,5591727531.27,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.310303039513675,4.429949147535085,8.762892063492062,5.177781667325935,13.740252187048762,3.585110396166128
2011-03-07,31.95,36.125,13.0673,17.7195,19.5648,3.981,4.4411,5731655265.45,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.32168787878788,4.428043978301662,8.748658730158729,5.1633299443714815,13.74973185708954,3.585328785787248
2011-03-08,32.3,36.125,11.8421,17.9136,19.555,4.0246,4.4405,5794443351.3,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.329302416918429,4.423499560151534,8.715211904761905,5.129149914574263,13.752801977069964,3.586061990187641
2011-03-09,32.41,36.125,11.4625,17.9746,19.5451,4.0382,4.4403,5814176749.71,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.335727710843374,4.418363828847012,8.66872619047619,5.076818260401745,13.754091539690386,3.591907930074446
2011-03-10,32.01,36.125,12.8554,17.7528,19.5356,3.9884,4.44,5742418937.31,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.346297297297298,4.415918860640188,8.628010317460317,5.0217731335269145,13.762216157937486,3.606237183933403
2011-03-11,32.2,36.125,12.1894,17.8581,19.5262,4.0121,4.4399,5776503898.2,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.354809580838324,4.41202687008708,8.596989682539682,4.987213393418486,13.766836450925403,3.609776289121197
2011-03-14,31.76,36.125,13.7437,17.6141,19.5258,3.9572,4.4399,5697570304.56,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.367910746268658,4.41193827033668,8.583240476190475,4.970456581155156,13.779849016605338,3.61278389503532
2011-03-15,31.73,36.125,13.8512,17.5975,19.5253,3.9535,4.4392,5692188468.63,11.0832,12.2816,2.0,5.0,15.1,11.5546,9.38125386904762,4.41213273912815,8.564746031746033,4.946234592328204,13.79338660817577,3.618511439417829
2011-03-16,31.23,36.125,15.674,17.2275,19.5068,3.8983,4.4384,5602491203.13,11.088,12.2896,2.0,5.0,15.1,11.5546,9.399926706231453,4.418877853447571,8.577998412698413,4.963133110429085,13.818804559679023,3.614865302269328
2011-03-17,30.97,36.125,16.6451,17.0841,19.4882,3.8658,4.4378,5555848625.07,11.088,12.2896,2.0,5.0,15.1,11.5546,9.421362130177515,4.429880671445908,8.580107936507936,4.966530817246233,13.851242801623425,3.613577119261703
2011-03-18,31.62,36.125,14.2473,17.4426,19.4849,3.947,4.4372,5672455070.22,11.088,12.2896,2.0,5.0,15.1,11.5546,9.435597935103244,4.431081715219026,8.56846507936508,4.951368969686143,13.86667965032227,3.617096109678936
2011-03-21,31.91,36.125,13.209,17.6026,19.4816,3.9832,4.4365,5724479484.21,11.088,12.2896,2.0,5.0,15.1,11.5546,9.446696176470589,4.429271323653577,8.55477142857143,4.935984314527061,13.875967500124164,3.618787114044369
2011-03-22,31.71,36.125,13.9231,17.4923,19.4812,3.9582,4.4358,5688600578.01,11.088,12.2896,2.0,5.0,15.1,11.5546,9.459823460410558,4.429391174341045,8.540883333333333,4.918225789883994,13.889214634751603,3.622657543449339
2011-03-23,31.95,36.125,13.0673,17.6247,19.4809,3.9882,4.4342,5731655265.45,11.088,12.2896,2.0,5.0,15.1,11.5546,9.4703716374269,4.427191352056846,8.532248412698413,4.909236595296411,13.897562989483747,3.623011817402002
2011-03-24,32.49,36.125,11.1881,17.9226,19.4678,4.0556,4.4326,5828528312.19,11.088,12.2896,2.0,5.0,15.1,11.5546,9.475379591836736,4.42168695901241,8.503579365079366,4.882815381073796,13.897066550849145,3.6207639840055705
2011-03-25,32.4,36.125,11.4969,17.8729,19.4546,4.0443,4.4304,5812382804.4,11.088,12.2896,2.0,5.0,15.1,11.5546,9.481256104651164,4.4165817250531445,8.479928571428571,4.86081860213454,13.897837829704308,3.619109969294032
2011-03-28,32.22,36.125,12.1198,17.7736,19.4506,4.0219,4.4282,5780091788.82,11.088,12.2896,2.0,5.0,15.1,11.5546,9.488904057971014,4.41244484859608,8.433179365079365,4.796325180257363,13.901348906567094,3.6368541848220017
2011-03-29,32.71,36.125,10.4402,18.0439,19.4465,4.083,4.428,5867995109.01,11.088,12.2896,2.0,5.0,15.1,11.5546,9.491653468208092,4.406342158746238,8.363132539682539,4.700340107197854,13.89799562695433,3.662792432484685
2011-03-30,32.77,35.8571,9.4205,18.117,19.4465,4.0906,4.4278,5878758780.87,11.088,12.2861,2.0,5.0,15.1,11.5546,9.49144841498559,4.399971662778768,8.306050793650794,4.642671734348596,13.89142007776436,3.6633790593021978
2011-03-31,32.76,35.8571,9.4539,18.1115,19.4465,4.0893,4.4272,5876964835.56,11.088,12.2861,2.0,5.0,15.1,11.5546,9.49134051724138,4.393627532697437,8.253859523809524,4.591831926857582,13.884968049938816,3.6620275969519422
2011-04-01,33.3,35.8571,7.679,18.4508,19.4366,4.1567,4.4266,5973837882.3,11.088,12.2826,2.0,5.0,15.1,11.5546,9.486147564469912,4.388382747327478,8.197661904761906,4.554750510521645,13.874530311797391,3.6429113942402616
2011-04-04,33.13,35.8571,8.2315,18.3566,19.4267,4.1355,4.4266,5943340812.03,11.088,12.2826,2.0,5.0,15.1,11.5546,9.482562857142858,4.382604299174599,8.138065079365079,4.504109433365361,13.865167156317456,3.633955645999718
2011-04-05,33.46,35.8571,7.1641,18.5395,19.4261,4.1767,4.4266,6002541007.26,11.088,12.2826,2.0,5.0,15.1,11.5546,9.475957549857547,4.378088262021447,8.057395238095237,4.428579706296048,13.854045811878995,3.62881553179919
2011-04-06,33.45,35.8571,7.1961,18.5339,19.4255,4.1755,4.4264,6000747061.95,11.088,12.2826,2.0,5.0,15.1,11.5546,9.46948068181818,4.373535692964154,7.984316666666666,4.365265531566212,13.843016374782335,3.619051135100454
2011-04-07,33.0,35.8571,8.6579,18.2846,19.424,4.1193,4.4263,5920019523.0,11.088,12.2826,2.0,5.0,15.1,11.5546,9.467181586402267,4.367532481513417,7.913480952380953,4.27983721035676,13.834714067915684,3.633643742024193
2011-04-08,32.61,35.8571,9.9574,18.0685,19.4226,4.0706,4.4263,5850055655.91,11.088,12.2826,2.0,5.0,15.1,11.5546,9.468566384180791,4.361419612940443,7.860231746031746,4.21124737710149,13.829985997121234,3.648984368930257
2011-04-11,32.54,35.8571,10.1939,18.0297,19.4172,4.0619,4.4263,5837498038.74,11.088,12.2826,2.0,5.0,15.1,11.5546,9.470609577464788,4.355425194765276,7.8140865079365085,4.152699245056949,13.826034772230065,3.66138726287956
2011-04-12,32.62,35.8571,9.9237,18.074,19.4118,4.0719,4.4256,5851849601.22,11.088,12.2826,2.0,5.0,15.1,11.5546,9.471882303370789,4.3493527601042885,7.779625396825397,4.116590925509831,13.821235063475076,3.663034471315566
2011-04-13,33.14,35.8571,8.1989,18.3621,19.4106,4.1368,4.425,5945134757.34,11.088,12.2826,2.0,5.0,15.1,11.5546,9.468316526610645,4.343762347188819,7.724130952380952,4.062655708070071,13.812078873799464,3.661475244310881
2011-04-14,33.34,35.8571,7.5498,18.473,19.4094,4.1617,4.425,5981013663.54,11.088,12.2826,2.0,5.0,15.1,11.5546,9.462957541899442,4.338859335003678,7.670512698412699,4.019450236915182,13.80181687690312,3.651062461497517
