date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2020-08-20,16.2,20.8,28.3951,14.2908,12.9856,1.1568,0.6405,5320269621.0,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.9746184,28.9403653043394,38.9746184,28.9403653043394,67.91498370433939,10.0342530956606
2020-08-21,15.91,20.8,30.7354,14.0349,12.9952,1.1361,0.6418,5225030226.55,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.90922777777778,28.83371557074848,38.90922777777778,28.83371557074848,67.74294334852627,10.075512207029298
2020-08-24,16.5,20.8,26.0606,14.5554,13.0226,1.1782,0.6472,5418793132.5,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.80805748031496,28.74169052286499,38.70335952380952,28.832103360145435,67.54974800317996,9.87125616366409
2020-08-25,16.92,20.8,22.9314,14.9259,13.05,1.2082,0.6525,5556726048.6,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.68402109375,28.662683977886072,38.45503095238095,28.832130232440257,67.34670507163607,9.622900719940697
2020-08-26,16.74,20.8,24.2533,14.7671,13.0609,1.1954,0.6572,5497611941.7,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.57215503875969,28.57875794284041,38.16757301587302,28.79138111010146,67.1509129816001,9.376191905771556
2020-08-27,16.75,20.8,24.1791,14.7759,13.0718,1.1961,0.662,5500896058.75,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.46143923076923,28.495746779836168,37.8741253968254,28.743615328171767,66.9571860106054,9.130510068653631
2020-08-28,16.5,20.8,26.0606,14.5554,13.1007,1.1782,0.6631,5418793132.5,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.366776335877866,28.4066061276675,37.59234761904762,28.68347877422045,66.77338246354537,8.908868844827168
2020-08-31,16.23,20.8,28.1577,14.3172,13.1296,1.1589,0.6642,5330121972.15,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.289434848484845,28.31192408874517,37.25584841269841,28.54201783593512,66.60135893723002,8.713830576763293
2020-09-01,16.44,20.8,26.5207,14.5025,13.1486,1.1739,0.6658,5399088430.2,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.20094812030075,28.22293322781597,36.9184007936508,28.41430180250644,66.42388134811672,8.504098991144364
2020-09-02,16.64,20.8,25.0,14.6789,13.1675,1.1882,0.6674,5464770771.2,3.0746,139.6545,4.0,1.0,36.3804,54.5528,38.10243358208955,28.139748899858017,36.47296507936508,28.154488386183328,66.24218248194757,8.318476693181754
2020-09-03,15.96,20.8333,30.5345,14.0865,13.2083,1.1346,0.6722,5241450811.8,3.0813,139.7234,4.0,1.0,36.3804,54.5528,38.04637481481481,28.042118725875163,36.001016666666665,27.745480249977312,66.08849354068997,8.255536416689353
2020-09-04,16.1,20.8333,29.3994,14.2101,13.2491,1.1446,0.6769,5287428450.5,3.0813,139.7234,4.0,1.0,36.3804,54.5528,37.98279411764706,27.94790352251256,35.632127777777775,27.519100162252823,65.93069764015962,8.113027615524949
2020-09-08,16.35,20.8333,27.4208,14.4307,13.2558,1.1624,0.6836,5369531376.75,3.0813,139.7234,4.0,1.0,36.3804,54.5528,37.905699270072994,27.85958205505652,35.392152380952375,27.45726179757835,65.76528132512951,7.934890583374024
2020-09-09,16.85,20.8333,23.6398,14.872,13.2625,1.1979,0.6902,5533737229.25,3.0813,139.7234,4.0,1.0,36.3804,54.5528,37.80232318840579,27.78427055922503,35.0693,27.353371044751345,65.58659374763081,7.715928955248653
2020-09-10,16.91,20.8333,23.2011,14.925,13.2724,1.2022,0.6937,5553441931.55,3.0813,139.7234,4.0,1.0,36.3804,54.5528,37.69727841726618,27.71110821272505,34.61790396825396,27.072547127356625,65.40838662999124,7.5453568408973375
2020-09-11,16.95,21.1429,24.7369,14.8906,13.2823,1.2049,0.6971,5566578399.75,3.219,140.2926,5.0,1.0,36.3804,54.5528,37.60470428571429,27.632966073545365,34.210813492063494,26.829404411588005,65.23767035925965,7.381409080475489
2020-09-14,17.54,21.1429,20.541,15.4089,13.2868,1.2469,0.6992,5760341305.7,3.219,140.2926,5.0,1.0,36.3804,54.5528,37.48368510638298,27.57157414510704,33.55896428571429,26.141650322546884,65.05525925149001,7.417313963167405
2020-09-15,17.66,21.1429,19.722,15.5144,13.2912,1.2554,0.7014,5799750710.3,3.219,140.2926,5.0,1.0,36.3804,54.5528,37.3586028169014,27.514031739730303,32.79411984126984,25.096489061712287,64.87263455663171,7.697630779557553
2020-09-16,17.58,21.1429,20.2668,15.4441,13.3394,1.2497,0.7046,5773477773.9,3.219,140.2926,5.0,1.0,36.3804,54.5528,37.23907972027972,27.454210375345745,31.51632222222222,21.285778615997668,64.69329009562546,10.230543606224554
2020-09-17,17.4,21.1429,21.5109,15.286,13.3876,1.2369,0.7078,5714363667.0,3.219,140.2926,5.0,1.0,36.3804,54.5528,37.12985625,27.38942658942396,30.6413619047619,19.306210799996425,64.51928283942397,11.335151104765476
2020-09-18,17.61,21.1429,20.0619,15.4704,13.3924,1.2518,0.7118,5783330125.05,3.219,140.2926,5.0,1.0,36.3804,54.5528,37.01214620689655,27.330937975963725,29.904846825396824,17.86044407090796,64.34308418286028,12.044402754488864
2020-09-21,16.95,21.1429,24.7369,14.8906,13.3971,1.2049,0.7158,5566578399.75,3.219,140.2926,5.0,1.0,36.3804,54.5528,36.92806917808219,27.255470083842827,29.05548968253968,15.345776250368512,64.18353926192502,13.709713432171167
2020-09-22,16.97,21.1429,24.5899,14.9043,13.4016,1.2064,0.7161,5573146633.85,3.2183,140.3326,5.0,1.0,36.3804,54.5528,36.84413605442177,27.181025439270453,28.597538888888888,14.58657709209111,64.02516149369222,14.010961796797778
2020-09-23,16.73,21.1429,26.3772,14.6935,13.4061,1.1893,0.7163,5494327824.65,3.2183,140.3326,5.0,1.0,36.3804,54.5528,36.77341351351351,27.102075317261928,28.354892063492063,14.36374282838906,63.87548883077544,13.991149235103007
2020-09-24,16.64,21.125,26.9531,14.5429,13.4068,1.1829,0.7163,5464770771.2,3.2183,140.4517,6.0,1.0,36.3804,54.5528,36.70750536912752,27.022337711046333,28.11120476190476,14.12103867338868,63.72984308017385,13.990166088516078
