date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-11,13.45,17.1848,27.768,14.9861,17.5038,3.2524,3.4094,3870297742.55,16.7742,31.9411,4.0,1.0,15.0,10.4766
2002-03-12,13.51,17.1848,27.2006,15.0529,17.4853,3.2669,3.4076,3887563011.29,16.7742,31.9411,4.0,1.0,15.0,10.4766
2002-03-13,13.78,17.1848,24.7083,15.3538,17.4785,3.3321,3.4057,3965256720.62,16.7742,31.9411,4.0,1.0,15.0,10.4766
2002-03-14,14.08,17.1848,22.0511,15.688,17.4785,3.4047,3.4052,4051583064.32,16.7742,31.9411,4.0,1.0,15.0,10.4766
2002-03-15,14.13,17.1848,21.6192,15.7437,17.4785,3.4168,3.4052,4065970788.27,16.7742,31.9411,4.0,1.0,15.0,10.4766
2002-03-18,14.22,17.1848,20.8495,15.844,17.5038,3.4385,3.4047,4091868691.38,16.7742,31.9411,4.0,1.0,15.0,10.4766
2002-03-19,14.24,17.1848,20.6798,15.7192,17.4853,3.4434,3.405,4097623780.96,16.7742,31.94,4.0,1.0,15.0,10.4766
2002-03-20,14.11,17.1848,21.7916,15.6361,17.4785,3.4119,3.4052,4060215698.69,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-03-21,13.94,17.1848,23.2769,15.4477,17.4785,3.3708,3.4047,4011297437.26,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-03-22,13.87,17.1848,23.8991,15.3701,17.4785,3.3539,3.4011,3991154623.73,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-03-25,13.51,17.1848,27.2006,14.9712,17.5038,3.2669,3.3901,3887563011.29,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-03-26,13.32,17.1848,29.015,14.7606,17.4853,3.2209,3.3892,3832889660.28,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-03-27,13.33,17.1848,28.9182,14.7717,17.4785,3.2233,3.3884,3835767205.07,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-03-28,13.09,17.1848,31.2819,14.5058,17.4785,3.1653,3.3871,3766706130.11,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-04-01,12.85,17.1848,33.7339,14.1691,17.5038,3.1073,3.3862,3697645055.15,16.7742,31.9397,4.0,1.0,15.0,10.4766
2002-04-02,12.8,17.1848,34.2562,14.3097,17.4853,3.1696,3.3853,3683257331.2,16.833,31.943,4.0,1.0,15.0,10.4766
2002-04-03,12.49,17.1848,37.5885,13.9631,17.4785,3.0928,3.3846,3594053442.71,16.833,31.943,4.0,1.0,15.0,10.4766
2002-04-04,12.44,17.1848,38.1415,13.9072,17.4785,3.0804,3.3822,3579665718.76,16.833,31.943,4.0,1.0,15.0,10.4766
2002-04-05,12.18,17.1848,41.0903,13.6165,17.4785,3.016,3.3805,3504849554.22,16.833,31.943,4.0,1.0,15.0,10.4766
2002-04-08,12.11,17.1848,41.9059,13.5383,17.5038,2.9987,3.3776,3484706740.69,16.833,31.943,4.0,1.0,15.0,10.4766
2002-04-09,12.31,17.1848,39.6003,13.7619,17.4853,3.0482,3.3749,3542257636.49,16.833,31.943,4.0,1.0,15.0,10.4766
2002-04-10,12.8,17.1848,34.2562,14.3562,17.4853,3.1696,3.3749,3683257331.2,16.833,32.2165,4.0,1.0,15.0,10.4766
2002-04-11,12.62,17.1848,36.1712,14.1543,17.4853,3.125,3.3749,3631461524.98,16.833,32.2165,4.0,1.0,15.0,10.4766
2002-04-12,12.4,17.1848,38.5871,13.9076,17.4853,3.0705,3.3749,3568155539.6,16.833,32.2165,4.0,1.0,15.0,10.4766
2002-04-15,12.4,17.1848,38.5871,13.8223,17.5223,3.0705,3.3749,3568155539.6,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-16,12.4,17.1848,38.5871,13.8223,17.5038,3.0705,3.3749,3568155539.6,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-17,12.04,17.1848,42.7309,13.421,17.4853,2.9814,3.3749,3464563927.16,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-18,12.09,17.1848,42.1406,13.4768,17.4853,2.9938,3.3749,3478951651.11,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-19,12.16,17.1848,41.3224,13.5548,17.4853,3.0111,3.3749,3499094464.64,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-22,12.11,17.1848,41.9059,13.4991,17.5038,2.9987,3.3749,3484706740.69,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-23,12.24,17.1848,40.3987,13.644,17.4853,3.0309,3.3749,3522114822.96,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-24,12.34,17.1848,39.2609,13.7554,17.4785,3.0557,3.3749,3550890270.86,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-25,12.2,17.1848,40.859,13.5994,17.4718,3.021,3.3749,3510604643.8,16.833,32.2675,4.0,1.0,15.0,10.4766
2002-04-26,12.0,17.1848,43.2067,13.369,17.4718,2.9715,3.3749,3453053748.0,16.833,32.0591,4.0,1.0,15.0,10.4766
2002-04-29,11.84,17.1848,45.1419,13.1731,17.4853,2.9319,3.3749,3407013031.36,16.833,32.008,4.0,2.0,15.0,10.4766
2002-04-30,11.77,17.1848,46.0051,13.0952,17.4785,2.9145,3.3749,3386870217.83,16.833,32.008,4.0,2.0,15.0,10.4766
2002-05-01,11.87,17.1848,44.7751,13.2065,17.4718,2.9393,3.3749,3415645665.73,16.833,32.008,4.0,2.0,15.0,10.4766
2002-05-02,11.62,17.1848,47.8898,12.9283,17.4718,2.8774,3.3749,3343707045.98,16.833,32.008,4.0,2.0,15.0,10.4766
2002-05-03,11.75,17.1848,46.2536,13.073,17.4718,2.9096,3.3749,3381115128.25,16.833,32.008,4.0,2.0,15.0,10.4766
2002-05-06,11.35,17.1848,51.4079,12.6336,17.4853,2.8105,3.3734,3266013336.65,16.833,32.0082,4.0,2.0,15.0,10.4766
2002-05-07,11.18,16.9996,52.0537,12.3782,17.4785,2.7684,3.3721,3217095075.22,16.833,32.06,4.0,2.0,15.0,10.4766
2002-05-08,12.12,16.9996,40.2607,13.0421,17.4718,2.7698,3.3708,3462309140.52,7.4755,4.1412,1.0,2.0,15.0,-27.4747
2002-05-09,12.0,16.9996,41.6633,12.9129,17.4718,2.7424,3.3705,3428028852.0,7.4755,4.1412,1.0,2.0,15.0,-27.4747
2002-05-10,11.9,16.5552,39.1193,12.2315,17.4718,2.7196,3.3689,3399461944.9,7.4755,4.1057,1.0,2.0,15.0,-27.5826
2002-05-13,11.88,16.5552,39.3535,12.2109,17.4853,2.715,3.3683,3393748563.48,7.4755,4.1057,1.0,2.0,15.0,-27.5826
2002-05-14,12.28,16.5552,34.8143,12.6221,17.4785,2.8064,3.3675,3508016191.88,7.4755,4.1057,1.0,2.0,15.0,-27.5826
2002-05-15,12.56,16.5552,31.8089,12.4147,17.4718,2.8704,3.3667,3588003531.76,7.4755,4.203,1.0,2.0,15.0,-27.5826
2002-05-16,12.41,16.5552,33.4021,12.2665,17.4718,2.8361,3.3667,3545153171.11,7.4755,4.203,1.0,2.0,15.0,-27.5826
2002-05-17,12.94,16.5552,27.9382,12.7904,17.4718,2.9572,3.3667,3696557778.74,7.4755,4.203,1.0,2.0,15.0,-27.5826
2002-05-20,13.42,17.333,29.158,13.108,17.4853,2.9065,3.3632,3833678932.82,7.5332,4.2522,1.0,2.0,15.0,-27.4682
2002-05-21,13.39,17.333,29.4473,13.0787,17.4785,2.9,3.3597,3825108860.69,7.5332,4.2522,1.0,2.0,15.0,-27.4682
2002-05-22,13.44,17.333,28.9658,13.1276,17.4718,2.9108,3.3579,3839392314.24,7.5332,4.2522,1.0,2.0,15.0,-27.4682
2002-05-23,13.84,17.333,25.2384,13.5183,17.4718,2.9975,3.3579,3953659942.64,7.5332,4.257,1.0,2.0,15.0,-27.4682
2002-05-24,13.48,17.333,28.5831,13.1666,17.4718,2.9195,3.3579,3850819077.08,7.5332,4.257,1.0,3.0,16.3333,-27.4682
2002-05-28,13.67,17.333,35.2487,13.4033,17.4785,2.9606,3.3548,3905096200.57,7.5332,4.257,1.0,3.0,16.3333,-27.4682
