date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-01-06,37.36,39.2857,5.1544,2999.1667,3745.8334,0.727,1.0458,3179522800.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-09,38.05,39.2857,3.2476,2999.1667,3745.8334,0.7405,1.0453,3238245250.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-10,41.04,39.2857,-4.2746,2999.1667,3745.8334,0.7987,1.0441,3492709200.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-11,40.85,39.2857,-3.8294,2999.1667,3745.8334,0.795,1.0429,3476539250.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-12,40.37,39.2857,-2.6859,2999.1667,3745.8334,0.7856,1.0428,3435688850.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-13,39.67,39.2857,-0.9687,2999.1667,3745.8334,0.772,1.0427,3376115350.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-17,40.55,39.2857,-3.1179,2999.1667,3745.8334,0.7891,1.0422,3451007750.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-18,40.23,39.2857,-2.3473,2999.1667,3745.8334,0.7829,1.0416,3423774150.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-19,40.12,39.2857,-2.0795,2999.1667,3745.8334,0.7808,1.0406,3414412600.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-20,40.15,39.2857,-2.1527,2999.1667,3745.8334,0.7813,1.0397,3416965750.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-23,39.88,39.2857,-1.4902,2999.1667,3745.8334,0.7761,1.0397,3393987400.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-24,41.07,39.2857,-4.3445,2999.1667,3745.8334,0.7992,1.0396,3495262350.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-25,41.56,39.2857,-5.4723,2999.1667,3745.8334,0.8088,1.0396,3536963800.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-26,42.25,39.2857,-7.0161,2999.1667,3745.8334,0.8222,1.0395,3595686250.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-27,42.31,39.2857,-7.148,2999.1667,3745.8334,0.8234,1.0394,3600792550.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-30,41.73,39.2857,-5.8574,2999.1667,3745.8334,0.8121,1.039,3551431650.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-01-31,41.56,39.2857,-5.4723,2999.1667,3745.8334,0.8088,1.0387,3536963800.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-01,41.57,39.2857,-5.4951,2999.1667,3745.8334,0.809,1.0383,3537814850.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-02,41.82,39.2857,-6.06,2999.1667,3745.8334,0.8138,1.0378,3559091100.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-03,42.19,39.2857,-6.8839,2999.1667,3745.8334,0.821,1.0376,3590579950.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-06,42.6,39.2857,-7.78,2999.1667,3745.8334,0.829,1.0373,3625473000.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-07,42.59,39.2857,-7.7584,2999.1667,3745.8334,0.8288,1.0372,3624621950.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-08,42.24,39.2857,-6.9941,2999.1667,3745.8334,0.822,1.037,3594835200.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-09,42.28,39.2857,-7.0821,2999.1667,3745.8334,0.8228,1.0366,3598239400.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-10,42.79,39.2857,-8.1895,2999.1667,3745.8334,0.8327,1.0363,3641642950.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-13,41.91,39.2857,-6.2618,2999.1667,3745.8334,0.8156,1.0362,3566750550.0,34.8705,-47.0056,12.0,3.0,-61.8443,146.0145
2017-02-14,41.2,40.0,-2.9126,2999.1667,3745.8334,0.8037,1.0361,3506326000.0,35.0119,-46.2838,13.0,3.0,-61.8443,146.0145
