date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2015-03-05,84.21,103.2059,22.5578,17917.0213,17917.0213,9.8375,15.906,15637460160.0,37.6414,1947.2741,6.0,4.0,46.5,56.1706
2015-03-06,82.61,103.2059,24.9315,17576.5957,17746.8085,9.6506,15.9052,15340346560.0,37.6414,1947.2741,6.0,4.0,46.5,56.1706
2015-03-09,83.03,103.2059,24.2995,17665.9574,17665.9574,9.6997,15.9045,15418338880.0,37.6414,1947.2741,6.0,4.0,46.5,56.1706
2015-03-10,81.29,103.2059,26.9601,17295.7447,17621.2766,9.4964,15.8874,15095227840.0,37.6414,1947.2741,6.0,4.0,46.5,56.1706
2015-03-11,82.33,103.2059,25.3564,17517.0213,17576.5957,9.6179,15.8703,15288351680.0,37.6414,1947.2741,6.0,4.0,46.5,56.1706
2015-03-12,83.17,103.2059,24.0903,17695.7447,17621.2766,9.7161,15.8538,15444336320.0,37.6414,1947.2741,6.0,4.0,46.5,56.1706
2015-03-13,82.56,102.7143,24.4117,37527.2727,17665.9574,9.6435,15.8373,15331061760.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-16,83.87,102.7143,22.4685,38122.7273,17680.851,9.7965,15.8278,15574323520.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-17,83.4,102.7143,23.1586,37909.0909,17695.7447,9.7416,15.8182,15487046400.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-18,84.89,102.7143,20.9969,38586.3636,17806.383,9.9157,15.7998,15763733440.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-19,85.35,102.7143,20.3448,38795.4545,17917.0213,9.9694,15.7815,15849153600.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-20,84.91,102.7143,20.9684,38595.4545,27722.147,9.918,15.765,15767447360.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-23,85.22,102.7143,20.5284,38736.3636,37527.2727,9.9542,15.7485,15825013120.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-24,86.49,102.7143,18.7586,39313.6364,37718.1818,10.1026,15.746,16060847040.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-25,83.26,102.7143,23.3657,37845.4545,37845.4545,9.7253,15.7435,15461048960.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-26,83.98,102.7143,22.308,38172.7273,37877.2727,9.8094,15.7412,15594750080.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-27,85.06,102.7143,20.7551,38663.6364,37909.0909,9.9355,15.7388,15795301760.0,37.6417,4145.4548,6.0,4.0,46.5,56.1706
2015-03-30,86.14,102.7143,19.0606,38663.6364,37909.0909,10.0663,15.7192,15995853440.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-03-31,84.41,102.7143,21.5008,38663.6364,37909.0909,9.8641,15.711,15674599360.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-01,83.41,102.7143,22.9574,38663.6364,37909.0909,9.7473,15.7029,15488903360.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-02,86.23,102.7143,18.9363,38663.6364,37909.0909,10.0768,15.7022,16012566080.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-06,88.5,102.7143,15.8856,38663.6364,37909.0909,10.3421,15.7016,16434096000.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-07,87.48,102.7143,17.2369,38663.6364,37909.0909,10.2229,15.699,16244686080.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-08,88.0,102.7143,16.5441,38663.6364,37909.0909,10.2837,15.6965,16341248000.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-09,87.69,102.7143,16.9561,38663.6364,37909.0909,10.2474,15.694,16283682240.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-10,88.7,102.7143,15.6244,38663.6364,37909.0909,10.3655,15.6914,16471235200.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-13,87.27,102.7143,17.519,38663.6364,37909.0909,10.1984,15.6705,16205689920.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
2015-04-14,86.38,102.7143,18.7298,38663.6364,37909.0909,10.0943,15.6496,16040420480.0,37.6417,4145.4548,6.0,5.0,39.8,56.1706
