date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2008-09-30,5.26,7.6167,44.8042,19.7151,23.3333,0.1715,10.4311,487202240.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-01,4.97,7.6167,53.2535,18.6282,23.3257,0.162,10.425,460341280.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-02,4.71,7.6167,61.7134,17.6537,23.3257,0.1536,10.425,436259040.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-03,4.63,7.6167,64.5076,17.3538,23.3257,0.151,10.425,428849120.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-06,4.27,7.6167,78.377,16.0045,23.3404,0.1392,10.4425,395504480.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-07,4.05,7.6167,88.0667,15.1799,23.3333,0.132,10.4311,375127200.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-08,4.0,7.6167,90.4175,14.9925,23.3257,0.1304,10.425,370496000.0,36.0284,11.0183,3.0,2.0,11.7,52.6636
2008-10-09,3.97,7.6167,91.8564,14.8801,23.3257,0.1294,10.425,367717280.0,36.0391,11.0183,3.0,2.0,11.7,52.6636
2008-10-10,4.0,7.6167,90.4175,14.9925,23.3257,0.1304,10.425,370496000.0,36.0391,11.0183,3.0,2.0,11.7,52.6636
2008-10-13,4.15,7.6167,83.5349,15.5547,23.3404,0.1353,10.4425,384389600.0,36.0391,11.0183,3.0,2.0,11.7,52.6636
2008-10-14,3.89,7.6167,95.8021,14.5802,23.3333,0.1268,10.4311,360307360.0,36.0391,11.0183,3.0,2.0,11.7,52.6636
2008-10-15,3.3,7.6167,130.8091,12.3688,23.3257,0.1076,10.425,305659200.0,36.0391,11.0183,3.0,2.0,11.7,52.6636
