date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2002-03-05,0.68756,0.633,-7.9353,39.5149,32.0888,19.7065,6.6306,17047069751.1285,20.6328,29.5544,4.0,1.0,24.7794,28.3297
2002-03-06,0.6879,0.633,-7.9808,39.5345,32.112,19.7162,6.6458,17055499566.2943,20.6328,29.5544,4.0,1.0,24.7794,28.3297
2002-03-07,0.69264,0.633,-8.6105,39.8069,32.1394,19.8521,6.66,17173021107.1349,20.6328,29.5544,4.0,1.0,24.7794,28.3297
2002-03-08,0.70568,0.633,-10.2993,40.3246,32.1669,20.2258,6.6742,17496329312.3166,20.6328,29.5113,4.0,1.0,24.7794,28.3297
2002-03-11,0.73244,0.633,-13.5765,41.8537,32.1856,20.9928,6.6966,18159805353.0115,20.6328,29.5113,4.0,1.0,24.7794,28.3297
2002-03-12,0.69163,0.633,-8.4771,39.5217,32.2044,19.8077,6.719,17147979597.3777,17.0785,24.5446,4.0,1.0,24.7794,22.8157
2002-03-13,0.68248,0.633,-7.25,38.9989,32.2506,19.5457,6.7662,16921118395.1222,17.0785,24.5446,4.0,1.0,24.7794,22.8157
2002-03-14,0.68164,0.633,-7.1357,39.1747,32.2967,19.8061,6.8135,16900291792.9479,15.2044,23.4242,5.0,1.0,24.7794,22.8157
2002-03-15,0.67469,0.633,-6.1791,38.7753,32.3106,19.6048,6.8248,16727976453.5297,15.2018,23.4242,5.0,1.0,24.7794,22.8157
2002-03-18,0.67486,0.633,-6.2028,38.7851,32.3246,19.6097,6.8362,16732191361.1126,15.208,23.4242,5.0,1.0,24.7794,22.8157
2002-03-19,0.6603,0.633,-4.1345,38.614,32.3431,19.375,6.8818,16371196923.4251,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-20,0.64353,0.633,-1.6363,37.6333,32.3617,18.883,6.9275,15955408687.16,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-21,0.65183,0.633,-2.8888,38.1187,32.3756,19.1265,6.9525,16161195351.5011,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-22,0.65268,0.633,-3.0153,38.1684,32.3896,19.1515,6.9775,16182269889.4156,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-25,0.65166,0.633,-2.8635,38.1088,32.3896,19.1215,7.3376,16156980443.9182,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-26,0.64048,0.633,-1.1679,37.455,32.3896,18.7935,7.6977,15879788286.4082,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-27,0.64184,0.633,-1.3773,37.5345,32.3896,18.8334,7.7831,15913507547.0713,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-03-28,0.63049,0.633,0.3981,36.8708,32.3896,18.5003,7.8685,15632100481.9783,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-01,0.63253,0.633,0.0743,36.9901,32.3942,18.5602,7.8708,15682679372.973,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-02,0.6332,0.633,-0.0316,37.0292,32.3989,18.5799,7.8731,15699291067.5644,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-03,0.59781,0.6325,5.8028,34.9596,32.453,17.5414,7.8822,14821846483.1028,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-04,0.62626,0.6325,0.9964,36.6234,32.5071,18.3762,7.8912,15527223663.8864,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-05,0.62067,0.6325,1.906,36.2965,32.5872,18.2122,7.9232,15388627585.1314,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-08,0.60628,0.6325,4.3247,35.455,32.6672,17.79,8.011,15031848055.0268,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-09,0.60136,0.6325,5.1783,35.1673,32.6672,17.6456,8.0668,14909863670.8631,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-10,0.64675,0.6325,-2.2033,37.8216,32.6672,18.9775,8.1044,16035243995.4948,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-11,0.64692,0.6325,-2.229,37.8316,32.7176,18.9824,8.142,16039458903.0776,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-12,0.61813,0.6325,2.3248,36.148,32.768,18.1377,8.1703,15325651907.1282,15.2165,23.4652,5.0,1.0,24.7794,22.8788
2002-04-15,0.60814,0.6325,4.0057,35.5637,32.8074,17.7943,8.1986,15077964102.6984,15.2115,23.4446,5.0,1.0,24.7794,22.8788
2002-04-16,0.62423,0.6318,1.2127,36.7194,32.8467,18.2257,8.267,15476892708.6319,15.2098,23.4624,5.0,1.0,24.8105,22.8788
2002-04-17,0.65031,0.6318,-2.8463,38.2535,32.8467,18.9872,8.3353,16123509118.9953,15.2092,23.4624,5.0,1.0,24.8105,22.8788
