date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2020-06-29,31.43,33.6,6.9042,51.031,43.2297,3.2651,3.1504,16029300000.0,23.4812,109.2748,13.0,1.0,26.9705,14.613
2020-06-30,29.5,33.6,13.8983,47.8974,43.519,3.0646,3.1496,15045000000.0,23.4812,109.2748,13.0,1.0,26.9705,14.613
2020-07-01,29.45,33.6,14.0917,47.8162,43.8082,3.0594,3.1489,15019500000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-02,29.35,33.6,14.4804,47.6538,43.8219,3.049,3.1479,14968500000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-06,29.79,33.6,12.7895,49.7495,43.8972,3.0947,3.1469,15192900000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-07,29.64,33.6,13.3603,49.499,43.9589,3.0791,3.1328,15116400000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-08,29.98,33.6,12.0747,50.0668,44.2808,3.1144,3.1188,15289800000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-09,30.0,33.6,12.0,50.1002,44.6027,3.1165,3.1176,15300000000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-10,30.88,33.6,8.8083,51.5698,44.7123,3.2079,3.1188,15748800000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-13,30.09,33.6,11.665,50.2505,44.8219,3.1259,3.1224,15345900000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-14,29.64,33.6,13.3603,49.499,44.9178,3.0791,3.1188,15116400000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-15,29.63,33.6,13.3986,49.4823,45.0137,3.0781,3.1176,15111300000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-16,29.69,33.6,13.1694,49.5825,46.0453,3.0843,3.1165,15141900000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-17,29.42,33.6,14.208,49.1316,47.0769,3.0563,3.1154,15004200000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-20,28.95,33.6,16.0622,48.3467,47.3654,3.0074,3.1144,14764500000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-21,28.5,33.6,17.8947,47.5952,47.5952,2.9607,3.114,14535000000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-22,27.82,33.6,20.7764,46.4596,47.336,2.8901,3.1137,14188200000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-23,28.33,33.6,18.6022,47.3113,47.3113,2.943,3.1042,14448300000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-24,28.34,33.6,18.5603,47.328,47.3196,2.9441,3.0947,14453400000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-27,28.65,33.6,17.2775,47.8457,47.328,2.9763,3.0926,14611500000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-28,29.52,33.6,13.8211,49.2986,47.4616,3.0667,3.0906,15055200000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-29,30.01,33.6,11.9627,50.1169,47.5952,3.1176,3.0926,15305100000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-30,29.91,33.6,12.337,49.9499,47.6245,3.1072,3.0947,15254100000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-07-31,30.15,33.6,11.4428,50.3507,47.6538,3.1321,3.101,15376500000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-08-03,29.94,33.6,12.2244,50.0,47.735,3.1103,3.1072,15269400000.0,23.481,109.2748,13.0,1.0,26.9705,14.613
2020-08-04,28.95,33.7333,16.5226,46.7539,47.6538,3.0072,3.101,14764500000.0,23.6303,163.7463,13.0,1.0,26.9705,14.0686
2020-08-05,28.64,33.8,18.0168,46.1266,47.6245,2.9734,3.0947,14606400000.0,23.6755,145.4254,13.0,1.0,26.9705,14.505
2020-08-06,28.87,33.8,17.0766,46.3403,47.5952,2.9964,3.0926,14723700000.0,23.6876,122.6604,13.0,1.0,27.7308,14.4011
2020-08-07,28.51,33.8,18.5549,45.7624,47.4616,2.9589,3.0906,14540100000.0,23.7018,109.8764,13.0,1.0,27.7308,14.4011
2020-08-10,29.16,33.8,15.9122,46.8058,47.328,3.0263,3.0874,14871600000.0,23.7018,109.8764,13.0,1.0,27.7308,14.4011
2020-08-11,28.52,33.4667,17.3447,45.414,47.3196,2.9732,3.0843,14545200000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-12,29.45,33.4667,13.639,46.8949,47.3113,3.0701,3.0817,15019500000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-13,29.64,33.4667,12.9106,47.1975,47.2544,3.0899,3.0843,15116400000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-14,30.3,33.4667,10.4512,48.2484,47.3113,3.1587,3.0871,15453000000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-17,31.02,33.4667,7.8875,49.3949,47.3196,3.2338,3.0899,15820200000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-18,30.62,33.4667,9.2969,48.758,47.328,3.1921,3.0902,15616200000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-19,30.53,33.4667,9.6191,48.6146,47.4616,3.1827,3.0906,15570300000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-20,30.38,33.4667,10.1603,48.3758,47.5952,3.1671,3.0926,15493800000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-21,30.06,33.4667,11.333,47.8662,47.6245,3.1337,3.0947,15330600000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-24,30.1,33.4667,11.185,47.9299,47.6538,3.1379,3.101,15351000000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-25,29.47,33.4667,13.5619,46.9268,47.6245,3.0722,3.0947,15029700000.0,23.5061,100.687,13.0,1.0,27.7308,14.4011
2020-08-26,29.42,33.4667,13.7549,46.8397,47.5952,3.067,3.0926,15004200000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-08-27,28.84,33.4667,16.0426,45.9163,47.4616,3.0065,3.0906,14708400000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-08-28,29.46,33.4667,13.6005,46.9034,47.328,3.0712,3.0902,15024600000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-08-31,29.66,33.4667,12.8345,47.2218,47.3196,3.092,3.0906,15126600000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-01,29.88,33.4667,12.0037,47.572,47.328,3.1149,3.0913,15238800000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-02,29.03,33.4667,15.2832,46.2188,47.3196,3.0263,3.0906,14805300000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-03,28.6,33.4667,17.0164,45.5342,47.3113,2.9815,3.0902,14586000000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-04,29.09,33.4667,15.0454,46.3143,47.2666,3.0326,3.0899,14835900000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-08,28.45,33.4667,17.6334,45.2953,47.2218,2.9659,3.0871,14509500000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-09,28.66,33.4667,16.7715,45.6297,47.2096,2.9878,3.0843,14616600000.0,23.5061,91.8291,13.0,1.0,27.7308,14.4011
2020-09-10,28.51,33.4667,17.3858,45.3909,47.1975,2.9721,3.0817,14540100000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-11,29.01,33.4667,15.3626,46.1869,47.1372,3.0242,3.0791,14795100000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-14,28.82,33.4667,16.1232,45.8844,47.0769,3.0044,3.0791,14698200000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-15,28.2,33.4667,18.6762,44.8973,47.0019,2.9398,3.0791,14382000000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-16,28.53,33.4667,17.3035,45.4227,46.9268,2.9742,3.0786,14550300000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-17,27.64,33.4667,21.0807,44.0057,46.9151,2.8814,3.0781,14096400000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-18,28.48,33.4667,17.5095,45.3431,46.9034,2.969,3.0752,14524800000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-21,27.83,33.4667,20.254,44.3082,46.8992,2.9012,3.0722,14193300000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-22,28.23,33.4667,18.5501,44.9451,46.8949,2.9429,3.0717,14397300000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-23,27.95,33.4667,19.7377,44.4993,46.8673,2.9137,3.0712,14254500000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-24,28.15,33.4667,18.887,44.8177,46.8397,2.9346,3.0706,14356500000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-25,27.01,33.4667,23.9049,43.0027,46.8228,2.8157,3.0701,13775100000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-28,28.01,33.4667,19.4813,44.5948,46.8058,2.92,3.0686,14285100000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-29,28.21,33.4667,18.6342,44.9132,46.7798,2.9408,3.067,14387100000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-09-30,28.74,33.4667,16.4464,45.757,46.7539,2.9961,3.0668,14657400000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-10-01,28.17,33.4667,18.8026,44.8495,46.6068,2.9367,3.0667,14366700000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-10-02,27.99,33.4667,19.5666,44.563,46.4596,2.9179,3.0656,14274900000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-10-05,28.33,33.4667,18.1317,45.1043,46.4,2.9534,3.0646,14448300000.0,23.5571,92.3704,12.0,1.0,27.7308,14.4011
2020-10-06,27.82,33.4667,20.2973,44.1938,46.3403,2.9002,3.062,14188200000.0,23.5571,92.3153,12.0,1.0,27.7308,14.4011
2020-10-07,28.0,33.4667,19.5239,45.403,46.3273,2.9185,3.0594,14280000000.0,23.5535,92.2625,12.0,1.0,27.7308,14.4011
2020-10-08,27.78,33.4667,20.4705,45.0462,46.3143,2.8956,3.0578,14167800000.0,23.5535,92.2625,12.0,1.0,27.7308,14.4011
2020-10-09,27.93,33.4667,19.8235,45.2894,46.2666,2.9112,3.0563,14244300000.0,23.5535,92.2625,12.0,1.0,27.7308,14.4011
2020-10-12,28.32,33.4667,18.1734,45.9218,46.2188,2.9563,3.0526,14443200000.0,23.5543,92.8245,12.0,1.0,27.2768,14.2985
2020-10-13,29.15,33.4667,14.8086,47.2677,46.2666,3.0429,3.049,14866500000.0,23.5545,92.8245,12.0,1.0,27.2768,14.2985
2020-10-14,28.9,33.4667,15.8017,46.8623,46.3143,3.0168,3.046,14739000000.0,23.5545,92.8245,12.0,1.0,27.2768,14.2985
2020-10-15,29.67,33.4667,12.7964,48.1109,46.3273,3.0972,3.049,15131700000.0,23.5545,92.8245,12.0,1.0,27.2768,14.2985
2020-10-16,29.31,33.4667,14.1818,47.5272,46.3403,3.0596,3.0526,14948100000.0,23.5548,92.8245,12.0,1.0,27.2768,14.2985
2020-10-19,29.26,33.4667,14.377,48.0066,46.4596,3.0519,3.0519,14922600000.0,23.5999,88.8369,12.0,1.0,27.2768,14.2985
2020-10-20,29.11,33.4667,14.9663,47.48,46.6068,3.0332,3.0504,14846100000.0,23.6131,87.8835,12.0,1.0,27.8808,14.3607
2020-10-21,28.64,33.4667,16.853,46.7134,46.7134,2.9842,3.049,14606400000.0,23.6131,87.8835,12.0,1.0,27.8808,14.3607
2020-10-22,29.27,33.4667,14.3379,47.741,46.7336,3.0499,3.0495,14927700000.0,23.6131,87.8835,12.0,1.0,27.8808,14.3607
2020-10-23,29.5,33.4667,13.4464,48.1161,46.7539,3.0739,3.0499,15045000000.0,23.6131,87.8835,12.0,1.0,27.8808,14.3607
2020-10-26,28.36,33.4667,18.0067,46.3626,46.7539,2.9567,3.0499,14463600000.0,23.5948,86.9263,12.0,1.0,27.8808,14.3607
2020-10-27,27.88,33.4667,20.0384,45.0477,46.7336,2.9047,3.0495,14218800000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-10-28,27.13,33.4667,23.3568,43.8358,46.7134,2.8266,3.049,13836300000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-10-29,27.29,33.4667,22.6336,44.0944,46.5865,2.8433,3.046,13917900000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-10-30,26.53,33.4667,26.1466,42.8664,46.4596,2.7641,3.0429,13530300000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-11-02,26.24,33.4667,27.5408,42.3978,46.4111,2.7339,3.038,13382400000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-11-03,26.65,33.4667,25.5786,43.0603,46.3626,2.7766,3.0332,13591500000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-11-04,27.57,33.4667,21.3881,44.5468,46.3514,2.8724,3.0329,14060700000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-11-05,27.07,33.4667,23.6302,43.7389,46.3403,2.8203,3.0326,13805700000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
2020-11-06,27.01,33.4667,23.9049,43.6419,46.3273,2.8141,3.0294,13775100000.0,23.6256,87.3793,12.0,1.0,27.8808,14.3607
