date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2010-12-13,64.08,64.125,0.0702,20.1744,18.9807,0.6555,0.5941,1960912080.0,18.4166,37.9969,5.0,5.0,15.3,57.798
2010-12-14,64.18,64.125,-0.0857,20.2059,18.9834,0.6565,0.5942,1963972180.0,18.4166,37.9969,5.0,5.0,15.3,57.798
2010-12-15,64.24,64.875,0.9885,20.242,18.9862,0.6572,0.5942,1965808240.0,18.2138,36.8829,6.0,5.0,15.3,57.798
2010-12-16,64.47,64.875,0.6282,20.3145,18.9872,0.6595,0.5942,1972846470.0,18.2138,36.8829,6.0,5.0,15.3,57.798
2010-12-17,63.63,65.625,3.1353,19.9786,19.0082,0.6506,0.5943,1947141630.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-20,63.57,65.625,3.2327,19.9598,19.0362,0.65,0.5944,1945305570.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-21,63.5,65.625,3.3465,19.9378,19.0514,0.6492,0.5944,1943163500.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-22,63.4,65.625,3.5095,19.9064,19.0599,0.6482,0.5944,1940103400.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-23,63.77,65.625,2.9089,20.0226,19.0606,0.652,0.5946,1951425770.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-27,64.55,65.625,1.6654,20.2675,19.0966,0.66,0.5952,1975294550.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-28,64.1,65.625,2.3791,20.1262,19.1073,0.6554,0.5953,1961524100.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-29,64.18,65.625,2.2515,20.1513,19.1096,0.6562,0.5954,1963972180.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-30,64.38,65.625,1.9338,20.2141,19.1138,0.6582,0.5955,1970092380.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2010-12-31,63.08,65.625,4.0346,19.806,19.1168,0.6449,0.5956,1930311080.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-03,64.17,65.625,2.2674,20.1482,19.1243,0.6561,0.596,1963666170.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-04,62.22,65.625,5.4725,19.5359,19.1251,0.6361,0.5962,1903994220.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-05,62.86,65.625,4.3987,19.7369,19.1414,0.6427,0.5963,1923578860.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-06,62.2,65.625,5.5064,19.5297,19.1588,0.6359,0.5964,1903382200.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-07,61.83,65.625,6.1378,19.4135,19.1693,0.6322,0.5965,1892059830.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-10,63.55,65.625,3.2651,19.9535,19.1853,0.6497,0.5968,1944693550.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-11,63.11,65.625,3.9851,19.8154,19.1894,0.6452,0.5971,1931229110.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-12,62.16,65.625,5.5743,19.5171,19.1946,0.6355,0.5973,1902158160.0,18.3399,36.8904,5.0,4.0,15.375,57.798
2011-01-13,61.7,65.625,6.3614,19.3727,19.1998,0.6308,0.5974,1888081700.0,18.3399,36.8904,5.0,4.0,15.375,57.798
