date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2014-02-25,122.155722683,166.3636,36.1898,13.4574,15.9366,3.3106,3.2497,4219971195.8012,3.338,-1.5617,2.0,1.0,-7.2,-3.2196
2014-02-26,125.764261536,166.3636,32.2821,13.855,15.9338,3.4084,3.2498,4344631176.391,3.338,-1.5076,2.0,1.0,-7.2,-3.2196
2014-02-27,126.83687784,166.3636,31.1634,13.9731,15.9338,3.4375,3.2508,4381685600.102,3.338,-1.5076,2.0,1.0,-7.2,-3.2196
2014-02-28,126.783247024,166.3636,31.2189,13.9672,15.9338,3.436,3.2517,4379832878.8889,3.338,-1.5076,2.0,1.0,-7.2,-3.2196
2014-03-03,123.994444636,166.3636,34.1702,13.66,15.9325,3.3604,3.2521,4283491377.323,3.338,-1.5076,2.0,1.0,-7.2,-3.2196
2014-03-04,129.035741261,166.3636,28.9283,14.3737,15.9312,3.5156,3.2525,4457647168.6337,3.3105,-1.4714,2.0,1.0,-7.2,-3.2464
2014-03-05,128.71395637,166.3636,29.2506,14.3379,15.8972,3.5068,3.2548,4446530841.5273,3.3105,-1.4714,2.0,1.0,-7.2,-3.2464
2014-03-06,130.5910349,166.3636,27.3928,14.547,15.8631,3.5717,3.2571,4511376082.9526,3.2904,-1.4591,2.0,1.0,-7.2,-3.2417
2014-03-07,130.215619194,166.3636,27.7601,14.5051,15.8096,3.5615,3.2619,4498407034.6675,3.2904,-1.4591,2.0,1.0,-7.2,-3.2417
2014-03-10,127.748601697,166.3636,30.2273,14.2542,15.7561,3.5189,3.2667,4413181860.2081,3.2565,-1.4633,2.0,1.0,-7.2,-3.2417
2014-03-11,126.890508655,166.3636,31.108,14.1584,15.7558,3.4952,3.2674,4383538321.2807,3.2565,-1.4633,2.0,1.0,-7.2,-3.2417
2014-03-12,125.978784797,166.3636,32.0568,14.0567,15.7554,3.4701,3.268,4352042061.1401,3.2565,-1.4633,2.0,1.0,-7.2,-3.2417
2014-03-13,124.262598712,166.3636,33.8807,13.8652,15.7516,3.4228,3.2709,4292754983.2508,3.2565,-1.4633,2.0,1.0,-7.2,-3.2417
2014-03-14,124.852537679,166.3636,33.2481,13.931,15.7477,3.4391,3.2738,4313134916.2849,3.2565,-1.4633,2.0,1.0,-7.2,-3.2417
2014-03-17,128.177648218,166.3636,29.7914,14.302,15.7307,3.5307,3.2745,4428003629.6718,3.2565,-1.4633,2.0,1.0,-7.2,-3.2417
2014-03-18,128.767587185,166.3636,29.1968,14.3558,15.7137,3.5469,3.2752,4448383562.706,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-19,129.786572673,166.3636,28.1824,14.4694,15.704,3.575,3.279,4483585265.2038,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-20,129.786572673,166.3636,28.1824,14.4694,15.6944,3.575,3.2829,4483585265.2038,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-21,131.395497128,166.3636,26.6129,14.6488,15.6786,3.6193,3.2897,4539166900.7359,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-24,131.127343052,166.3636,26.8718,14.6189,15.6627,3.6119,3.2965,4529903294.8081,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-25,132.199959355,166.3636,25.8424,14.7385,15.6468,3.6415,3.3022,4566957718.4846,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-26,135.364177449,166.3636,22.9008,15.0913,15.6308,3.7286,3.3078,4676268268.3355,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-27,133.326206473,166.3636,24.7794,14.8641,15.5832,3.6725,3.3092,4605864863.3398,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-28,136.329532122,166.3636,22.0305,15.1989,15.5355,3.7552,3.3106,4709617249.6547,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-03-31,132.897159952,166.3636,25.1822,14.8162,15.5348,3.6607,3.3106,4591043093.8761,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-01,136.544055382,166.3636,21.8388,15.2228,15.5341,3.7611,3.3107,4717028134.3693,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-02,133.969776255,166.3636,24.1799,14.9358,15.509,3.6902,3.3156,4628097517.5526,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-03,133.969776255,166.3636,24.1799,14.9358,15.4839,3.6902,3.3206,4628097517.5526,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-04,132.25359017,166.3636,25.7914,14.7445,15.4606,3.643,3.3234,4568810439.6633,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-07,130.698296531,166.3636,27.2883,14.5711,15.4373,3.6001,3.3263,4515081525.3444,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-08,132.3608518,166.3636,25.6894,14.7564,15.4352,3.6459,3.332,4572515882.0206,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-09,133.433468103,166.3636,24.6791,14.876,15.433,3.6755,3.3376,4609570305.6971,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-10,128.982110446,166.3636,28.9819,14.3798,15.4202,3.5528,3.349,4455794447.4551,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-11,129.357526152,166.3636,28.6076,14.4216,15.4075,3.5632,3.3604,4468763495.7401,3.2565,-1.4857,2.0,1.0,-7.2,-3.2417
2014-04-14,129.625680227,166.3636,28.3415,14.4663,15.3326,3.5728,3.3844,4478027101.6333,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-15,131.127343052,166.3636,26.8718,14.6339,15.2577,3.6142,3.4084,4529903294.8081,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-16,132.25359017,166.3636,25.7914,14.7596,15.2402,3.6453,3.4126,4568810439.6633,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-17,138.903811249,166.3636,19.7689,15.5018,15.2577,3.8286,3.4169,4798547866.4715,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-21,139.761904292,166.3636,18.0579,15.5976,15.3326,3.8522,3.4184,4828191405.4334,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-22,144.642308471,166.3636,14.0745,16.1422,15.4075,3.9867,3.4198,4996789033.1737,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-23,146.787541077,166.3636,12.4074,16.3816,15.4202,4.0459,3.4213,5070897880.5267,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-24,143.033384016,166.3636,15.3577,15.9627,15.433,3.9424,3.4228,4941207397.6416,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-25,143.998738689,166.3636,14.5843,16.0704,15.4352,3.969,3.4249,4974556378.9608,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-28,142.443445049,166.3636,15.8354,15.8968,15.4373,3.9261,3.427,4920827464.6074,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-29,144.910462546,166.3636,13.8634,16.1721,15.4606,3.9941,3.4298,5006052639.0669,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-04-30,147.109325968,166.3636,12.1615,16.4175,15.4839,4.0547,3.4327,5082014207.6331,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-05-01,144.374154395,166.3636,14.2864,16.1123,15.4928,3.978,3.4328,4985768971.2835,3.0663,-1.5871,2.0,1.0,-7.2,-3.2409
2014-05-02,136.061378046,168.0,23.4737,15.3794,15.4839,3.7575,3.4329,4698698321.0017,7.329,-1.6024,4.0,1.0,-7.2,-2.7304
2014-05-05,134.1306687,168.0,25.251,15.1778,15.4606,3.7042,3.4344,4632023847.3731,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-06,132.307220985,168.0,26.9772,14.9715,15.4373,3.6538,3.436,4569053511.1914,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-07,131.341866312,168.0,27.9105,14.8622,15.4352,3.6272,3.4368,4535716274.3771,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-08,127.855863327,168.0,31.398,14.4678,15.433,3.5309,3.4375,4415331808.1321,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-09,130.108357564,168.0,29.1231,14.7226,15.4202,3.5931,3.4383,4493118694.0321,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-12,129.089372076,168.0,30.1424,14.6073,15.3934,3.5649,3.4444,4457929388.5117,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-13,130.430142455,168.0,28.8046,14.759,15.3794,3.602,3.4497,4504231106.3035,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-14,129.089372076,168.0,30.1424,14.6073,15.3186,3.5649,3.4512,4457929388.5117,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-15,125.067060939,168.0,34.3279,14.1522,15.2577,3.4539,3.4528,4319024235.1361,7.329,-1.5329,4.0,1.0,-7.2,-2.7304
2014-05-16,123.40450567,169.2,37.1101,13.9641,15.2402,3.4058,3.4512,4261610105.1074,7.3294,-1.5329,4.0,1.0,-7.2,-2.728
2014-05-19,128.070386588,169.2,32.1149,14.492,15.2147,3.5346,3.4512,4422740082.9913,7.3294,-1.5329,4.0,1.0,-7.2,-2.728
2014-05-20,126.729616209,168.0,32.5657,14.3634,15.2066,3.4976,3.4528,4376438365.1994,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-21,125.442476645,168.0,33.9259,14.2175,15.2028,3.4621,3.4534,4331988716.1137,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-22,124.208967897,168.0,35.2559,14.0777,15.1989,3.428,3.4528,4289391135.7687,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-23,124.262598712,168.0,35.1976,14.0838,15.1884,3.4295,3.4512,4291243204.4748,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-27,125.656999906,168.0,33.6973,14.2418,15.1346,3.468,3.4528,4339396990.9728,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-28,126.649169986,168.0,32.6499,14.3543,15.0913,3.4954,3.4534,4373660262.1229,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-29,128.317022267,168.0,30.9257,14.5433,15.0586,3.5414,3.4539,4431257317.4002,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-05-30,128.263220581,168.0,30.9806,14.5372,15.0258,3.5399,3.458,4429399347.8918,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-06-02,125.895946376,168.0,33.4435,14.2689,15.0227,3.4746,3.4621,4347648688.7986,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-06-03,129.285452624,168.0,29.945,14.6531,15.0196,3.5681,3.4644,4464700768.8615,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-06-04,130.5766931,168.0,28.66,14.7994,15.0126,3.6038,3.4666,4509292037.4766,7.3294,-2.3232,3.0,1.0,-7.2,-2.728
2014-06-05,132.40595044,168.0,26.8825,15.2021,15.0196,3.6611,3.4668,4572463001.3135,7.3283,-2.4178,3.0,1.0,-7.2,-2.728
2014-06-06,132.136942008,168.0,27.1408,15.1712,15.0227,3.6537,3.467,4563173153.7026,7.3283,-2.4178,3.0,1.0,-7.2,-2.728
2014-06-09,132.352148754,168.0,26.9341,15.1959,15.0258,3.6596,3.4675,4570605031.8051,7.3283,-2.4178,3.0,1.0,-7.2,-2.728
2014-06-10,131.706528516,168.0,27.5563,15.1218,15.0586,3.6418,3.468,4548309397.4975,7.3283,-2.4178,3.0,1.0,-7.2,-2.728
2014-06-11,130.953304905,168.6667,28.7991,15.0181,15.0258,3.6078,3.469,4522297824.1387,7.3299,-2.3426,3.0,1.0,-7.2,-2.728
2014-06-12,130.146279608,168.75,29.6618,14.953,15.0227,3.5955,3.4701,4494428281.2716,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-13,131.65272683,168.75,28.1781,15.1261,15.0258,3.6372,3.4703,4546451427.9892,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-16,128.908840819,168.75,30.9065,14.8108,15.0227,3.5614,3.4705,4451694982.1994,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-17,130.522891413,168.75,29.2877,14.9963,15.0196,3.6059,3.4726,4507434067.9337,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-18,127.886608776,168.75,31.9528,14.6934,15.0188,3.5331,3.4746,4416393561.2297,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-19,125.035119392,168.75,34.9621,14.3657,15.0181,3.4543,3.4726,4317921176.3886,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-20,125.895946376,168.75,34.0393,14.4646,15.0118,3.4781,3.4746,4347648688.7986,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-23,129.177849251,168.75,30.6339,14.8417,15.0056,3.5688,3.4756,4460984829.8102,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-24,127.886608776,168.75,31.9528,14.6934,15.001,3.5331,3.4767,4416393561.2297,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
2014-06-25,132.083140321,168.75,27.7604,15.1755,15.0056,3.6491,3.4774,4561315184.1597,7.3282,-2.3259,3.0,1.0,-7.2,-2.7384
