date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2017-02-28,12.89,18.4029,42.7688,15.5676,20.0842,4.2135,5.5546,10684453108.37,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-01,13.1,18.3652,40.1924,15.8213,20.0706,4.2822,5.5393,10858521002.3,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-02,13.0,18.3652,41.2708,15.7005,20.0399,4.2495,5.5278,10775631529.0,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-03,13.02,18.3652,41.0538,15.7246,20.0092,4.256,5.5163,10792209423.66,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-06,12.96,18.3652,41.7068,15.6522,19.9971,4.2364,5.512,10742475739.68,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-07,12.29,18.3652,49.4321,14.843,19.985,4.0174,5.5078,10187116268.57,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-08,12.19,18.3652,50.6579,14.7222,19.9291,3.9847,5.505,10104226795.27,30.1728,36.4986,4.0,1.0,35.0,23.4609
2017-03-09,11.57,18.3652,58.7312,14.0208,19.8732,3.7821,5.5021,9590312060.81,30.1728,36.4998,4.0,1.0,35.0,23.4609
2017-03-10,11.23,18.3556,63.4515,13.6154,19.8633,3.6848,5.4966,9308487851.59,29.9991,36.3349,4.0,1.0,35.0,23.4609
2017-03-13,11.96,18.3556,53.4749,14.5005,19.8534,3.9243,5.491,9913581006.68,29.9991,36.3349,4.0,1.0,35.0,23.4609
2017-03-14,12.45,18.3556,47.4345,15.0435,19.8305,4.0701,5.4902,10319739425.85,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-15,13.1,18.3981,40.4435,15.8289,19.8076,4.2826,5.4894,10858521002.3,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-16,12.88,18.3981,42.8424,15.5631,19.7801,4.2107,5.4861,10676164161.04,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-17,12.69,18.3981,44.9811,15.3335,19.7525,4.1486,5.4828,10518674161.77,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-20,12.79,18.3981,43.8475,15.4543,19.7418,4.1813,5.4755,10601563635.07,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-21,12.5,18.3981,47.1848,15.1039,19.7312,4.0865,5.4682,10361184162.5,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-22,12.5,18.3981,47.1848,15.1039,19.7236,4.0865,5.4661,10361184162.5,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-23,12.45,18.3981,47.7759,15.0435,19.7159,4.0701,5.464,10319739425.85,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-24,12.67,18.3981,45.2099,15.3093,19.6624,4.1421,5.4492,10502096267.11,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-27,12.63,18.3981,45.6698,15.261,19.609,4.129,5.4344,10468940477.79,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-28,12.88,18.3981,42.8424,15.5631,19.545,4.2107,5.4209,10676164161.04,30.0184,36.3549,4.0,1.0,35.0,23.4609
2017-03-29,13.27,18.3981,38.6443,16.0498,19.4809,4.3382,5.4074,10999433106.91,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-03-30,13.01,18.3981,41.4151,15.7354,19.4412,4.2532,5.3906,10783920476.33,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-03-31,13.09,18.3981,40.5508,15.8321,19.4014,4.2794,5.3739,10850232054.97,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-03,12.3,18.3981,49.578,14.8766,19.3924,4.0211,5.3732,10195405215.9,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-04,12.41,18.3981,48.2522,15.0097,19.3835,4.0571,5.3725,10286583636.53,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-05,12.4,18.3981,48.3718,14.9976,19.3719,4.0538,5.3506,10278294689.2,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-06,12.06,18.3981,52.5547,14.5864,19.3602,3.9426,5.3286,9996470479.98,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-07,11.97,18.3981,53.7018,14.4775,19.3348,3.9132,5.3267,9921869954.01,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-10,12.39,18.3981,48.4915,14.9855,19.3093,4.0505,5.3248,10270005741.87,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-11,12.63,18.3981,45.6698,15.2758,19.2683,4.129,5.3236,10468940477.79,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-12,12.56,18.3981,46.4817,15.1911,19.2272,4.1061,5.3225,10410917846.48,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-13,12.63,18.3981,45.6698,15.2758,19.2151,4.129,5.3213,10468940477.79,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-17,13.02,18.3981,41.3065,15.7475,19.203,4.2565,5.3201,10792209423.66,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-18,12.65,18.3981,45.4395,15.3,19.1998,4.1355,5.3135,10485518372.45,30.0184,36.3533,4.0,1.0,35.0,23.4609
2017-04-19,12.76,18.3981,44.1857,15.433,19.1967,4.1632,5.3069,10576696793.08,30.0242,36.3533,4.0,1.0,35.0,23.4609
2017-04-20,12.82,18.3981,43.5109,15.5056,19.1578,4.1827,5.3032,10626430477.06,30.0242,36.3533,4.0,1.0,35.0,23.4609
2017-04-21,13.01,18.4543,41.847,15.7012,19.1188,4.2446,5.2995,10783920476.33,30.0304,36.343,4.0,1.0,35.0,23.4609
2017-04-24,13.08,18.4543,41.0879,15.7857,19.0962,4.2674,5.297,10841943107.64,30.0304,36.343,4.0,1.0,35.0,23.4609
2017-04-25,13.23,18.4543,39.4883,15.9667,19.0735,4.3163,5.2944,10966277317.59,30.0304,36.343,4.0,1.0,35.0,23.4609
2017-04-26,13.41,18.4543,37.616,16.1839,19.0609,4.3751,5.2798,11115478369.53,30.0304,36.343,4.0,1.0,35.0,23.4609
2017-04-27,13.59,18.4284,35.6026,16.4608,19.0483,4.4422,5.2651,11264679421.47,30.3307,36.4026,4.0,1.0,35.0,23.4609
2017-04-28,13.93,18.4284,32.2929,16.8726,19.0454,4.5533,5.2465,11546503630.69,30.3307,36.4026,4.0,1.0,35.0,23.4609
