date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg,price_target_upside_mean_upper,price_target_upside_std_upper,price_target_upside_mean_lower,price_target_upside_std_lower,price_target_upside_upper_band,price_target_upside_lower_band
2007-02-07,35.45,36.6667,3.4322,38.6713,35.0748,2.743,2.3937,1023153326.95,30.4839,42.7376,6.0,6.0,29.3333,4.1001,11.231208173076924,11.5750399103293,20.161003174603174,13.449732778852884,22.806248083406224,6.71127039575029
2007-02-08,36.49,36.6667,0.4842,39.8058,35.0867,2.8235,2.3944,1053169672.79,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.205435971223022,11.573091719960004,19.84237857142857,13.436452555222196,22.778527691183022,6.405926016206376
2007-02-09,36.18,36.6667,1.3452,39.4677,35.0868,2.7995,2.3951,1044222492.78,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.181846889952151,11.569263387701357,19.46167380952381,13.273308360309745,22.75111027765351,6.188365449214066
2007-02-12,35.52,36.6667,3.2283,38.7477,35.0869,2.7484,2.3971,1025173657.92,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.162864677804295,11.56194711405372,19.1506507936508,13.189986185337698,22.724811791858016,5.960664608313095
2007-02-13,35.25,36.6667,4.019,38.4531,35.092,2.7275,2.3991,1017380952.75,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.145855476190476,11.553401682955826,18.78781031746032,12.968832439906558,22.6992571591463,5.818977877553758
2007-02-14,35.058,36.6667,4.5887,38.2437,35.0971,2.7127,2.4008,1011839473.518,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.13028028503563,11.544063724598308,18.438084920634925,12.74928564012944,22.674344009633938,5.688799280505483
2007-02-15,34.89,36.6667,5.0923,38.0604,35.0971,2.6997,2.4024,1006990679.19,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.115972274881518,11.534090941657132,18.15305476190476,12.641706750628934,22.650063216538648,5.511348011275828
2007-02-16,35.05,36.6667,4.6126,38.235,35.0971,2.712,2.4035,1011608578.55,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.100597872340424,11.524755524389166,18.02854523809524,12.6975183311865,22.62535339672959,5.331026906908738
2007-02-20,35.7,36.6667,2.7078,38.9313,35.1036,2.749,2.4054,1030368794.7,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.080803537735848,11.518338617105725,17.7881246031746,12.698549596250349,22.599142154841573,5.089575006924253
2007-02-21,36.37,36.6667,0.8158,39.6619,35.1206,2.8006,2.4062,1049706248.27,30.4839,43.6126,6.0,6.0,29.3333,4.1001,11.056650588235296,11.51551773288433,17.55669761904762,12.74030521215855,22.572168321119623,4.816392406889069
