date,price,price_target,price_target_upside,forward_pe_ratio,forward_pe_ratio:median:3,forward_ps_ratio,forward_ps_ratio:median:3,market_cap,sales_est_2fy_avg,eps_est_2fy_avg,eps_est_2y_num_est,eps_est_long_term_growth_num_est,eps_est_long_term_growth,cfo_per_share_est_2fy_avg
2023-03-07,4.31,20.6667,379.5058,24.72,13.5,3.05,4.7373,148740173.11,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-08,4.13,20.6667,400.4044,24.72,13.5,2.9227,4.6356,142528286.53,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-09,4.25,20.6667,386.2753,24.72,13.5,3.0076,4.6356,146669544.25,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-10,4.13,20.6667,400.4044,24.72,13.5,2.9227,4.6356,142528286.53,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-13,4.44,20.6667,365.4662,24.72,13.5,3.142,4.839,153226535.64,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-14,4.79,20.6667,331.4551,24.72,13.5,3.3897,4.7373,165305203.99,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-15,4.55,20.6667,354.2132,24.72,13.5,3.2199,4.6356,157022688.55,99.0083,69.9969,2.0,1.0,64.0,109.5748
2023-03-16,4.71,18.5,292.7813,24.72,13.5,3.8264,4.6356,162544365.51,92.7725,62.4974,3.0,1.0,64.0,109.5748
2023-03-17,4.8,18.5,285.4167,24.72,13.5,3.8995,4.6356,165650308.8,92.7725,62.4974,3.0,1.0,64.0,109.5748
2023-03-20,4.95,18.5,273.7374,24.72,13.5,4.0214,4.839,170826880.95,92.7725,62.4974,3.0,1.0,64.0,109.5748
2023-03-21,5.365,18.5,244.8276,24.72,13.5,4.3585,4.7373,185148730.565,92.7725,62.4974,3.0,1.0,64.0,109.5748
2023-03-22,5.41,18.5,241.9593,24.72,13.5,4.3951,4.6356,186701702.21,92.7725,62.4974,3.0,1.0,64.0,109.5748
2023-03-23,5.405,18.5,242.2757,24.72,13.5,4.391,4.6356,186529149.805,92.7725,62.4974,3.0,1.0,64.0,109.5748
2023-03-24,5.47,18.5,238.2084,24.72,13.5,4.4439,4.6356,188772331.07,92.7725,62.4974,3.0,1.0,64.0,109.5748
